term,ngram,count
html,unigram,7344
hđqt,unigram,5027
năm,unigram,4833
về,unigram,4724
thông_báo,unigram,4355
của,unigram,4297
và,unigram,4163
ngân_hàng,unigram,3682
nghị_quyết,unigram,3659
cổ_phần,unigram,3659
việc,unigram,3518
nghị_quyết hđqt,bigram,3328
về việc,bigram,3230
sau,unigram,2909
tỷ,unigram,2755
cổ_phiếu,unigram,2676
việt_nam,unigram,2670
trong,unigram,2620
hđqt về,bigram,2450
cho,unigram,2404
giao_dịch,unigram,2359
với,unigram,2331
thương_mại,unigram,2216
tăng,unigram,2099
ngày,unigram,2006
nbsp,unigram,1981
đồng,unigram,1964
ngân_hàng thương_mại,bigram,1959
thương_mại cổ_phần,bigram,1939
2025,unigram,1847
như,unigram,1844
thay_đổi,unigram,1750
tỷ đồng,bigram,1703
như sau,bigram,1686
2022,unigram,1502
trái_phiếu,unigram,1449
thông_qua,unigram,1428
dong,unigram,1424
000,unigram,1405
2024,unigram,1388
ty,unigram,1363
để,unigram,1347
2023,unigram,1336
phát_hành,unigram,1317
có,unigram,1294
quyết_định,unigram,1292
mua,unigram,1289
công_bố,unigram,1285
vốn,unigram,1274
tại,unigram,1262
hơn,unigram,1248
chứng_khoán,unigram,1233
nam,unigram,1186
ng,unigram,1185
các,unigram,1175
quý,unigram,1136
từ,unigram,1125
phát_triển,unigram,1102
đhđcđ,unigram,1100
tháng,unigram,1056
fpt,unigram,1055
bằng,unigram,1032
co,unigram,1028
đầu_tư,unigram,1025
được,unigram,1024
10,unigram,1005
báo_cáo,unigram,989
chi_nhánh,unigram,989
2026,unigram,989
người,unigram,987
lãi,unigram,983
hợp_đồng,unigram,979
tmcp,unigram,978
phieu,unigram,975
địa_điểm,unigram,973
cổ_tức,unigram,955
hang,unigram,944
đăng_ký,unigram,924
co_phieu,unigram,915
so,unigram,912
hđqt thông_qua,bigram,910
quyết_định của,bigram,907
lợi_nhuận,unigram,901
ssi,unigram,887
tiền,unigram,883
năm 2025,bigram,873
tập_đoàn,unigram,873
cổ_đông,unigram,862
ra,unigram,856
nhất,unigram,850
gần,unigram,846
kết_quả,unigram,836
cao,unigram,828
ngân_hàng tmcp,bigram,820
thông_báo nghị_quyết,bigram,807
trước,unigram,801
ocirc,unigram,784
vingroup,unigram,780
nay,unigram,777
vn,unigram,776
thường_niên,unigram,771
phê_duyệt,unigram,756
cua,unigram,753
kinh_doanh,unigram,748
ban,unigram,745
thay_đổi địa_điểm,bigram,745
khoan,unigram,744
shb,unigram,737
của hđqt,bigram,735
aacute,unigram,733
quyền,unigram,731
usd,unigram,728
index,unigram,725
cbtt,unigram,721
lên,unigram,714
hpg,unigram,712
vn index,bigram,707
ty dong,bigram,703
số,unigram,702
dau,unigram,701
đầu,unigram,698
thực_hiện,unigram,697
khi,unigram,696
giảm,unigram,695
hoa,unigram,693
agrave,unigram,692
tcb,unigram,692
khoi,unigram,686
triệu,unigram,683
đến,unigram,682
năm 2024,bigram,678
liên_quan,unigram,677
phien,unigram,674
chung,unigram,672
trả,unigram,671
thuế,unigram,670
vào,unigram,669
ngoai,unigram,659
theo,unigram,657
việt_nam thông_báo,bigram,645
cùng,unigram,644
mwg,unigram,643
co phieu,bigram,637
so với,bigram,621
tuc,unigram,620
đhđcđ thường_niên,bigram,612
phat,unigram,611
nhận,unigram,607
tổ_chức,unigram,606
kỳ,unigram,597
chung khoan,bigram,596
họp,unigram,596
phương_án,unigram,592
hoạt_động,unigram,590
năm 2023,bigram,590
vpb,unigram,588
tài_chính,unigram,581
thông_báo về,bigram,577
việc thay_đổi,bigram,575
vib,unigram,575
giá,unigram,574
con,unigram,567
000 tỷ,bigram,565
ngan,unigram,564
thị_trường,unigram,563
vietinbank,unigram,560
do,unigram,557
là,unigram,550
12,unigram,547
đạt,unigram,543
chào_bán,unigram,540
hdb,unigram,539
gas,unigram,539
kế_hoạch,unigram,537
mới,unigram,534
năm 2022,bigram,534
ocirc ng,bigram,534
lần,unigram,533
thường_niên năm,bigram,532
ngan hang,bigram,531
phòng,unigram,528
không,unigram,528
một,unigram,524
doanh_thu,unigram,523
khoi ngoai,bigram,521
11,unigram,521
tín_dụng,unigram,519
trên,unigram,519
tiep,unigram,519
tăng_trưởng,unigram,517
đã,unigram,510
sẽ,unigram,505
qua,unigram,501
vcb,unigram,496
vic,unigram,496
phát_hành cổ_phiếu,bigram,494
rong,unigram,494
hồ,unigram,493
ông,unigram,489
acb,unigram,487
cấp,unigram,484
tp,unigram,484
bidv,unigram,484
lớn,unigram,483
hom,unigram,483
ctcp,unigram,480
đầu năm,bigram,479
hom nay,bigram,479
mbb,unigram,478
ngày đkcc,bigram,473
đkcc,unigram,473
phiên,unigram,472
bán,unigram,472
đợt,unigram,469
thành_lập,unigram,469
lại,unigram,466
quốc_tế,unigram,465
th,unigram,461
novaland,unigram,460
giữa,unigram,458
tien,unigram,456
masan,unigram,455
vốn_điều_lệ,unigram,455
có liên_quan,bigram,453
nhat,unigram,452
cổ,unigram,451
tài_liệu,unigram,449
tỷ_lệ,unigram,447
họp đhđcđ,bigram,446
chốt,unigram,441
tu,unigram,436
vay,unigram,434
báo_cáo kết_quả,bigram,433
vpbank,unigram,430
thành_phố,unigram,429
ctg,unigram,425
voi,unigram,424
thực_hiện quyền,bigram,424
nbsp thông_báo,bigram,423
tin,unigram,422
hđqt phê_duyệt,bigram,422
cùng kỳ,bigram,422
th ocirc,bigram,420
tức,unigram,420
thu,unigram,420
nhiều,unigram,420
chi,unigram,417
bid,unigram,413
hạn_mức,unigram,411
techcombank,unigram,410
cổ tức,bigram,409
bao,unigram,408
sửa_đổi,unigram,407
điểm,unigram,407
thành_phố hồ,bigram,407
và phát_triển,bigram,407
giải_trình,unigram,407
trieu,unigram,405
truong,unigram,402
stb,unigram,401
bổ_sung,unigram,400
đầu_tư và,bigram,400
hoa phat,bigram,399
vinhomes,unigram,399
000 ty,bigram,396
vhm,unigram,393
hcm,unigram,392
20,unigram,391
với cùng,bigram,388
mạnh,unigram,388
gòn,unigram,387
văn_bản,unigram,387
nội_dung,unigram,387
moi,unigram,386
sài,unigram,385
chí_minh,unigram,381
lấy,unigram,379
hồ chí_minh,bigram,379
phòng giao_dịch,bigram,378
tổng_công_ty,unigram,377
thêm,unigram,375
chia,unigram,375
sài gòn,bigram,375
esop,unigram,374
nội_bộ,unigram,373
hai,unigram,373
ngay,unigram,372
tp hcm,bigram,372
kỹ_thương,unigram,371
500,unigram,369
về ngày,bigram,368
sacombank,unigram,368
bctc,unigram,367
tiếp_tục,unigram,366
thông_báo nbsp,bigram,365
giam,unigram,365
kỹ_thương việt_nam,bigram,364
2021,unigram,362
riêng_lẻ,unigram,361
xanh,unigram,361
gan,unigram,358
giao_dịch chứng_khoán,bigram,355
cổ_phiếu để,bigram,353
thông_qua hợp_đồng,bigram,353
duoc,unigram,352
điều_chỉnh,unigram,351
bat,unigram,351
ssb,unigram,350
đặt,unigram,350
30,unigram,349
thang,unigram,348
hà_nội,unigram,348
giao_dịch với,bigram,347
chủ_tịch,unigram,346
thế_giới,unigram,345
trụ_sở,unigram,345
cổ_phần đầu_tư,bigram,341
ng aacute,bigram,341
ý_kiến,unigram,339
