cache_key,content_hash,ticker,article_date,title,url,is_stock_relevant,sentiment,sentiment_score,importance_score,information_magnitude_score,uncertainty_score,novelty_hint_score,reasoning_confidence,time_horizon,event_type,relevance_to_ticker,summary,reason,provider,requested_model,response_model,request_id,prompt_sha256,input_sha256,extracted_at_utc,status,error
0ee75aee597fd646604070153af367bb51164353e47dbba4e91d800fabe5bcf8,e71c79af6ae1164bf1a05c396a53539a393da4a08d8c937f298eab08915b4061,SSI,2022-01-05,ssi research no xau thuc te se lo dien sau nua dau nam 2022 1051789.html,https://kinhtechungkhoan.vn/ssi-research-no-xau-thuc-te-se-lo-dien-sau-nua-dau-nam-2022-1051789.html,False,neutral,0.0,3.0,1.0,3.0,3.0,3.0,unclear,other,irrelevant,"Bài báo có tiêu đề và nội dung không rõ ràng, chỉ lặp lại chuỗi ký tự vô nghĩa, không chứa thông tin kinh tế hay tài chính liên quan đến SSI.",,deepseek,deepseek-chat,deepseek-v4-flash,d3ee1ecd-3766-4650-a937-1af30d40dd7d,44e076adfcdac273b4dd08799dc3b29ff3b6d9dd069c8acc489eeca741d65874,271dc42af1b7d8bdae84cf3d7f4445ddd80078081eb803fcc3dc7b80a1c8f9fe,2026-07-07T15:59:46+00:00,ok,
0d8d5b734a259b835bf18df631ca371eda85f55d8d50777a5c37836c1486f693,81ac0580e167b67a081e4a4ae11ec32188c11bab1269746d26e15d5dccea0e1e,VCB,2022-01-06,VCB: Đã phát hành 1.023.639.123 cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/VCB-519254/vcb-da-phat-hanh-1023639123-co-phieu-de-tra-co-tuc.chn,True,neutral,0.3,3.0,4.0,3.0,3.0,3.0,unclear,other,direct,"VCB đã phát hành 1.023.639.123 cổ phiếu để trả cổ tức, thể hiện việc thực hiện kế hoạch trả cổ tức bằng cổ phiếu.",,deepseek,deepseek-chat,deepseek-v4-flash,3d9807e5-ba06-4136-9a23-5745752642fe,68b4d55ccee3802cffe93357377da6a3f4a0ba67029556bb0671827deb237105,7ae6af9cb84ce0f8a35b07ba848da12c639bac0b61e3738a7c6c0349ebeeef35,2026-07-07T23:16:08+00:00,ok,
3c9f099525d467717f6444d7eda446b33388e9f8a874fbeeb7b82ec741c999dc,36fac5f4f5913dcad2f1312c9d9cf6707cf86421c08a47414a5c71526cdaa92f,SSI,2022-01-10,ssi research nha dau tu uu tien bao toan loi nhuan khi chi so tiem can vung gia muc tieu 1030664.html,https://kinhtechungkhoan.vn/ssi-research-nha-dau-tu-uu-tien-bao-toan-loi-nhuan-khi-chi-so-tiem-can-vung-gia-muc-tieu-1030664.html,False,neutral,0.0,3.0,1.0,3.0,3.0,3.0,unclear,other,irrelevant,SSI Research khuyến nghị nhà đầu tư ưu tiên bảo toàn lợi nhuận khi chỉ số tiến gần vùng giá mục tiêu.,,deepseek,deepseek-chat,deepseek-v4-flash,385e9084-ebac-4a4a-afeb-f25c0879f7b8,48dd15762a6b2f1cee4e7d4d0d958f28e4ab96ed19f0a74fd10b182ef984522a,8ef7e254ffd3cf35bd808590acd595b49b19e4974da63af205372c1f77ee48fb,2026-07-07T23:32:46+00:00,ok,
4b1e4894f208b3143f697dc3908f27fe4e36d7a963ed4f9dfd768366804565d9,03e802a86e28bb948a3d7109c604e0ebeb37a996a77bcecaae3765574aa76fc3,VCB,2022-01-10,vietcombank dat muc tieu tang truong loi nhuan 12 nam 2022 1051765.html,https://kinhtechungkhoan.vn/vietcombank-dat-muc-tieu-tang-truong-loi-nhuan-12-nam-2022-1051765.html,True,neutral,0.5,3.0,4.0,3.0,3.0,3.0,unclear,other,direct,Vietcombank đặt mục tiêu tăng trưởng lợi nhuận 12% năm 2022.,,deepseek,deepseek-chat,deepseek-v4-flash,bee43cd0-6d85-4820-bd2e-651efb7be4bc,08631957e5cafae028bc71762f4c537e3868d788d18e1a810cedce2fd32dfb7a,cd002c5c0111ce3ea81627aa1eb84812ecde46d1512a962c0f0755d549050764,2026-07-07T15:59:54+00:00,ok,
b809414b5b822308a12ceb4d251d962f8e8bbde4160f16bce328727615eb5857,26ea1d52c50ec4271565b59939ae3f99137090659ebb0f2f0ef0b4e73ad5020f,SSI,2022-01-19,"Chứng khoán SSI: Lãi sau thuế công ty mẹ tăng gấp 2,6 lần trong quý 4/2021, dư nợ margin đạt kỷ lục gần 23.000 tỷ đồng",https://cafef.vn/chung-khoan-ssi-lai-sau-thue-cong-ty-me-tang-gap-26-lan-trong-quy-42021-du-no-margin-dat-ky-luc-gan-23000-ty-dong-20220119231853791.chn,True,neutral,0.9,3.0,5.0,3.0,3.0,3.0,unclear,other,direct,"SSI công bố KQKD quý 4/2021 với lợi nhuận sau thuế tăng 2,6 lần, dư nợ margin kỷ lục 22.716 tỷ đồng, doanh thu cho vay tăng 261%. Cả năm 2021, doanh thu 7.773 tỷ (+72%), lợi nhuận trước thuế 3.327 tỷ (+113%), đạt mức kỷ lục 21 năm.",,deepseek,deepseek-chat,deepseek-v4-flash,355eaeb7-f021-4d76-9b01-9d9691dec94d,fa3cd194d002b7cb63e1089331e9ca1b95d8fe28937d3333506c120a266da7ff,c012e96baeb57b56a9baacf28bf9db7c8cb5b71ef805f6ba6e8093c6ac5c7e3c,2026-07-07T16:02:46+00:00,ok,
b519f9f4dd4261fde4b823cc59b5b9e8f768fedff16f60dc96e2d66108f4c9d4,2c2d8b3e0994bbb3c7acb00b47bee04d7df70ad739a91484c09fa101adef64bf,SSI,2022-01-19,Giám đốc Tài chính SSI: Năm 2021 ước đạt lợi nhuận hợp nhất kỷ lục 3.350 tỷ đồng,https://cafef.vn/giam-doc-tai-chinh-ssi-nam-2021-uoc-dat-loi-nhuan-hop-nhat-ky-luc-3350-ty-dong-20220119134634342.chn,True,neutral,0.9,3.0,5.0,3.0,3.0,3.0,unclear,other,direct,"SSI đạt lợi nhuận kỷ lục 3.350 tỷ đồng năm 2021, vượt kế hoạch 79% và gấp đôi năm 2020. Công ty khẳng định quản trị rủi ro margin chặt chẽ, không cho vay cổ phiếu nóng.",,deepseek,deepseek-chat,deepseek-v4-flash,d9b76e75-8bf3-4d05-bf72-6c9df8a50228,145f27e4f4ac37ff07d729b30436ffe05de3adf928bedcb3c54982d782542f3d,09344b0d8ccdfe85cf0ac6a580c7aac05f960b2be2023d5845ca3388dad3f652,2026-07-07T16:02:49+00:00,ok,
0a0ed850593288ae2ab87f6c6feb10b33e699b4c5a3e08a3b4edf4db74acabaa,d3be8dcf3060af25e0c1e0d1c61365bd17d9b0a177dd8c228034b4d164611958,VCB,2022-01-19,VCB: Công văn của UBCKNN về việc báo cáo kết quả chào phát hành cổ phiếu để trả cổ tức của VCB,https://cafef.vn/du-lieu/VCB-512678/vcb-cong-van-cua-ubcknn-ve-viec-bao-cao-ket-qua-chao-phat-hanh-co-phieu-de-tra-co-tuc-cua-vcb.chn,True,neutral,0.0,3.0,3.0,3.0,3.0,3.0,unclear,capital,direct,,,deepseek,deepseek-chat,deepseek-v4-flash,87709e63-a9d2-42c7-a9e7-3cac4bbe7cca,18cd5a82c486aafc5a2da7da6a0ff944c2b111874c4940cb351a57b4af6bfcfd,8bf502e74fa48fe551160325b5a0669bbcd2777f909e09e16a48767e8d76fd54,2026-07-07T16:02:52+00:00,ok,
b77041e76ddca73d23a30316efc6fcd58718428daea836b920337f9ed34234e1,50c62c11dabb3d2045be67dc6d7a54b1729d99317db3086b38bdd55b99a0c304,HPG,2022-01-27,HPG: Kết quả kinh doanh quý 4 năm 2021,https://cafef.vn/du-lieu/HPG-505646/hpg-ket-qua-kinh-doanh-quy-4-nam-2021.chn,True,neutral,0.0,3.0,4.0,3.0,3.0,3.0,unclear,earnings,direct,HPG công bố kết quả kinh doanh quý 4/2021.,,deepseek,deepseek-chat,deepseek-v4-flash,22c97d7a-0cba-4e8d-8b92-0796164396f9,07f2f5a17282c0499b67bbd90ebbde9b2cc5e6059e2d7710b5d503a40770a585,01ae5f94f11124572472e50aed1e92810ae9dc85b0f16a2a5cb397ba40527675,2026-07-07T16:03:08+00:00,ok,
61d8b6f6a3b0e82c3c7f7b26a31f9e784a7b0cd5b31284e5ba1e4ddfd114ec64,f4e99adc40b709a958aa0ce68446c9e0c4d21bd3805edb91cd65f372adcb8c58,VCB,2022-01-31,quan quan loi nhuan nganh ngan hang goi ten vietcombank 1051694.html,https://kinhtechungkhoan.vn/quan-quan-loi-nhuan-nganh-ngan-hang-goi-ten-vietcombank-1051694.html,True,neutral,0.3,3.0,3.0,3.0,3.0,3.0,unclear,other,direct,"Bài báo đề cập đến lợi nhuận ngành ngân hàng và gọi tên Vietcombank, cho thấy thông tin tích cực về lợi nhuận của ngân hàng này.",,deepseek,deepseek-chat,deepseek-v4-flash,9345285f-6d25-4a5c-97fe-7b2e376f18b8,2e5b95cb82c24133488eed2344d3fef62a3cbd1631e49259ed027dd1bd0ce6f7,270115664b896b2863360e7436c8be586d54c43d5e046755e8834338f47ce674,2026-07-07T23:32:48+00:00,ok,
1e3b2bc818d6d338fc2a58863e3d3564d97255d7419a9065ebdc3e554758c8c0,de5ec3c0dd322a9f717572dc2f8c93884709a48b2f871873d70c6dd51d47dd14,SSI,2022-02-10,chung khoan ssi phat hanh 10 trieu co phieu esop voi gia 10 000 dong cp 1020455.html,https://kinhtechungkhoan.vn/chung-khoan-ssi-phat-hanh-10-trieu-co-phieu-esop-voi-gia-10-000-dong-cp-1020455.html,True,neutral,0.2,3.0,3.0,3.0,3.0,3.0,unclear,other,direct,SSI phát hành 10 triệu cổ phiếu ESOP với giá 10.000 đồng/cp.,,deepseek,deepseek-chat,deepseek-v4-flash,5dea5956-ff8f-43ea-ad56-fcdd613b0f7e,09f9f2d29725c98e5e1409891d82ee3c64f58b6d1fec102c35f6783602b3bd23,f5ba2f0af3d1657993a9af2a88c6957a62ec25eaecd56ed6ee11bef19c82b7bc,2026-07-07T23:16:10+00:00,ok,
