universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.7275,0.6179775280898876,0.7284768211920529,0.7186352519053427,0.8089310885927816,0.7276922258570706,any_relevance,2month,0.02,2240,28,400,16,722,1191,0.3775
HOSE80,Random_Forest,Config_A,0.7,0.6,0.6158940397350994,0.6824640787489085,0.7418415383387856,0.6834490278996782,any_relevance,2month,0.02,2240,28,400,16,722,1191,0.3775
HOSE80,XGBoost,Config_A,0.71,0.6023391812865497,0.6821192052980133,0.6985368642636243,0.7538764328838533,0.7045134179100508,any_relevance,2month,0.02,2240,28,400,16,722,1191,0.3775
HOSE80,LightGBM,Config_A,0.705,0.5988023952095808,0.6622516556291391,0.692058769800882,0.7555254129099177,0.6965876752041278,any_relevance,2month,0.02,2240,28,400,16,722,1191,0.3775
HOSE80,Logistic_Regression,Config_LLM,0.5075,0.3915094339622642,0.5496688741721855,0.5032496800751429,0.5222479321258544,0.5157982925077795,any_relevance,2month,0.02,2240,28,400,36,722,1191,0.3775
HOSE80,Random_Forest,Config_LLM,0.5175,0.39705882352941174,0.5364238410596026,0.5113150815002374,0.5292693954626453,0.5212239687225724,any_relevance,2month,0.02,2240,28,400,36,722,1191,0.3775
HOSE80,XGBoost,Config_LLM,0.49,0.3767441860465116,0.5364238410596026,0.48628843393518173,0.4915822229314609,0.4991356153089178,any_relevance,2month,0.02,2240,28,400,36,722,1191,0.3775
HOSE80,LightGBM,Config_LLM,0.48,0.37104072398190047,0.543046357615894,0.47743945332127424,0.48870980611186465,0.49240671294449323,any_relevance,2month,0.02,2240,28,400,36,722,1191,0.3775
HOSE80,Logistic_Regression,Config_Hybrid,0.62,0.4972067039106145,0.5894039735099338,0.6079948420373953,0.6493523763929892,0.6139790951887019,any_relevance,2month,0.02,2240,28,400,52,722,1191,0.3775
HOSE80,Random_Forest,Config_Hybrid,0.71,0.6143790849673203,0.6225165562913907,0.6922750424448217,0.7644618207931062,0.692784382563366,any_relevance,2month,0.02,2240,28,400,52,722,1191,0.3775
HOSE80,XGBoost,Config_Hybrid,0.71,0.6086956521739131,0.6490066225165563,0.6952501050861706,0.7463230405063965,0.6979972871618926,any_relevance,2month,0.02,2240,28,400,52,722,1191,0.3775
HOSE80,LightGBM,Config_Hybrid,0.705,0.6064516129032258,0.6225165562913907,0.6877563441030934,0.7501263331471582,0.6887683183063379,any_relevance,2month,0.02,2240,28,400,52,722,1191,0.3775
