universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.678125,0.46144721233689207,0.7034358047016275,0.6522212165692016,0.7427452308416815,0.6856608430969733,any_relevance,2week,0.02,9844,124,1920,16,1011,1191,0.28802083333333334
HOSE80,Random_Forest,Config_A,0.7723958333333333,0.6277533039647577,0.515370705244123,0.7058921471338471,0.79953991726977,0.6958711609614909,any_relevance,2week,0.02,9844,124,1920,16,1011,1191,0.28802083333333334
HOSE80,XGBoost,Config_A,0.7197916666666667,0.5110456553755522,0.6274864376130199,0.6785116723767031,0.7719137880629829,0.6923094221715429,any_relevance,2week,0.02,9844,124,1920,16,1011,1191,0.28802083333333334
HOSE80,LightGBM,Config_A,0.7395833333333334,0.5372714486638537,0.6907775768535263,0.705165500432424,0.7942154980944532,0.7250522851348831,any_relevance,2week,0.02,9844,124,1920,16,1011,1191,0.28802083333333334
HOSE80,Logistic_Regression,Config_LLM,0.6359375,0.3137755102040816,0.2224231464737794,0.5094333415576939,0.5046689534110016,0.5128209368067507,any_relevance,2week,0.02,9844,124,1920,36,1011,1191,0.28802083333333334
HOSE80,Random_Forest,Config_LLM,0.6661458333333333,0.3225806451612903,0.14466546112115733,0.49441283292232197,0.5020451060981465,0.5108843033477037,any_relevance,2week,0.02,9844,124,1920,36,1011,1191,0.28802083333333334
HOSE80,XGBoost,Config_LLM,0.6557291666666667,0.2890625,0.13381555153707053,0.48243103097412443,0.48630995924339004,0.5003386462879208,any_relevance,2week,0.02,9844,124,1920,36,1011,1191,0.28802083333333334
HOSE80,LightGBM,Config_LLM,0.659375,0.32764505119453924,0.1735985533453888,0.504256740431217,0.5100151993978446,0.5147436804766446,any_relevance,2week,0.02,9844,124,1920,36,1011,1191,0.28802083333333334
HOSE80,Logistic_Regression,Config_Hybrid,0.690625,0.4745341614906832,0.6907775768535263,0.6616344603086257,0.7465245763283599,0.6906704270514887,any_relevance,2week,0.02,9844,124,1920,52,1011,1191,0.28802083333333334
HOSE80,Random_Forest,Config_Hybrid,0.7671875,0.6147186147186147,0.5135623869801085,0.7006879114172371,0.8020513234323389,0.6916751218002225,any_relevance,2week,0.02,9844,124,1920,52,1011,1191,0.28802083333333334
HOSE80,XGBoost,Config_Hybrid,0.7354166666666667,0.5341426403641881,0.6365280289330922,0.693777596937776,0.7760979216906916,0.7059743290239711,any_relevance,2week,0.02,9844,124,1920,52,1011,1191,0.28802083333333334
HOSE80,LightGBM,Config_Hybrid,0.7401041666666667,0.5376044568245125,0.6980108499095841,0.7065783739367799,0.7958042254061442,0.727571628319825,any_relevance,2week,0.02,9844,124,1920,52,1011,1191,0.28802083333333334
