universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.678125,0.46144721233689207,0.7034358047016275,0.6522212165692016,0.7427452308416815,0.6856608430969733,direct,2week,0.02,9844,124,1920,16,949,1090,0.28802083333333334
HOSE80,Random_Forest,Config_A,0.7723958333333333,0.6277533039647577,0.515370705244123,0.7058921471338471,0.79953991726977,0.6958711609614909,direct,2week,0.02,9844,124,1920,16,949,1090,0.28802083333333334
HOSE80,XGBoost,Config_A,0.7197916666666667,0.5110456553755522,0.6274864376130199,0.6785116723767031,0.7719137880629829,0.6923094221715429,direct,2week,0.02,9844,124,1920,16,949,1090,0.28802083333333334
HOSE80,LightGBM,Config_A,0.7395833333333334,0.5372714486638537,0.6907775768535263,0.705165500432424,0.7942154980944532,0.7250522851348831,direct,2week,0.02,9844,124,1920,16,949,1090,0.28802083333333334
HOSE80,Logistic_Regression,Config_LLM,0.6401041666666667,0.3230769230769231,0.22784810126582278,0.5143548139718164,0.5134552371780712,0.5173622364412509,direct,2week,0.02,9844,124,1920,36,949,1090,0.28802083333333334
HOSE80,Random_Forest,Config_LLM,0.6625,0.3151750972762646,0.14647377938517178,0.49306930693069306,0.5025444770891235,0.5088623468981455,direct,2week,0.02,9844,124,1920,36,949,1090,0.28802083333333334
HOSE80,XGBoost,Config_LLM,0.659375,0.29880478087649404,0.13562386980108498,0.4855760722081293,0.4933573736922102,0.5034373921061022,direct,2week,0.02,9844,124,1920,36,949,1090,0.28802083333333334
HOSE80,LightGBM,Config_LLM,0.6572916666666667,0.3104693140794224,0.15551537070524413,0.49431213224993,0.5024889179325116,0.5078966758427464,direct,2week,0.02,9844,124,1920,36,949,1090,0.28802083333333334
HOSE80,Logistic_Regression,Config_Hybrid,0.6770833333333334,0.4604486422668241,0.705244122965642,0.6515222482435598,0.7427372938193084,0.6854677088858934,direct,2week,0.02,9844,124,1920,52,949,1090,0.28802083333333334
HOSE80,Random_Forest,Config_Hybrid,0.775,0.627906976744186,0.5370705244122965,0.7127146223768377,0.800454659098275,0.7041607194117079,direct,2week,0.02,9844,124,1920,52,949,1090,0.28802083333333334
HOSE80,XGBoost,Config_Hybrid,0.7296875,0.5250737463126843,0.64376130198915,0.6897323798548983,0.7818033179399193,0.7041044988365648,direct,2week,0.02,9844,124,1920,52,949,1090,0.28802083333333334
HOSE80,LightGBM,Config_Hybrid,0.7322916666666667,0.5268225584594223,0.6925858951175407,0.6988281249999999,0.7902390498855084,0.720469977551455,direct,2week,0.02,9844,124,1920,52,949,1090,0.28802083333333334
