universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.6556818181818181,0.49696969696969695,0.5448504983388704,0.6257153645639593,0.6476110145226907,0.6290746446789344,direct,month,0.02,4481,57,880,16,830,1090,0.34204545454545454
HOSE80,Random_Forest,Config_A,0.7295454545454545,0.6197718631178707,0.5415282392026578,0.6895087644393842,0.7674074329093006,0.6844083337636777,direct,month,0.02,4481,57,880,16,830,1090,0.34204545454545454
HOSE80,XGBoost,Config_A,0.6920454545454545,0.5457317073170732,0.5946843853820598,0.6647732144689549,0.7435204470991914,0.6686720717929298,direct,month,0.02,4481,57,880,16,830,1090,0.34204545454545454
HOSE80,LightGBM,Config_A,0.7056818181818182,0.5648148148148148,0.6079734219269103,0.6787030837004405,0.7491034490673001,0.682225052932367,direct,month,0.02,4481,57,880,16,830,1090,0.34204545454545454
HOSE80,Logistic_Regression,Config_LLM,0.553409090909091,0.35625,0.3787375415282392,0.5110551250567283,0.5165453095324164,0.5114758519385583,direct,month,0.02,4481,57,880,36,830,1090,0.34204545454545454
HOSE80,Random_Forest,Config_LLM,0.5795454545454546,0.3349282296650718,0.23255813953488372,0.4892549019607843,0.48808806568777663,0.49624452745310677,direct,month,0.02,4481,57,880,36,830,1090,0.34204545454545454
HOSE80,XGBoost,Config_LLM,0.5602272727272727,0.31932773109243695,0.25249169435215946,0.4825251968109111,0.4717607973421928,0.4863494741190849,direct,month,0.02,4481,57,880,36,830,1090,0.34204545454545454
HOSE80,LightGBM,Config_LLM,0.5659090909090909,0.3360323886639676,0.2757475083056478,0.49386909493869097,0.4864584947125012,0.496250265379076,direct,month,0.02,4481,57,880,36,830,1090,0.34204545454545454
HOSE80,Logistic_Regression,Config_Hybrid,0.6454545454545455,0.48441926345609065,0.5681063122923588,0.6204190653151285,0.6474675663734587,0.6268856259216543,direct,month,0.02,4481,57,880,52,830,1090,0.34204545454545454
HOSE80,Random_Forest,Config_Hybrid,0.7397727272727272,0.6363636363636364,0.5581395348837209,0.7015292331617728,0.7765766386082087,0.6961682130377154,direct,month,0.02,4481,57,880,52,830,1090,0.34204545454545454
HOSE80,XGBoost,Config_Hybrid,0.7045454545454546,0.5623100303951368,0.6146179401993356,0.678606545863183,0.7470894370520832,0.6829566384934502,direct,month,0.02,4481,57,880,52,830,1090,0.34204545454545454
HOSE80,LightGBM,Config_Hybrid,0.7113636363636363,0.5750798722044729,0.5980066445182725,0.6823393647924234,0.7557651811176332,0.6841501270950603,direct,month,0.02,4481,57,880,52,830,1090,0.34204545454545454
