universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.7275,0.6179775280898876,0.7284768211920529,0.7186352519053427,0.8089310885927816,0.7276922258570706,direct_indirect,2month,0.02,2240,28,400,16,706,1112,0.3775
HOSE80,Random_Forest,Config_A,0.7,0.6,0.6158940397350994,0.6824640787489085,0.7418415383387856,0.6834490278996782,direct_indirect,2month,0.02,2240,28,400,16,706,1112,0.3775
HOSE80,XGBoost,Config_A,0.71,0.6023391812865497,0.6821192052980133,0.6985368642636243,0.7538764328838533,0.7045134179100508,direct_indirect,2month,0.02,2240,28,400,16,706,1112,0.3775
HOSE80,LightGBM,Config_A,0.705,0.5988023952095808,0.6622516556291391,0.692058769800882,0.7555254129099177,0.6965876752041278,direct_indirect,2month,0.02,2240,28,400,16,706,1112,0.3775
HOSE80,Logistic_Regression,Config_LLM,0.5075,0.3915094339622642,0.5496688741721855,0.5032496800751429,0.5151865741110135,0.5157982925077795,direct_indirect,2month,0.02,2240,28,400,36,706,1112,0.3775
HOSE80,Random_Forest,Config_LLM,0.48,0.37333333333333335,0.5562913907284768,0.4781212364512244,0.4968084257560042,0.4950131652437565,direct_indirect,2month,0.02,2240,28,400,36,706,1112,0.3775
HOSE80,XGBoost,Config_LLM,0.465,0.36363636363636365,0.5562913907284768,0.46391442671409605,0.4685230990185909,0.4829649724726721,direct_indirect,2month,0.02,2240,28,400,36,706,1112,0.3775
HOSE80,LightGBM,Config_LLM,0.4625,0.36324786324786323,0.5629139072847682,0.4617430762009075,0.47650203462858054,0.4822601664937897,direct_indirect,2month,0.02,2240,28,400,36,706,1112,0.3775
HOSE80,Logistic_Regression,Config_Hybrid,0.6225,0.5,0.5894039735099338,0.6102194774101537,0.6496715338173888,0.6159871273172159,direct_indirect,2month,0.02,2240,28,400,52,706,1112,0.3775
HOSE80,Random_Forest,Config_Hybrid,0.715,0.6293706293706294,0.5960264900662252,0.6934742276357183,0.7600867044336285,0.6915875422218676,direct_indirect,2month,0.02,2240,28,400,52,706,1112,0.3775
HOSE80,XGBoost,Config_Hybrid,0.69,0.5798816568047337,0.6490066225165563,0.6770833333333334,0.7421208010851352,0.6819330301337801,direct_indirect,2month,0.02,2240,28,400,52,706,1112,0.3775
HOSE80,LightGBM,Config_Hybrid,0.685,0.5796178343949044,0.6026490066225165,0.6674057649667406,0.7436899917550999,0.6687943828293306,direct_indirect,2month,0.02,2240,28,400,52,706,1112,0.3775
