universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.6556818181818181,0.49696969696969695,0.5448504983388704,0.6257153645639593,0.6476110145226907,0.6290746446789344,direct_indirect,month,0.02,4481,57,880,16,841,1112,0.34204545454545454
HOSE80,Random_Forest,Config_A,0.7295454545454545,0.6197718631178707,0.5415282392026578,0.6895087644393842,0.7674074329093006,0.6844083337636777,direct_indirect,month,0.02,4481,57,880,16,841,1112,0.34204545454545454
HOSE80,XGBoost,Config_A,0.6920454545454545,0.5457317073170732,0.5946843853820598,0.6647732144689549,0.7435204470991914,0.6686720717929298,direct_indirect,month,0.02,4481,57,880,16,841,1112,0.34204545454545454
HOSE80,LightGBM,Config_A,0.7056818181818182,0.5648148148148148,0.6079734219269103,0.6787030837004405,0.7491034490673001,0.682225052932367,direct_indirect,month,0.02,4481,57,880,16,841,1112,0.34204545454545454
HOSE80,Logistic_Regression,Config_LLM,0.5488636363636363,0.35276073619631904,0.38205980066445183,0.5082144903299732,0.5106581974879361,0.508819192214782,direct_indirect,month,0.02,4481,57,880,36,841,1112,0.34204545454545454
HOSE80,Random_Forest,Config_LLM,0.5875,0.34951456310679613,0.23920265780730898,0.49715947996996557,0.4918923106054086,0.5038845758812021,direct_indirect,month,0.02,4481,57,880,36,841,1112,0.34204545454545454
HOSE80,XGBoost,Config_LLM,0.5693181818181818,0.33189655172413796,0.2558139534883721,0.4900235630153932,0.48565518507680216,0.4940555086958268,direct_indirect,month,0.02,4481,57,880,36,841,1112,0.34204545454545454
HOSE80,LightGBM,Config_LLM,0.5647727272727273,0.3446969696969697,0.3023255813953488,0.5008109008775503,0.4929050545389864,0.501767281198538,direct_indirect,month,0.02,4481,57,880,36,841,1112,0.34204545454545454
HOSE80,Logistic_Regression,Config_Hybrid,0.6443181818181818,0.4830508474576271,0.5681063122923588,0.6194397430140582,0.6473298561501961,0.6260220680632778,direct_indirect,month,0.02,4481,57,880,52,841,1112,0.34204545454545454
HOSE80,Random_Forest,Config_Hybrid,0.7318181818181818,0.6173285198555957,0.5681063122923588,0.6960169556027845,0.7717022704973061,0.6925160231582692,direct_indirect,month,0.02,4481,57,880,52,841,1112,0.34204545454545454
HOSE80,XGBoost,Config_Hybrid,0.7011363636363637,0.558282208588957,0.6046511627906976,0.6742075842740125,0.7533667280624745,0.6779732497891312,direct_indirect,month,0.02,4481,57,880,52,841,1112,0.34204545454545454
HOSE80,LightGBM,Config_Hybrid,0.7090909090909091,0.5709779179810726,0.6013289036544851,0.6807961958523909,0.750847778561961,0.683220583088037,direct_indirect,month,0.02,4481,57,880,52,841,1112,0.34204545454545454
