universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.6375,0.40625,0.5652173913043478,0.5982683982683983,0.6187812526485295,0.6159420289855072,direct_indirect,quarter,0.02,1441,19,240,16,602,1112,0.2875
HOSE80,Random_Forest,Config_A,0.675,0.45054945054945056,0.5942028985507246,0.6343749999999999,0.7110348334604627,0.6509026188660056,direct_indirect,quarter,0.02,1441,19,240,16,602,1112,0.2875
HOSE80,XGBoost,Config_A,0.6916666666666667,0.4691358024691358,0.5507246376811594,0.6412121212121212,0.7162471395881007,0.6496313246885329,direct_indirect,quarter,0.02,1441,19,240,16,602,1112,0.2875
HOSE80,LightGBM,Config_A,0.6958333333333333,0.47619047619047616,0.5797101449275363,0.6498171133896984,0.7238749046529367,0.6612001017035343,direct_indirect,quarter,0.02,1441,19,240,16,602,1112,0.2875
HOSE80,Logistic_Regression,Config_LLM,0.5541666666666667,0.2625,0.30434782608695654,0.4793081773758592,0.498093058733791,0.4796592931604373,direct_indirect,quarter,0.02,1441,19,240,36,602,1112,0.2875
HOSE80,Random_Forest,Config_LLM,0.4666666666666667,0.264,0.4782608695652174,0.44632686900728136,0.4584286803966438,0.4701245868293923,direct_indirect,quarter,0.02,1441,19,240,36,602,1112,0.2875
HOSE80,XGBoost,Config_LLM,0.525,0.25274725274725274,0.3333333333333333,0.465625,0.4666497160776337,0.4678362573099415,direct_indirect,quarter,0.02,1441,19,240,36,602,1112,0.2875
HOSE80,LightGBM,Config_LLM,0.5,0.21348314606741572,0.2753623188405797,0.4339177608302539,0.41829816086108995,0.43300279684719045,direct_indirect,quarter,0.02,1441,19,240,36,602,1112,0.2875
HOSE80,Logistic_Regression,Config_Hybrid,0.6875,0.4625,0.5362318840579711,0.6350290962914901,0.6448004068141369,0.6423849478769388,direct_indirect,quarter,0.02,1441,19,240,52,602,1112,0.2875
HOSE80,Random_Forest,Config_Hybrid,0.6541666666666667,0.42857142857142855,0.6086956521739131,0.6189091465631038,0.7137893041783202,0.640605136028477,direct_indirect,quarter,0.02,1441,19,240,52,602,1112,0.2875
HOSE80,XGBoost,Config_Hybrid,0.6625,0.43333333333333335,0.5652173913043478,0.6191147945688591,0.6978557504873295,0.63348588863463,direct_indirect,quarter,0.02,1441,19,240,52,602,1112,0.2875
HOSE80,LightGBM,Config_Hybrid,0.6666666666666666,0.4367816091954023,0.5507246376811594,0.6201329534662868,0.7292143401983219,0.6320874650394102,direct_indirect,quarter,0.02,1441,19,240,52,602,1112,0.2875
