universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.6780612244897959,0.42779126213592233,0.6884765625,0.6417497821694074,0.748564493590297,0.681427507769337,indirect_only,1week,0.02,19521,246,3920,16,22,22,0.2612244897959184
HOSE80,Random_Forest,Config_A,0.7849489795918367,0.6557659208261618,0.3720703125,0.66978093218116,0.7726254963743093,0.6515047695096685,indirect_only,1week,0.02,19521,246,3920,16,22,22,0.2612244897959184
HOSE80,XGBoost,Config_A,0.738265306122449,0.49919743178170145,0.607421875,0.6819082719730463,0.759764613367576,0.6959761308701657,indirect_only,1week,0.02,19521,246,3920,16,22,22,0.2612244897959184
HOSE80,LightGBM,Config_A,0.7257653061224489,0.48249828414550444,0.6865234375,0.6830549233326105,0.7851930059780732,0.7130821607389503,indirect_only,1week,0.02,19521,246,3920,16,22,22,0.2612244897959184
HOSE80,Logistic_Regression,Config_LLM,0.2612244897959184,0.2612244897959184,1.0,0.20711974110032363,0.4997550163479799,0.5,indirect_only,1week,0.02,19521,246,3920,36,22,22,0.2612244897959184
HOSE80,Random_Forest,Config_LLM,0.7357142857142858,0.22727272727272727,0.0048828125,0.42853637024232943,0.4992574618007597,0.49950632337707185,indirect_only,1week,0.02,19521,246,3920,36,22,22,0.2612244897959184
HOSE80,XGBoost,Config_LLM,0.7354591836734694,0.21739130434782608,0.0048828125,0.42844697565658,0.4989130009603764,0.49933367144337015,indirect_only,1week,0.02,19521,246,3920,36,22,22,0.2612244897959184
HOSE80,LightGBM,Config_LLM,0.7387755102040816,0.0,0.0,0.42488262910798125,0.5,0.5,indirect_only,1week,0.02,19521,246,3920,36,22,22,0.2612244897959184
HOSE80,Logistic_Regression,Config_Hybrid,0.6780612244897959,0.42779126213592233,0.6884765625,0.6417497821694074,0.748564830801105,0.681427507769337,indirect_only,1week,0.02,19521,246,3920,52,22,22,0.2612244897959184
HOSE80,Random_Forest,Config_Hybrid,0.7875,0.6733212341197822,0.3623046875,0.6690751086281812,0.7813471167127072,0.6500749956837016,indirect_only,1week,0.02,19521,246,3920,52,22,22,0.2612244897959184
HOSE80,XGBoost,Config_Hybrid,0.738265306122449,0.49919743178170145,0.607421875,0.6819082719730463,0.759764613367576,0.6959761308701657,indirect_only,1week,0.02,19521,246,3920,52,22,22,0.2612244897959184
HOSE80,LightGBM,Config_Hybrid,0.7257653061224489,0.48249828414550444,0.6865234375,0.6830549233326105,0.7851930059780732,0.7130821607389503,indirect_only,1week,0.02,19521,246,3920,52,22,22,0.2612244897959184
