universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE80,Logistic_Regression,Config_A,0.7275,0.6179775280898876,0.7284768211920529,0.7186352519053427,0.8089310885927816,0.7276922258570706,indirect_only,2month,0.02,2240,28,400,16,16,22,0.3775
HOSE80,Random_Forest,Config_A,0.7,0.6,0.6158940397350994,0.6824640787489085,0.7418415383387856,0.6834490278996782,indirect_only,2month,0.02,2240,28,400,16,16,22,0.3775
HOSE80,XGBoost,Config_A,0.71,0.6023391812865497,0.6821192052980133,0.6985368642636243,0.7538764328838533,0.7045134179100508,indirect_only,2month,0.02,2240,28,400,16,16,22,0.3775
HOSE80,LightGBM,Config_A,0.705,0.5988023952095808,0.6622516556291391,0.692058769800882,0.7555254129099177,0.6965876752041278,indirect_only,2month,0.02,2240,28,400,16,16,22,0.3775
HOSE80,Logistic_Regression,Config_LLM,0.385,0.3772609819121447,0.9668874172185431,0.301909815829053,0.4965823559137212,0.499507965637384,indirect_only,2month,0.02,2240,28,400,36,16,22,0.3775
HOSE80,Random_Forest,Config_LLM,0.3775,0.37435897435897436,0.9668874172185431,0.289175629286535,0.4849331099231364,0.49348386925184184,indirect_only,2month,0.02,2240,28,400,36,16,22,0.3775
HOSE80,XGBoost,Config_LLM,0.3725,0.3717948717948718,0.9602649006622517,0.28346619659004135,0.4746402829862496,0.48816457884518205,indirect_only,2month,0.02,2240,28,400,36,16,22,0.3775
HOSE80,LightGBM,Config_LLM,0.6225,0.0,0.0,0.38366718027734975,0.5,0.5,indirect_only,2month,0.02,2240,28,400,36,16,22,0.3775
HOSE80,Logistic_Regression,Config_Hybrid,0.6175,0.4945054945054945,0.5960264900662252,0.6064587071011054,0.6449373653554615,0.6132742892098194,indirect_only,2month,0.02,2240,28,400,52,16,22,0.3775
HOSE80,Random_Forest,Config_Hybrid,0.725,0.6413793103448275,0.6158940397350994,0.7050622050622051,0.756695656799383,0.7035293491848187,indirect_only,2month,0.02,2240,28,400,52,16,22,0.3775
HOSE80,XGBoost,Config_Hybrid,0.71,0.6023391812865497,0.6821192052980133,0.6985368642636243,0.7538764328838533,0.7045134179100508,indirect_only,2month,0.02,2240,28,400,52,16,22,0.3775
HOSE80,LightGBM,Config_Hybrid,0.705,0.5988023952095808,0.6622516556291391,0.692058769800882,0.7555254129099177,0.6965876752041278,indirect_only,2month,0.02,2240,28,400,52,16,22,0.3775
