universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,any_relevance,1week,0.02,7320,244,1440,16,420,488,0.27152777777777776
VN30,Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,any_relevance,1week,0.02,7320,244,1440,16,420,488,0.27152777777777776
VN30,XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,any_relevance,1week,0.02,7320,244,1440,16,420,488,0.27152777777777776
VN30,LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,any_relevance,1week,0.02,7320,244,1440,16,420,488,0.27152777777777776
VN30,Logistic_Regression,Config_LLM,0.3277777777777778,0.2754863813229572,0.9053708439897699,0.3092238282891555,0.5039752876323572,0.5089294639395942,any_relevance,1week,0.02,7320,244,1440,36,420,488,0.27152777777777776
VN30,Random_Forest,Config_LLM,0.3472222222222222,0.2777327935222672,0.8772378516624041,0.33614647151256205,0.5107641183053402,0.513452100283061,any_relevance,1week,0.02,7320,244,1440,36,420,488,0.27152777777777776
VN30,XGBoost,Config_LLM,0.3333333333333333,0.27580772261623326,0.8951406649616368,0.31740075054315625,0.5029622658529984,0.5095341075046507,any_relevance,1week,0.02,7320,244,1440,36,420,488,0.27152777777777776
VN30,LightGBM,Config_LLM,0.3326388888888889,0.27734375,0.907928388746803,0.3150117387101229,0.5096779541592407,0.5130681028576722,any_relevance,1week,0.02,7320,244,1440,36,420,488,0.27152777777777776
VN30,Logistic_Regression,Config_Hybrid,0.6972222222222222,0.45886654478976235,0.6419437340153452,0.6553352115397706,0.734875987117191,0.6798851177226393,any_relevance,1week,0.02,7320,244,1440,52,420,488,0.27152777777777776
VN30,Random_Forest,Config_Hybrid,0.7722222222222223,0.6666666666666666,0.32225063938618925,0.6459370314842579,0.7695954495695572,0.631096721027699,any_relevance,1week,0.02,7320,244,1440,52,420,488,0.27152777777777776
VN30,XGBoost,Config_Hybrid,0.7284722222222222,0.5,0.5191815856777494,0.6608501274884031,0.7455108872412893,0.6628319749170444,any_relevance,1week,0.02,7320,244,1440,52,420,488,0.27152777777777776
VN30,LightGBM,Config_Hybrid,0.73125,0.5040485829959515,0.6368286445012787,0.6843634510003823,0.7706401663745035,0.7016364385518786,any_relevance,1week,0.02,7320,244,1440,52,420,488,0.27152777777777776
