universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,any_relevance,month,0.02,1680,56,330,16,320,488,0.3787878787878788
VN30,Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,any_relevance,month,0.02,1680,56,330,16,320,488,0.3787878787878788
VN30,XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,any_relevance,month,0.02,1680,56,330,16,320,488,0.3787878787878788
VN30,LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,any_relevance,month,0.02,1680,56,330,16,320,488,0.3787878787878788
VN30,Logistic_Regression,Config_LLM,0.5515151515151515,0.38144329896907214,0.296,0.497716894977169,0.5089756097560976,0.5016585365853659,any_relevance,month,0.02,1680,56,330,36,320,488,0.3787878787878788
VN30,Random_Forest,Config_LLM,0.5545454545454546,0.36904761904761907,0.248,0.4853541836853775,0.49034146341463414,0.49473170731707317,any_relevance,month,0.02,1680,56,330,36,320,488,0.3787878787878788
VN30,XGBoost,Config_LLM,0.5636363636363636,0.39325842696629215,0.28,0.5021164242906835,0.5110829268292684,0.5082926829268293,any_relevance,month,0.02,1680,56,330,36,320,488,0.3787878787878788
VN30,LightGBM,Config_LLM,0.5515151515151515,0.38144329896907214,0.296,0.497716894977169,0.5145756097560976,0.5016585365853659,any_relevance,month,0.02,1680,56,330,36,320,488,0.3787878787878788
VN30,Logistic_Regression,Config_Hybrid,0.6363636363636364,0.5225225225225225,0.464,0.6042532779021426,0.5888000000000001,0.6027317073170732,any_relevance,month,0.02,1680,56,330,52,320,488,0.3787878787878788
VN30,Random_Forest,Config_Hybrid,0.693939393939394,0.6111111111111112,0.528,0.6649948236523906,0.7172878048780488,0.6615609756097561,any_relevance,month,0.02,1680,56,330,52,320,488,0.3787878787878788
VN30,XGBoost,Config_Hybrid,0.6363636363636364,0.5185185185185185,0.56,0.6192307692307693,0.6792975609756098,0.6214634146341464,any_relevance,month,0.02,1680,56,330,52,320,488,0.3787878787878788
VN30,LightGBM,Config_Hybrid,0.6606060606060606,0.5481481481481482,0.592,0.6446153846153846,0.6897951219512195,0.6472195121951219,any_relevance,month,0.02,1680,56,330,52,320,488,0.3787878787878788
