universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,direct,1week,0.02,7320,244,1440,16,361,405,0.27152777777777776
VN30,Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,direct,1week,0.02,7320,244,1440,16,361,405,0.27152777777777776
VN30,XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,direct,1week,0.02,7320,244,1440,16,361,405,0.27152777777777776
VN30,LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,direct,1week,0.02,7320,244,1440,16,361,405,0.27152777777777776
VN30,Logistic_Regression,Config_LLM,0.31666666666666665,0.2748671222475323,0.9258312020460358,0.2921485720680036,0.50829312534895,0.5077201768094812,direct,1week,0.02,7320,244,1440,36,361,405,0.27152777777777776
VN30,Random_Forest,Config_LLM,0.3333333333333333,0.2785992217898833,0.9156010230179028,0.31493272227023683,0.5166337932362816,0.5159511311467017,direct,1week,0.02,7320,244,1440,36,361,405,0.27152777777777776
VN30,XGBoost,Config_LLM,0.3277777777777778,0.27858787413660785,0.928388746803069,0.3061912792098289,0.5173079220497416,0.5161486155369015,direct,1week,0.02,7320,244,1440,36,361,405,0.27152777777777776
VN30,LightGBM,Config_LLM,0.32916666666666666,0.2796934865900383,0.9335038363171355,0.3072730749617542,0.5210991347258015,0.5187061602939348,direct,1week,0.02,7320,244,1440,36,361,405,0.27152777777777776
VN30,Logistic_Regression,Config_Hybrid,0.6979166666666666,0.45985401459854014,0.6445012787723785,0.6563149656068066,0.7348467301704948,0.6811638901011559,direct,1week,0.02,7320,244,1440,52,361,405,0.27152777777777776
VN30,Random_Forest,Config_Hybrid,0.7729166666666667,0.6584158415841584,0.340153452685422,0.6527922689355703,0.7750750318778814,0.637188261137754,direct,1week,0.02,7320,244,1440,52,361,405,0.27152777777777776
VN30,XGBoost,Config_Hybrid,0.73125,0.5047169811320755,0.5473145780051151,0.6688720866323029,0.7489022549791666,0.6735619601179055,direct,1week,0.02,7320,244,1440,52,361,405,0.27152777777777776
VN30,LightGBM,Config_Hybrid,0.7166666666666667,0.4835589941972921,0.639386189258312,0.671882120613702,0.7766207738950017,0.6924290336186698,direct,1week,0.02,7320,244,1440,52,361,405,0.27152777777777776
