universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,direct,2month,0.02,840,28,150,16,249,405,0.42
VN30,Logistic_Regression,Config_LLM,0.5266666666666666,0.43103448275862066,0.3968253968253968,0.5082875479015652,0.5108556832694764,0.5087575259989053,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,Random_Forest,Config_LLM,0.44666666666666666,0.38095238095238093,0.5079365079365079,0.4464452447645725,0.4436234263820471,0.4551176792556103,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,XGBoost,Config_LLM,0.47333333333333333,0.41304347826086957,0.6031746031746031,0.47274749721913234,0.46305418719211827,0.49124247400109466,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,LightGBM,Config_LLM,0.43333333333333335,0.3854166666666667,0.5873015873015873,0.4312859627994112,0.44937055281882865,0.4545703338806787,direct,2month,0.02,840,28,150,36,249,405,0.42
VN30,Logistic_Regression,Config_Hybrid,0.5533333333333333,0.4696969696969697,0.49206349206349204,0.5444036447708418,0.5927750410509031,0.5448823207443897,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,Random_Forest,Config_Hybrid,0.6933333333333334,0.6440677966101694,0.6031746031746031,0.6822619266899982,0.7568874293012223,0.6808976464148877,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,XGBoost,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7881773399014779,0.7090859332238643,direct,2month,0.02,840,28,150,52,249,405,0.42
VN30,LightGBM,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7785075716110198,0.7090859332238643,direct,2month,0.02,840,28,150,52,249,405,0.42
