universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,direct,month,0.02,1680,56,330,16,298,405,0.3787878787878788
VN30,Logistic_Regression,Config_LLM,0.5636363636363636,0.4095238095238095,0.344,0.5195146612740141,0.5385951219512195,0.5207804878048781,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,Random_Forest,Config_LLM,0.5484848484848485,0.32857142857142857,0.184,0.45773366418527706,0.4710439024390244,0.47736585365853657,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,XGBoost,Config_LLM,0.5575757575757576,0.36,0.216,0.47630434782608694,0.488409756097561,0.4909268292682927,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,LightGBM,Config_LLM,0.5575757575757576,0.38202247191011235,0.272,0.49520137462805414,0.5110243902439024,0.5018536585365854,direct,month,0.02,1680,56,330,36,298,405,0.3787878787878788
VN30,Logistic_Regression,Config_Hybrid,0.6,0.472,0.472,0.5750243902439025,0.5822048780487805,0.5750243902439025,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,Random_Forest,Config_Hybrid,0.703030303030303,0.6238532110091743,0.544,0.6755748164198869,0.7141463414634147,0.672,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,XGBoost,Config_Hybrid,0.6303030303030303,0.5102040816326531,0.6,0.6185187992722863,0.6817951219512195,0.624390243902439,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
VN30,LightGBM,Config_Hybrid,0.6484848484848484,0.5328467153284672,0.584,0.6328973109823929,0.7022439024390246,0.6359024390243901,direct,month,0.02,1680,56,330,52,298,405,0.3787878787878788
