universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,direct_indirect,quarter,0.02,540,18,90,16,206,426,0.34444444444444444
VN30,Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,direct_indirect,quarter,0.02,540,18,90,16,206,426,0.34444444444444444
VN30,XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,direct_indirect,quarter,0.02,540,18,90,16,206,426,0.34444444444444444
VN30,LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,direct_indirect,quarter,0.02,540,18,90,16,206,426,0.34444444444444444
VN30,Logistic_Regression,Config_LLM,0.5444444444444444,0.3684210526315789,0.45161290322580644,0.518213866039953,0.5333515582285402,0.5224166211044287,direct_indirect,quarter,0.02,540,18,90,36,206,426,0.34444444444444444
VN30,Random_Forest,Config_LLM,0.5333333333333333,0.3829787234042553,0.5806451612903226,0.5248868778280543,0.5429196282121378,0.5445598687807545,direct_indirect,quarter,0.02,540,18,90,36,206,426,0.34444444444444444
VN30,XGBoost,Config_LLM,0.5222222222222223,0.375,0.5806451612903226,0.5149768141371098,0.5202296336796063,0.536085292509568,direct_indirect,quarter,0.02,540,18,90,36,206,426,0.34444444444444444
VN30,LightGBM,Config_LLM,0.4888888888888889,0.3469387755102041,0.5483870967741935,0.48250000000000004,0.4926189174412247,0.5030071077091307,direct_indirect,quarter,0.02,540,18,90,36,206,426,0.34444444444444444
VN30,Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.612356478950246,0.6394204483324221,direct_indirect,quarter,0.02,540,18,90,52,206,426,0.34444444444444444
VN30,Random_Forest,Config_Hybrid,0.7111111111111111,0.5675675675675675,0.6774193548387096,0.6927521008403361,0.7897758337889558,0.7031164570803717,direct_indirect,quarter,0.02,540,18,90,52,206,426,0.34444444444444444
VN30,XGBoost,Config_Hybrid,0.6555555555555556,0.5,0.7096774193548387,0.6457142857142857,0.746856205576818,0.6683980317113176,direct_indirect,quarter,0.02,540,18,90,52,206,426,0.34444444444444444
VN30,LightGBM,Config_Hybrid,0.6888888888888889,0.5428571428571428,0.6129032258064516,0.6650717703349283,0.754510661563696,0.6708583925642427,direct_indirect,quarter,0.02,540,18,90,52,206,426,0.34444444444444444
