universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,indirect_only,2month,0.02,840,28,150,16,15,21,0.42
VN30,Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,indirect_only,2month,0.02,840,28,150,16,15,21,0.42
VN30,XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,indirect_only,2month,0.02,840,28,150,16,15,21,0.42
VN30,LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,indirect_only,2month,0.02,840,28,150,16,15,21,0.42
VN30,Logistic_Regression,Config_LLM,0.54,0.3125,0.07936507936507936,0.40718254195543846,0.46889253785805507,0.476464148877942,indirect_only,2month,0.02,840,28,150,36,15,21,0.42
VN30,Random_Forest,Config_LLM,0.54,0.2857142857142857,0.06349206349206349,0.39723953176867977,0.4630541871921182,0.47427476737821567,indirect_only,2month,0.02,840,28,150,36,15,21,0.42
VN30,XGBoost,Config_LLM,0.5466666666666666,0.35294117647058826,0.09523809523809523,0.42045454545454547,0.48440065681445,0.48440065681444994,indirect_only,2month,0.02,840,28,150,36,15,21,0.42
VN30,LightGBM,Config_LLM,0.58,0.0,0.0,0.3670886075949367,0.5,0.5,indirect_only,2month,0.02,840,28,150,36,15,21,0.42
VN30,Logistic_Regression,Config_Hybrid,0.64,0.56,0.6666666666666666,0.6376811594202898,0.6569968983762087,0.6436781609195402,indirect_only,2month,0.02,840,28,150,52,15,21,0.42
VN30,Random_Forest,Config_Hybrid,0.72,0.6666666666666666,0.6666666666666666,0.7126436781609196,0.7724867724867724,0.7126436781609196,indirect_only,2month,0.02,840,28,150,52,15,21,0.42
VN30,XGBoost,Config_Hybrid,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,indirect_only,2month,0.02,840,28,150,52,15,21,0.42
VN30,LightGBM,Config_Hybrid,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,indirect_only,2month,0.02,840,28,150,52,15,21,0.42
