universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
VN30,Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,indirect_only,month,0.02,1680,56,330,16,19,21,0.3787878787878788
VN30,Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,indirect_only,month,0.02,1680,56,330,16,19,21,0.3787878787878788
VN30,XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,indirect_only,month,0.02,1680,56,330,16,19,21,0.3787878787878788
VN30,LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,indirect_only,month,0.02,1680,56,330,16,19,21,0.3787878787878788
VN30,Logistic_Regression,Config_LLM,0.6060606060606061,0.3076923076923077,0.032,0.40446443444944197,0.49118048780487805,0.4940487804878049,indirect_only,month,0.02,1680,56,330,36,19,21,0.3787878787878788
VN30,Random_Forest,Config_LLM,0.6090909090909091,0.35714285714285715,0.04,0.41217083914442343,0.4992,0.4980487804878049,indirect_only,month,0.02,1680,56,330,36,19,21,0.3787878787878788
VN30,XGBoost,Config_LLM,0.6060606060606061,0.3076923076923077,0.032,0.40446443444944197,0.49162926829268294,0.4940487804878049,indirect_only,month,0.02,1680,56,330,36,19,21,0.3787878787878788
VN30,LightGBM,Config_LLM,0.6212121212121212,0.0,0.0,0.38317757009345793,0.5,0.5,indirect_only,month,0.02,1680,56,330,36,19,21,0.3787878787878788
VN30,Logistic_Regression,Config_Hybrid,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5913756097560976,0.6051707317073171,indirect_only,month,0.02,1680,56,330,52,19,21,0.3787878787878788
VN30,Random_Forest,Config_Hybrid,0.703030303030303,0.6285714285714286,0.528,0.6730030333670374,0.7099707317073172,0.6688780487804878,indirect_only,month,0.02,1680,56,330,52,19,21,0.3787878787878788
VN30,XGBoost,Config_Hybrid,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,indirect_only,month,0.02,1680,56,330,52,19,21,0.3787878787878788
VN30,LightGBM,Config_Hybrid,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,indirect_only,month,0.02,1680,56,330,52,19,21,0.3787878787878788
