universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
liquid100_mat10,Logistic_Regression,Config_A,0.5857142857142857,0.4918032786885246,0.5263157894736842,0.5752249424565808,0.621010357218347,0.5764109067850349,direct_indirect,2month,0.02,784,28,140,16,296,507,0.40714285714285714
liquid100_mat10,Random_Forest,Config_A,0.6785714285714286,0.62,0.543859649122807,0.6596618227000162,0.6671950961741703,0.6574719932361024,direct_indirect,2month,0.02,784,28,140,16,296,507,0.40714285714285714
liquid100_mat10,XGBoost,Config_A,0.5928571428571429,0.5,0.45614035087719296,0.5718654434250765,0.6246036778693721,0.5714436694145001,direct_indirect,2month,0.02,784,28,140,16,296,507,0.40714285714285714
liquid100_mat10,LightGBM,Config_A,0.6857142857142857,0.6274509803921569,0.5614035087719298,0.6683893195521102,0.6757556541957304,0.6662439230606637,direct_indirect,2month,0.02,784,28,140,16,296,507,0.40714285714285714
liquid100_mat10,Logistic_Regression,Config_LLM,0.4642857142857143,0.4,0.631578947368421,0.46294307196562834,0.5079264426125555,0.4904882688649334,direct_indirect,2month,0.02,784,28,140,36,296,507,0.40714285714285714
liquid100_mat10,Random_Forest,Config_LLM,0.55,0.4583333333333333,0.5789473684210527,0.5472046819651932,0.5537941238638766,0.5545339251743817,direct_indirect,2month,0.02,784,28,140,36,296,507,0.40714285714285714
liquid100_mat10,XGBoost,Config_LLM,0.4785714285714286,0.4,0.5614035087719298,0.47833188709101115,0.4958782498414711,0.4915451278799408,direct_indirect,2month,0.02,784,28,140,36,296,507,0.40714285714285714
liquid100_mat10,LightGBM,Config_LLM,0.4928571428571429,0.4166666666666667,0.6140350877192983,0.4928312669013725,0.5081378144155569,0.5118368209680828,direct_indirect,2month,0.02,784,28,140,36,296,507,0.40714285714285714
liquid100_mat10,Logistic_Regression,Config_Hybrid,0.5857142857142857,0.4918032786885246,0.5263157894736842,0.5752249424565808,0.6237581906573664,0.5764109067850349,direct_indirect,2month,0.02,784,28,140,52,296,507,0.40714285714285714
liquid100_mat10,Random_Forest,Config_Hybrid,0.6928571428571428,0.6458333333333334,0.543859649122807,0.6723809523809524,0.7208835341365462,0.6695201860071867,direct_indirect,2month,0.02,784,28,140,52,296,507,0.40714285714285714
liquid100_mat10,XGBoost,Config_Hybrid,0.6357142857142857,0.5555555555555556,0.5263157894736842,0.6193826963057733,0.6696258719086874,0.61857958148383,direct_indirect,2month,0.02,784,28,140,52,296,507,0.40714285714285714
liquid100_mat10,LightGBM,Config_Hybrid,0.6571428571428571,0.5918367346938775,0.5087719298245614,0.6356538711776187,0.694567744662862,0.6339040372014373,direct_indirect,2month,0.02,784,28,140,52,296,507,0.40714285714285714
