universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
liquid200_mat5,Logistic_Regression,Config_A,0.6955128205128205,0.4606986899563319,0.6133720930232558,0.650931702620662,0.7260528143650957,0.6700710022638403,direct,1week,0.02,6344,244,1248,16,331,369,0.27564102564102566
liquid200_mat5,Random_Forest,Config_A,0.7772435897435898,0.6736842105263158,0.37209302325581395,0.6688542990986038,0.7736207938876313,0.6517544762296769,direct,1week,0.02,6344,244,1248,16,331,369,0.27564102564102566
liquid200_mat5,XGBoost,Config_A,0.7451923076923077,0.5386904761904762,0.5261627906976745,0.6786214045089402,0.7708569150030872,0.677351306853262,direct,1week,0.02,6344,244,1248,16,331,369,0.27564102564102566
liquid200_mat5,LightGBM,Config_A,0.7331730769230769,0.513317191283293,0.6162790697674418,0.6843081593074567,0.7764554177814365,0.6969669685120394,direct,1week,0.02,6344,244,1248,16,331,369,0.27564102564102566
liquid200_mat5,Logistic_Regression,Config_LLM,0.3405448717948718,0.28247048138056313,0.9040697674418605,0.32369303908948144,0.5097628112780407,0.515087981066063,direct,1week,0.02,6344,244,1248,36,331,369,0.27564102564102566
liquid200_mat5,Random_Forest,Config_LLM,0.7003205128205128,0.1875,0.02616279069767442,0.43408085667727164,0.5054248559374357,0.4915105988886602,direct,1week,0.02,6344,244,1248,36,331,369,0.27564102564102566
liquid200_mat5,XGBoost,Config_LLM,0.32371794871794873,0.27797513321492007,0.9098837209302325,0.30161912718303696,0.48943166032105373,0.5052737188721959,direct,1week,0.02,6344,244,1248,36,331,369,0.27564102564102566
liquid200_mat5,LightGBM,Config_LLM,0.3229166666666667,0.28045574057843997,0.9302325581395349,0.2975851492171967,0.4997330983741511,0.5110233587157851,direct,1week,0.02,6344,244,1248,36,331,369,0.27564102564102566
liquid200_mat5,Logistic_Regression,Config_Hybrid,0.6979166666666666,0.4638949671772429,0.6162790697674418,0.6534597240175444,0.7267892055978596,0.6726306853261987,direct,1week,0.02,6344,244,1248,52,331,369,0.27564102564102566
liquid200_mat5,Random_Forest,Config_Hybrid,0.7740384615384616,0.6684782608695652,0.35755813953488375,0.6613082039911308,0.7739021660835563,0.6450401317143445,direct,1week,0.02,6344,244,1248,52,331,369,0.27564102564102566
liquid200_mat5,XGBoost,Config_Hybrid,0.7564102564102564,0.5552486187845304,0.5843023255813954,0.6997863484577523,0.7753074192220621,0.703102490224326,direct,1week,0.02,6344,244,1248,52,331,369,0.27564102564102566
liquid200_mat5,LightGBM,Config_Hybrid,0.7435897435897436,0.53,0.6162790697674418,0.6936220356458977,0.7794524336283186,0.7041572339987652,direct,1week,0.02,6344,244,1248,52,331,369,0.27564102564102566
