universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
liquid50_mat5,Logistic_Regression,Config_A,0.6904761904761905,0.4727272727272727,0.5306122448979592,0.6379310344827587,0.6293946149888527,0.6434573829531813,any_relevance,quarter,0.02,1009,19,168,16,440,899,0.2916666666666667
liquid50_mat5,Random_Forest,Config_A,0.6547619047619048,0.43283582089552236,0.5918367346938775,0.6181818181818182,0.6877894014748754,0.6362545018007203,any_relevance,quarter,0.02,1009,19,168,16,440,899,0.2916666666666667
liquid50_mat5,XGBoost,Config_A,0.6785714285714286,0.4576271186440678,0.5510204081632653,0.631578947368421,0.7146287086263077,0.6410564225690276,any_relevance,quarter,0.02,1009,19,168,16,440,899,0.2916666666666667
liquid50_mat5,LightGBM,Config_A,0.6904761904761905,0.4745762711864407,0.5714285714285714,0.6452241715399609,0.7369233407648774,0.6554621848739496,any_relevance,quarter,0.02,1009,19,168,16,440,899,0.2916666666666667
liquid50_mat5,Logistic_Regression,Config_LLM,0.5416666666666666,0.3,0.42857142857142855,0.4990512333965844,0.5527353798662322,0.5084033613445378,any_relevance,quarter,0.02,1009,19,168,36,440,899,0.2916666666666667
liquid50_mat5,Random_Forest,Config_LLM,0.5119047619047619,0.2676056338028169,0.3877551020408163,0.4685185185185185,0.490053164122792,0.47539015606242496,any_relevance,quarter,0.02,1009,19,168,36,440,899,0.2916666666666667
liquid50_mat5,XGBoost,Config_LLM,0.4642857142857143,0.27472527472527475,0.5102040816326531,0.44897959183673475,0.48688046647230326,0.4777911164465787,any_relevance,quarter,0.02,1009,19,168,36,440,899,0.2916666666666667
liquid50_mat5,LightGBM,Config_LLM,0.5059523809523809,0.2875,0.46938775510204084,0.4778114818559712,0.5023152117990053,0.4951980792316927,any_relevance,quarter,0.02,1009,19,168,36,440,899,0.2916666666666667
liquid50_mat5,Logistic_Regression,Config_Hybrid,0.6785714285714286,0.4489795918367347,0.4489795918367347,0.6110444177671068,0.630938089521523,0.6110444177671068,any_relevance,quarter,0.02,1009,19,168,52,440,899,0.2916666666666667
liquid50_mat5,Random_Forest,Config_Hybrid,0.6309523809523809,0.4084507042253521,0.5918367346938775,0.5981481481481481,0.6780998113531127,0.6194477791116446,any_relevance,quarter,0.02,1009,19,168,52,440,899,0.2916666666666667
liquid50_mat5,XGBoost,Config_Hybrid,0.6964285714285714,0.48214285714285715,0.5510204081632653,0.6467532467532467,0.7381238209569543,0.6536614645858343,any_relevance,quarter,0.02,1009,19,168,52,440,899,0.2916666666666667
liquid50_mat5,LightGBM,Config_Hybrid,0.6785714285714286,0.45614035087719296,0.5306122448979592,0.6278917145200984,0.7096552906877036,0.6350540216086435,any_relevance,quarter,0.02,1009,19,168,52,440,899,0.2916666666666667
