universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
liquid50_mat5,Logistic_Regression,Config_A,0.6904761904761905,0.4727272727272727,0.5306122448979592,0.6379310344827587,0.6293946149888527,0.6434573829531813,direct_indirect,quarter,0.02,1009,19,168,16,428,822,0.2916666666666667
liquid50_mat5,Random_Forest,Config_A,0.6547619047619048,0.43283582089552236,0.5918367346938775,0.6181818181818182,0.6877894014748754,0.6362545018007203,direct_indirect,quarter,0.02,1009,19,168,16,428,822,0.2916666666666667
liquid50_mat5,XGBoost,Config_A,0.6785714285714286,0.4576271186440678,0.5510204081632653,0.631578947368421,0.7146287086263077,0.6410564225690276,direct_indirect,quarter,0.02,1009,19,168,16,428,822,0.2916666666666667
liquid50_mat5,LightGBM,Config_A,0.6904761904761905,0.4745762711864407,0.5714285714285714,0.6452241715399609,0.7369233407648774,0.6554621848739496,direct_indirect,quarter,0.02,1009,19,168,16,428,822,0.2916666666666667
liquid50_mat5,Logistic_Regression,Config_LLM,0.5654761904761905,0.34615384615384615,0.5510204081632653,0.5379572768714915,0.5492196878751501,0.5612244897959183,direct_indirect,quarter,0.02,1009,19,168,36,428,822,0.2916666666666667
liquid50_mat5,Random_Forest,Config_LLM,0.5178571428571429,0.2894736842105263,0.4489795918367347,0.4840568720379147,0.49571257074258274,0.4975990396158463,direct_indirect,quarter,0.02,1009,19,168,36,428,822,0.2916666666666667
liquid50_mat5,XGBoost,Config_LLM,0.4880952380952381,0.2823529411764706,0.4897959183673469,0.4662331904832274,0.4905676556336821,0.48859543817527007,direct_indirect,quarter,0.02,1009,19,168,36,428,822,0.2916666666666667
liquid50_mat5,LightGBM,Config_LLM,0.5178571428571429,0.3048780487804878,0.5102040816326531,0.4932787190467325,0.5219516377979764,0.5156062424969988,direct_indirect,quarter,0.02,1009,19,168,36,428,822,0.2916666666666667
liquid50_mat5,Logistic_Regression,Config_Hybrid,0.7202380952380952,0.52,0.5306122448979592,0.6634701444828027,0.6511747556165324,0.6644657863145258,direct_indirect,quarter,0.02,1009,19,168,52,428,822,0.2916666666666667
liquid50_mat5,Random_Forest,Config_Hybrid,0.6547619047619048,0.43283582089552236,0.5918367346938775,0.6181818181818182,0.6817870005144915,0.6362545018007203,direct_indirect,quarter,0.02,1009,19,168,52,428,822,0.2916666666666667
liquid50_mat5,XGBoost,Config_Hybrid,0.6964285714285714,0.48333333333333334,0.5918367346938775,0.6537202441094452,0.727662493568856,0.6656662665066027,direct_indirect,quarter,0.02,1009,19,168,52,428,822,0.2916666666666667
liquid50_mat5,LightGBM,Config_Hybrid,0.7023809523809523,0.49122807017543857,0.5714285714285714,0.6554552912223134,0.7292059681015263,0.6638655462184874,direct_indirect,quarter,0.02,1009,19,168,52,428,822,0.2916666666666667
