universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,any_relevance,month,0.02,5689,58,1088,16,927,1234,0.2858455882352941
HOSE100_quality,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,any_relevance,month,0.02,5689,58,1088,16,927,1234,0.2858455882352941
HOSE100_quality,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,any_relevance,month,0.02,5689,58,1088,16,927,1234,0.2858455882352941
HOSE100_quality,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,any_relevance,month,0.02,5689,58,1088,16,927,1234,0.2858455882352941
HOSE100_quality,Logistic_Regression,Config_LLM,0.5772058823529411,0.29476584022038566,0.3440514469453376,0.5056245480803044,0.5012187198682375,0.507289558736504,any_relevance,month,0.02,5689,58,1088,36,927,1234,0.2858455882352941
HOSE100_quality,Random_Forest,Config_LLM,0.6167279411764706,0.29615384615384616,0.24758842443729903,0.5049445962976906,0.49176484707031326,0.5060335944580318,any_relevance,month,0.02,5689,58,1088,36,927,1234,0.2858455882352941
HOSE100_quality,XGBoost,Config_LLM,0.5955882352941176,0.2704626334519573,0.24437299035369775,0.48948948948948945,0.48053358825063003,0.490268863259217,any_relevance,month,0.02,5689,58,1088,36,927,1234,0.2858455882352941
HOSE100_quality,LightGBM,Config_LLM,0.6029411764705882,0.2976588628762542,0.2861736334405145,0.5079706048615037,0.49461197531937073,0.5079516815851222,any_relevance,month,0.02,5689,58,1088,36,927,1234,0.2858455882352941
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.6461397058823529,0.4202586206896552,0.6270096463022508,0.614211047408533,0.6821189586462898,0.6404031500494523,any_relevance,month,0.02,5689,58,1088,52,927,1234,0.2858455882352941
HOSE100_quality,Random_Forest,Config_Hybrid,0.7536764705882353,0.56957928802589,0.5659163987138264,0.697752715813915,0.7835603173223752,0.6973726137713276,any_relevance,month,0.02,5689,58,1088,52,927,1234,0.2858455882352941
HOSE100_quality,XGBoost,Config_Hybrid,0.7233455882352942,0.5133689839572193,0.617363344051447,0.6793530036667694,0.757352667320513,0.6915645549086064,any_relevance,month,0.02,5689,58,1088,52,927,1234,0.2858455882352941
HOSE100_quality,LightGBM,Config_Hybrid,0.7215073529411765,0.5102564102564102,0.639871382636656,0.6811683067772432,0.7664320268821876,0.6970270684097051,any_relevance,month,0.02,5689,58,1088,52,927,1234,0.2858455882352941
