universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.5819672131147541,0.3851851851851852,0.7323943661971831,0.5715761206362322,0.6543596841162581,0.6263127900350077,direct,2month,0.02,2888,29,488,16,767,1132,0.29098360655737704
HOSE100_quality,Random_Forest,Config_A,0.75,0.5735294117647058,0.5492957746478874,0.6931829894250788,0.7485243832939835,0.6908328584222097,direct,2month,0.02,2888,29,488,16,767,1132,0.29098360655737704
HOSE100_quality,XGBoost,Config_A,0.7028688524590164,0.49056603773584906,0.5492957746478874,0.6517288052171772,0.7118374989823333,0.6575958642025563,direct,2month,0.02,2888,29,488,16,767,1132,0.29098360655737704
HOSE100_quality,LightGBM,Config_A,0.7254098360655737,0.5256410256410257,0.5774647887323944,0.6763477262378492,0.7262069526988519,0.6817959781812262,direct,2month,0.02,2888,29,488,16,767,1132,0.29098360655737704
HOSE100_quality,Logistic_Regression,Config_LLM,0.3975409836065574,0.2682926829268293,0.6197183098591549,0.39672020856109663,0.4848469429292518,0.46303834568102253,direct,2month,0.02,2888,29,488,36,767,1132,0.29098360655737704
HOSE100_quality,Random_Forest,Config_LLM,0.42213114754098363,0.2770700636942675,0.6126760563380281,0.4196356275303644,0.48464340959049096,0.4783033460880892,direct,2month,0.02,2888,29,488,36,767,1132,0.29098360655737704
HOSE100_quality,XGBoost,Config_LLM,0.41188524590163933,0.26537216828478966,0.5774647887323944,0.40848484848484845,0.46403565904095084,0.46069771228527234,direct,2month,0.02,2888,29,488,36,767,1132,0.29098360655737704
HOSE100_quality,LightGBM,Config_LLM,0.39344262295081966,0.2608695652173913,0.5915492957746479,0.39197198275862066,0.45165065537735083,0.4518440120491737,direct,2month,0.02,2888,29,488,36,767,1132,0.29098360655737704
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.5799180327868853,0.3828996282527881,0.7253521126760564,0.569192343302543,0.6546446307905234,0.6227916632744444,direct,2month,0.02,2888,29,488,52,767,1132,0.29098360655737704
HOSE100_quality,Random_Forest,Config_Hybrid,0.7397540983606558,0.5572519083969466,0.5140845070422535,0.6770720981247297,0.755037450134332,0.6732272246193927,direct,2month,0.02,2888,29,488,52,767,1132,0.29098360655737704
HOSE100_quality,XGBoost,Config_Hybrid,0.7131147540983607,0.5063291139240507,0.5633802816901409,0.6631163708086785,0.7262883660343564,0.6689733778392901,direct,2month,0.02,2888,29,488,52,767,1132,0.29098360655737704
HOSE100_quality,LightGBM,Config_Hybrid,0.7213114754098361,0.5185185185185185,0.5915492957746479,0.675125313283208,0.7444638931857039,0.6830578848815436,direct,2month,0.02,2888,29,488,52,767,1132,0.29098360655737704
