universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.5819672131147541,0.3851851851851852,0.7323943661971831,0.5715761206362322,0.6543596841162581,0.6263127900350077,indirect_only,2month,0.02,2888,29,488,16,19,23,0.29098360655737704
HOSE100_quality,Random_Forest,Config_A,0.75,0.5735294117647058,0.5492957746478874,0.6931829894250788,0.7485243832939835,0.6908328584222097,indirect_only,2month,0.02,2888,29,488,16,19,23,0.29098360655737704
HOSE100_quality,XGBoost,Config_A,0.7028688524590164,0.49056603773584906,0.5492957746478874,0.6517288052171772,0.7118374989823333,0.6575958642025563,indirect_only,2month,0.02,2888,29,488,16,19,23,0.29098360655737704
HOSE100_quality,LightGBM,Config_A,0.7254098360655737,0.5256410256410257,0.5774647887323944,0.6763477262378492,0.7262069526988519,0.6817959781812262,indirect_only,2month,0.02,2888,29,488,16,19,23,0.29098360655737704
HOSE100_quality,Logistic_Regression,Config_LLM,0.29918032786885246,0.288135593220339,0.9577464788732394,0.24912268072777005,0.49039322641048605,0.49332410648864283,indirect_only,2month,0.02,2888,29,488,36,19,23,0.29098360655737704
HOSE100_quality,Random_Forest,Config_LLM,0.6967213114754098,0.0,0.0,0.4106280193236715,0.47903606610762844,0.4913294797687861,indirect_only,2month,0.02,2888,29,488,36,19,23,0.29098360655737704
HOSE100_quality,XGBoost,Config_LLM,0.2930327868852459,0.28721174004192873,0.9647887323943662,0.2381314399750207,0.4861292029634454,0.491064886428397,indirect_only,2month,0.02,2888,29,488,36,19,23,0.29098360655737704
HOSE100_quality,LightGBM,Config_LLM,0.7090163934426229,0.0,0.0,0.4148681055155875,0.5,0.5,indirect_only,2month,0.02,2888,29,488,36,19,23,0.29098360655737704
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.5819672131147541,0.3851851851851852,0.7323943661971831,0.5715761206362322,0.6543800374501342,0.6263127900350077,indirect_only,2month,0.02,2888,29,488,52,19,23,0.29098360655737704
HOSE100_quality,Random_Forest,Config_Hybrid,0.7479508196721312,0.5673758865248227,0.5633802816901409,0.6939409236229024,0.7488500366360009,0.6935398518277294,indirect_only,2month,0.02,2888,29,488,52,19,23,0.29098360655737704
HOSE100_quality,XGBoost,Config_Hybrid,0.7110655737704918,0.5032258064516129,0.5492957746478874,0.6587971020960712,0.7028006187413497,0.6633762110233656,indirect_only,2month,0.02,2888,29,488,52,19,23,0.29098360655737704
HOSE100_quality,LightGBM,Config_Hybrid,0.7254098360655737,0.5256410256410257,0.5774647887323944,0.6763477262378492,0.7262069526988519,0.6817959781812262,indirect_only,2month,0.02,2888,29,488,52,19,23,0.29098360655737704
