universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,any_relevance,1week,0.02,24489,247,4888,16,1076,1191,0.25143207855973815
HOSE100_quality,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,any_relevance,1week,0.02,24489,247,4888,16,1076,1191,0.25143207855973815
HOSE100_quality,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,any_relevance,1week,0.02,24489,247,4888,16,1076,1191,0.25143207855973815
HOSE100_quality,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,any_relevance,1week,0.02,24489,247,4888,16,1076,1191,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_LLM,0.2845744680851064,0.250110180696342,0.9235150528885273,0.26066575625338917,0.4975377542495282,0.4967397620277564,any_relevance,1week,0.02,24489,247,4888,36,1076,1191,0.25143207855973815
HOSE100_quality,Random_Forest,Config_LLM,0.2876432078559738,0.2504983388704319,0.9202603742880391,0.2651054792854932,0.4989581737330359,0.4977087605247247,any_relevance,1week,0.02,24489,247,4888,36,1076,1191,0.25143207855973815
HOSE100_quality,XGBoost,Config_LLM,0.2827332242225859,0.25005488474204174,0.9267697314890154,0.25779428843856456,0.49718684670432656,0.4965906596772762,any_relevance,1week,0.02,24489,247,4888,36,1076,1191,0.25143207855973815
HOSE100_quality,LightGBM,Config_LLM,0.2813011456628478,0.24978089395267308,0.9275834011391375,0.2557899815801829,0.4958081225089845,0.4959042996403531,any_relevance,1week,0.02,24489,247,4888,36,1076,1191,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.6859656301145662,0.4240317775571003,0.6948738812042311,0.6458559331997862,0.7510371008009721,0.688923685614414,any_relevance,1week,0.02,24489,247,4888,52,1076,1191,0.25143207855973815
HOSE100_quality,Random_Forest,Config_Hybrid,0.792962356792144,0.6714060031595577,0.34580960130187144,0.6643118681573423,0.7752898600839554,0.6444817342393478,any_relevance,1week,0.02,24489,247,4888,52,1076,1191,0.25143207855973815
HOSE100_quality,XGBoost,Config_Hybrid,0.7342471358428805,0.47759282970550576,0.6069975589910497,0.674302742709912,0.7632099011966215,0.6919929035731417,any_relevance,1week,0.02,24489,247,4888,52,1076,1191,0.25143207855973815
HOSE100_quality,LightGBM,Config_Hybrid,0.7301554828150573,0.4752202643171806,0.7021969080553295,0.6854359372937849,0.7876144313285275,0.7208716160938031,any_relevance,1week,0.02,24489,247,4888,52,1076,1191,0.25143207855973815
