universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6262886597938144,0.39490445859872614,0.5535714285714286,0.5874852437620525,0.6144539337474121,0.604684265010352,any_relevance,quarter,0.02,1889,20,388,16,658,1191,0.28865979381443296
HOSE100_quality,Random_Forest,Config_A,0.7036082474226805,0.49032258064516127,0.6785714285714286,0.6716775935777723,0.7682776915113871,0.6961697722567288,any_relevance,quarter,0.02,1889,20,388,16,658,1191,0.28865979381443296
HOSE100_quality,XGBoost,Config_A,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,any_relevance,quarter,0.02,1889,20,388,16,658,1191,0.28865979381443296
HOSE100_quality,LightGBM,Config_A,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,any_relevance,quarter,0.02,1889,20,388,16,658,1191,0.28865979381443296
HOSE100_quality,Logistic_Regression,Config_LLM,0.6056701030927835,0.28865979381443296,0.25,0.49905065694539374,0.49716938405797106,0.5,any_relevance,quarter,0.02,1889,20,388,36,658,1191,0.28865979381443296
HOSE100_quality,Random_Forest,Config_LLM,0.5979381443298969,0.23809523809523808,0.17857142857142858,0.46755805770584097,0.4599993530020705,0.47334368530020704,any_relevance,quarter,0.02,1889,20,388,36,658,1191,0.28865979381443296
HOSE100_quality,XGBoost,Config_LLM,0.5670103092783505,0.24074074074074073,0.23214285714285715,0.4671026814911707,0.44552277432712223,0.46752070393374745,any_relevance,quarter,0.02,1889,20,388,36,658,1191,0.28865979381443296
HOSE100_quality,LightGBM,Config_LLM,0.5773195876288659,0.25,0.23214285714285715,0.47394179894179894,0.4598052536231884,0.4747670807453416,any_relevance,quarter,0.02,1889,20,388,36,658,1191,0.28865979381443296
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.6752577319587629,0.4485294117647059,0.5446428571428571,0.6266495601173021,0.6663431677018633,0.6364518633540373,any_relevance,quarter,0.02,1889,20,388,52,658,1191,0.28865979381443296
HOSE100_quality,Random_Forest,Config_Hybrid,0.6984536082474226,0.4840764331210191,0.6785714285714286,0.6671432656562768,0.7651882763975155,0.6925465838509317,any_relevance,quarter,0.02,1889,20,388,52,658,1191,0.28865979381443296
HOSE100_quality,XGBoost,Config_Hybrid,0.6932989690721649,0.47651006711409394,0.6339285714285714,0.6564966707584718,0.7590256211180123,0.6756599378881987,any_relevance,quarter,0.02,1889,20,388,52,658,1191,0.28865979381443296
HOSE100_quality,LightGBM,Config_Hybrid,0.6778350515463918,0.45695364238410596,0.6160714285714286,0.6405250557742053,0.7524585921325052,0.6594849896480331,any_relevance,quarter,0.02,1889,20,388,52,658,1191,0.28865979381443296
