universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,direct,1week,0.02,24489,247,4888,16,998,1090,0.25143207855973815
HOSE100_quality,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,direct,1week,0.02,24489,247,4888,16,998,1090,0.25143207855973815
HOSE100_quality,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,direct,1week,0.02,24489,247,4888,16,998,1090,0.25143207855973815
HOSE100_quality,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,direct,1week,0.02,24489,247,4888,16,998,1090,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_LLM,0.28211947626841244,0.25076519457804985,0.9332790886899919,0.25605054521258197,0.4996618790098359,0.49834219534253626,direct,1week,0.02,24489,247,4888,36,998,1090,0.25143207855973815
HOSE100_quality,Random_Forest,Config_LLM,0.28211947626841244,0.2508741258741259,0.934092758340114,0.2559322964012779,0.4996868961827353,0.49861238080984926,direct,1week,0.02,24489,247,4888,36,998,1090,0.25143207855973815
HOSE100_quality,XGBoost,Config_LLM,0.2855973813420622,0.25137332454405625,0.9308380797396257,0.260986938495589,0.5018104650058673,0.49985467802231354,direct,1week,0.02,24489,247,4888,36,998,1090,0.25143207855973815
HOSE100_quality,LightGBM,Config_LLM,0.2823240589198036,0.2513637355444032,0.9373474369406021,0.25572825769155716,0.5016494655998306,0.49982977203684925,direct,1week,0.02,24489,247,4888,36,998,1090,0.25143207855973815
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.685556464811784,0.42353525322740815,0.694060211554109,0.6453945077055839,0.751043104922468,0.6883802014316049,direct,1week,0.02,24489,247,4888,52,998,1090,0.25143207855973815
HOSE100_quality,Random_Forest,Config_Hybrid,0.7921440261865794,0.6587183308494784,0.3596419853539463,0.6681318328833765,0.7816116440819042,0.648528289752677,direct,1week,0.02,24489,247,4888,52,998,1090,0.25143207855973815
HOSE100_quality,XGBoost,Config_Hybrid,0.7340425531914894,0.47751741608613046,0.613506916192026,0.6752349364289663,0.7636960126629146,0.6940177379538977,direct,1week,0.02,24489,247,4888,52,998,1090,0.25143207855973815
HOSE100_quality,LightGBM,Config_Hybrid,0.7295417348608838,0.47443650357339195,0.7021969080553295,0.6848903473867194,0.7864454066357995,0.720461668020559,direct,1week,0.02,24489,247,4888,52,998,1090,0.25143207855973815
