universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,direct,month,0.02,5689,58,1088,16,855,1090,0.2858455882352941
HOSE100_quality,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,direct,month,0.02,5689,58,1088,16,855,1090,0.2858455882352941
HOSE100_quality,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,direct,month,0.02,5689,58,1088,16,855,1090,0.2858455882352941
HOSE100_quality,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,direct,month,0.02,5689,58,1088,16,855,1090,0.2858455882352941
HOSE100_quality,Logistic_Regression,Config_LLM,0.6084558823529411,0.3186119873817035,0.3247588424437299,0.5232311262529008,0.5197498830939346,0.5233832822257259,direct,month,0.02,5689,58,1088,36,855,1090,0.2858455882352941
HOSE100_quality,Random_Forest,Config_LLM,0.6295955882352942,0.3034188034188034,0.2282958199356913,0.5067313912216853,0.5049472991595177,0.5092573050772408,direct,month,0.02,5689,58,1088,36,855,1090,0.2858455882352941
HOSE100_quality,XGBoost,Config_LLM,0.6240808823529411,0.28695652173913044,0.21221864951768488,0.49691985054294063,0.48815213927754136,0.5005752192247369,direct,month,0.02,5689,58,1088,36,855,1090,0.2858455882352941
HOSE100_quality,LightGBM,Config_LLM,0.6158088235294118,0.299625468164794,0.2572347266881029,0.5076198188912611,0.4980881202746154,0.5082827430094311,direct,month,0.02,5689,58,1088,36,855,1090,0.2858455882352941
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.6461397058823529,0.4202586206896552,0.6270096463022508,0.614211047408533,0.6822141388057787,0.6404031500494523,direct,month,0.02,5689,58,1088,52,855,1090,0.2858455882352941
HOSE100_quality,Random_Forest,Config_Hybrid,0.7647058823529411,0.5901639344262295,0.5787781350482315,0.7101565101565102,0.7833803026729071,0.7089514870865353,direct,month,0.02,5689,58,1088,52,855,1090,0.2858455882352941
HOSE100_quality,XGBoost,Config_Hybrid,0.7242647058823529,0.5154929577464789,0.5884244372990354,0.6754370264304039,0.7535827053511941,0.683530107967407,direct,month,0.02,5689,58,1088,52,855,1090,0.2858455882352941
HOSE100_quality,LightGBM,Config_Hybrid,0.7352941176470589,0.5322128851540616,0.6109324758842444,0.6889404215441796,0.7698833422306092,0.6980016304775147,direct,month,0.02,5689,58,1088,52,855,1090,0.2858455882352941
