universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,direct_indirect,2week,0.02,12304,124,2400,16,966,1112,0.27875
HOSE100_quality,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,direct_indirect,2week,0.02,12304,124,2400,16,966,1112,0.27875
HOSE100_quality,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,direct_indirect,2week,0.02,12304,124,2400,16,966,1112,0.27875
HOSE100_quality,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,direct_indirect,2week,0.02,12304,124,2400,16,966,1112,0.27875
HOSE100_quality,Logistic_Regression,Config_LLM,0.6691666666666667,0.3324396782841823,0.18535127055306427,0.513360620822731,0.5202601121378467,0.5207518917756656,direct_indirect,2week,0.02,12304,124,2400,36,966,1112,0.27875
HOSE100_quality,Random_Forest,Config_LLM,0.6833333333333333,0.3215686274509804,0.12257100149476831,0.49070537305831424,0.5014999494835665,0.5113143857849347,direct_indirect,2week,0.02,12304,124,2400,36,966,1112,0.27875
HOSE100_quality,XGBoost,Config_LLM,0.6783333333333333,0.3041825095057034,0.11958146487294469,0.486043735103923,0.4959997029461012,0.506931113718968,direct_indirect,2week,0.02,12304,124,2400,36,966,1112,0.27875
HOSE100_quality,LightGBM,Config_LLM,0.6775,0.3090909090909091,0.12705530642750373,0.48967930234193685,0.4972233232214113,0.5086460818677091,direct_indirect,2week,0.02,12304,124,2400,36,966,1112,0.27875
HOSE100_quality,Logistic_Regression,Config_Hybrid,0.67125,0.44328922495274103,0.7010463378176383,0.6431930155070471,0.736640993956162,0.6803902977360866,direct_indirect,2week,0.02,12304,124,2400,52,966,1112,0.27875
HOSE100_quality,Random_Forest,Config_Hybrid,0.77125,0.6038062283737025,0.5216741405082213,0.7026130374029108,0.7975612220313824,0.6946903342633539,direct_indirect,2week,0.02,12304,124,2400,52,966,1112,0.27875
HOSE100_quality,XGBoost,Config_Hybrid,0.7179166666666666,0.4953051643192488,0.6307922272047832,0.6742163537856409,0.770611352467404,0.6911904521350317,direct_indirect,2week,0.02,12304,124,2400,52,966,1112,0.27875
HOSE100_quality,LightGBM,Config_Hybrid,0.7316666666666667,0.5135427952329361,0.7085201793721974,0.6973646286294315,0.7896469808011648,0.7245662710841345,direct_indirect,2week,0.02,12304,124,2400,52,966,1112,0.27875
