universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_all_event_types,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,any_relevance,month,0.02,5689,58,1088,16,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,any_relevance,month,0.02,5689,58,1088,16,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,any_relevance,month,0.02,5689,58,1088,16,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,any_relevance,month,0.02,5689,58,1088,16,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,Logistic_Regression,Config_LLM,0.4329044117647059,0.30730478589420657,0.7845659163987139,0.43276592688357396,0.5238757360943856,0.538357604274003,any_relevance,month,0.02,5689,58,1088,46,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,Random_Forest,Config_LLM,0.4742647058823529,0.29513343799058084,0.6045016077170418,0.46541321348561693,0.5335923888978552,0.5133190149267319,any_relevance,month,0.02,5689,58,1088,46,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,XGBoost,Config_LLM,0.4420955882352941,0.27575757575757576,0.5852090032154341,0.4355684134506498,0.5122968627791779,0.4850111940144095,any_relevance,month,0.02,5689,58,1088,46,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,LightGBM,Config_LLM,0.5266544117647058,0.301556420233463,0.4983922829581994,0.4972792319942579,0.5177428232090612,0.5181794104623687,any_relevance,month,0.02,5689,58,1088,46,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,Logistic_Regression,Config_Hybrid,0.6268382352941176,0.4044265593561368,0.6463022508038585,0.6003705633721267,0.6773309827972207,0.6326749349257388,any_relevance,month,0.02,5689,58,1088,62,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,Random_Forest,Config_Hybrid,0.7426470588235294,0.5439093484419264,0.617363344051447,0.6965640339134315,0.7714351926570576,0.7050780684221198,any_relevance,month,0.02,5689,58,1088,62,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,XGBoost,Config_Hybrid,0.7113970588235294,0.49640287769784175,0.6655948553054662,0.6759152449760184,0.7553973357831879,0.6976622925175979,any_relevance,month,0.02,5689,58,1088,62,3094,12133,0.2858455882352941
HOSE100_quality_all_event_types,LightGBM,Config_Hybrid,0.7012867647058824,0.4838709677419355,0.6752411575562701,0.6683222414512777,0.7640111402169281,0.6934764346339909,any_relevance,month,0.02,5689,58,1088,62,3094,12133,0.2858455882352941
