universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_all_event_types,Logistic_Regression,Config_A,0.6262886597938144,0.39490445859872614,0.5535714285714286,0.5874852437620525,0.6144539337474121,0.604684265010352,direct,quarter,0.02,1889,20,388,16,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_A,0.7036082474226805,0.49032258064516127,0.6785714285714286,0.6716775935777723,0.7682776915113871,0.6961697722567288,direct,quarter,0.02,1889,20,388,16,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_A,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,direct,quarter,0.02,1889,20,388,16,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_A,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,direct,quarter,0.02,1889,20,388,16,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,Logistic_Regression,Config_LLM,0.48711340206185566,0.32098765432098764,0.6964285714285714,0.48337626710381054,0.5627587991718426,0.5493012422360248,direct,quarter,0.02,1889,20,388,46,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_LLM,0.5025773195876289,0.30434782608695654,0.5625,0.4863324255914613,0.5093976449275363,0.5203804347826086,direct,quarter,0.02,1889,20,388,46,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_LLM,0.5103092783505154,0.305,0.5446428571428571,0.49077144120247573,0.5025071169772257,0.5205098343685299,direct,quarter,0.02,1889,20,388,46,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_LLM,0.5128865979381443,0.30456852791878175,0.5357142857142857,0.4918192968961145,0.49917507763975155,0.5196687370600415,direct,quarter,0.02,1889,20,388,46,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,Logistic_Regression,Config_Hybrid,0.5824742268041238,0.3641304347826087,0.5982142857142857,0.5576013513513514,0.6013522256728777,0.5871506211180124,direct,quarter,0.02,1889,20,388,62,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_Hybrid,0.6752577319587629,0.46236559139784944,0.7678571428571429,0.6567914408469293,0.765722049689441,0.7027691511387164,direct,quarter,0.02,1889,20,388,62,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_Hybrid,0.6958762886597938,0.4819277108433735,0.7142857142857143,0.6692958885903326,0.7751682194616977,0.7013457556935818,direct,quarter,0.02,1889,20,388,62,1383,8956,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_Hybrid,0.7061855670103093,0.49382716049382713,0.7142857142857143,0.6784249861866403,0.7821557971014492,0.708592132505176,direct,quarter,0.02,1889,20,388,62,1383,8956,0.28865979381443296
