universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_all_event_types,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,direct_indirect,1week,0.02,24489,247,4888,16,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,direct_indirect,1week,0.02,24489,247,4888,16,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,direct_indirect,1week,0.02,24489,247,4888,16,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,direct_indirect,1week,0.02,24489,247,4888,16,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,Logistic_Regression,Config_LLM,0.42757774140752863,0.2515045929680076,0.646053702196908,0.4214758207722835,0.5090106297411712,0.5001244187398861,direct_indirect,1week,0.02,24489,247,4888,46,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,Random_Forest,Config_LLM,0.4891571194762684,0.24414850686037126,0.49227013832384053,0.4574871666243736,0.48766742326010004,0.49019082209988146,direct_indirect,1week,0.02,24489,247,4888,46,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,XGBoost,Config_LLM,0.43780687397708673,0.2450486740516952,0.5939788445890968,0.42671184607316115,0.48849588083909157,0.48966501671925455,direct_indirect,1week,0.02,24489,247,4888,46,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,LightGBM,Config_LLM,0.4339198036006547,0.2485284499672989,0.6183889340927583,0.4252305956357867,0.49907191847915156,0.4951742429414324,direct_indirect,1week,0.02,24489,247,4888,46,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,Logistic_Regression,Config_Hybrid,0.6933306055646481,0.43091095189355166,0.6851098454027664,0.6508491403047978,0.7516550805653036,0.6906008368855865,direct_indirect,1week,0.02,24489,247,4888,62,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,Random_Forest,Config_Hybrid,0.7872340425531915,0.6507177033492823,0.33197721724979656,0.6541710205503309,0.7772263004538005,0.6360623992780823,direct_indirect,1week,0.02,24489,247,4888,62,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,XGBoost,Config_Hybrid,0.7319967266775778,0.47473487211478477,0.6192026037428804,0.6743886523991773,0.7627024417427875,0.6945425426476086,direct_indirect,1week,0.02,24489,247,4888,62,5828,9251,0.25143207855973815
HOSE100_quality_all_event_types,LightGBM,Config_Hybrid,0.7264729950900164,0.470620239390642,0.7038242473555736,0.6823922898852153,0.7878743875518106,0.7189522985889647,direct_indirect,1week,0.02,24489,247,4888,62,5828,9251,0.25143207855973815
