universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_all_event_types,Logistic_Regression,Config_A,0.6262886597938144,0.39490445859872614,0.5535714285714286,0.5874852437620525,0.6144539337474121,0.604684265010352,direct_indirect,quarter,0.02,1889,20,388,16,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_A,0.7036082474226805,0.49032258064516127,0.6785714285714286,0.6716775935777723,0.7682776915113871,0.6961697722567288,direct_indirect,quarter,0.02,1889,20,388,16,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_A,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,direct_indirect,quarter,0.02,1889,20,388,16,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_A,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,direct_indirect,quarter,0.02,1889,20,388,16,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,Logistic_Regression,Config_LLM,0.4793814432989691,0.31092436974789917,0.6607142857142857,0.47433936955063716,0.5445458074534162,0.5332556935817805,direct_indirect,quarter,0.02,1889,20,388,46,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_LLM,0.4896907216494845,0.30092592592592593,0.5803571428571429,0.47718858885017423,0.5031379399585921,0.5166278467908902,direct_indirect,quarter,0.02,1889,20,388,46,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_LLM,0.5025773195876289,0.29850746268656714,0.5357142857142857,0.483269964600915,0.4964576863354037,0.5124223602484472,direct_indirect,quarter,0.02,1889,20,388,46,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_LLM,0.49226804123711343,0.30414746543778803,0.5892857142857143,0.4802499609011104,0.5271900879917184,0.521092132505176,direct_indirect,quarter,0.02,1889,20,388,46,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,Logistic_Regression,Config_Hybrid,0.6211340206185567,0.39766081871345027,0.6071428571428571,0.5911954644170327,0.6174624741200828,0.6169772256728778,direct_indirect,quarter,0.02,1889,20,388,62,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,Random_Forest,Config_Hybrid,0.6804123711340206,0.46774193548387094,0.7767857142857143,0.6622391957541209,0.770315734989648,0.7090450310559007,direct_indirect,quarter,0.02,1889,20,388,62,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,XGBoost,Config_Hybrid,0.6778350515463918,0.46107784431137727,0.6875,0.6502311359194595,0.7832233436853002,0.6807065217391304,direct_indirect,quarter,0.02,1889,20,388,62,1386,9251,0.28865979381443296
HOSE100_quality_all_event_types,LightGBM,Config_Hybrid,0.6984536082474226,0.48502994011976047,0.7232142857142857,0.672616343220614,0.7734860248447205,0.7058100414078674,direct_indirect,quarter,0.02,1889,20,388,62,1386,9251,0.28865979381443296
