universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_core_material,Logistic_Regression,Config_A,0.5819672131147541,0.3851851851851852,0.7323943661971831,0.5715761206362322,0.6543596841162581,0.6263127900350077,any_relevance,2month,0.02,2888,29,488,16,791,1234,0.29098360655737704
HOSE100_quality_core_material,Random_Forest,Config_A,0.75,0.5735294117647058,0.5492957746478874,0.6931829894250788,0.7485243832939835,0.6908328584222097,any_relevance,2month,0.02,2888,29,488,16,791,1234,0.29098360655737704
HOSE100_quality_core_material,XGBoost,Config_A,0.7028688524590164,0.49056603773584906,0.5492957746478874,0.6517288052171772,0.7118374989823333,0.6575958642025563,any_relevance,2month,0.02,2888,29,488,16,791,1234,0.29098360655737704
HOSE100_quality_core_material,LightGBM,Config_A,0.7254098360655737,0.5256410256410257,0.5774647887323944,0.6763477262378492,0.7262069526988519,0.6817959781812262,any_relevance,2month,0.02,2888,29,488,16,791,1234,0.29098360655737704
HOSE100_quality_core_material,Logistic_Regression,Config_LLM,0.4077868852459016,0.26666666666666666,0.5915492957746479,0.40538740128929984,0.4784458194252219,0.4619596189855898,any_relevance,2month,0.02,2888,29,488,36,791,1234,0.29098360655737704
HOSE100_quality_core_material,Random_Forest,Config_LLM,0.4344262295081967,0.2751677852348993,0.5774647887323944,0.4289009497964722,0.49230643979483835,0.47659366604249775,any_relevance,2month,0.02,2888,29,488,36,791,1234,0.29098360655737704
HOSE100_quality_core_material,XGBoost,Config_LLM,0.4098360655737705,0.2598684210526316,0.5563380281690141,0.4054319316355022,0.4609215989579093,0.45302450541398687,any_relevance,2month,0.02,2888,29,488,36,791,1234,0.29098360655737704
HOSE100_quality_core_material,LightGBM,Config_LLM,0.4057377049180328,0.2597402597402597,0.5633802816901409,0.40211237853823406,0.4637100056989335,0.45221037205894327,any_relevance,2month,0.02,2888,29,488,36,791,1234,0.29098360655737704
HOSE100_quality_core_material,Logistic_Regression,Config_Hybrid,0.5922131147540983,0.379746835443038,0.6338028169014085,0.5708003518029903,0.6521818773915168,0.6044736627859644,any_relevance,2month,0.02,2888,29,488,52,791,1234,0.29098360655737704
HOSE100_quality_core_material,Random_Forest,Config_Hybrid,0.7459016393442623,0.5671641791044776,0.5352112676056338,0.6867908902691511,0.7512008466986893,0.6837906049010828,any_relevance,2month,0.02,2888,29,488,52,791,1234,0.29098360655737704
HOSE100_quality_core_material,XGBoost,Config_Hybrid,0.7213114754098361,0.5192307692307693,0.5704225352112676,0.6715170952861753,0.7267564927135065,0.6768297647154604,any_relevance,2month,0.02,2888,29,488,52,791,1234,0.29098360655737704
HOSE100_quality_core_material,LightGBM,Config_Hybrid,0.7213114754098361,0.51875,0.5845070422535211,0.6739442293709592,0.7441992998453146,0.6809818448261825,any_relevance,2month,0.02,2888,29,488,52,791,1234,0.29098360655737704
