universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_core_material,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,any_relevance,2week,0.02,12304,124,2400,16,1048,1234,0.27875
HOSE100_quality_core_material,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,any_relevance,2week,0.02,12304,124,2400,16,1048,1234,0.27875
HOSE100_quality_core_material,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,any_relevance,2week,0.02,12304,124,2400,16,1048,1234,0.27875
HOSE100_quality_core_material,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,any_relevance,2week,0.02,12304,124,2400,16,1048,1234,0.27875
HOSE100_quality_core_material,Logistic_Regression,Config_LLM,0.6629166666666667,0.32142857142857145,0.18834080717488788,0.5105718842503515,0.5074120992470893,0.517336203702984,any_relevance,2week,0.02,12304,124,2400,36,1048,1234,0.27875
HOSE100_quality_core_material,Random_Forest,Config_LLM,0.6845833333333333,0.328125,0.12556053811659193,0.4931333914559721,0.4979694120837036,0.513098004471352,any_relevance,2week,0.02,12304,124,2400,36,1048,1234,0.27875
HOSE100_quality_core_material,XGBoost,Config_LLM,0.6816666666666666,0.32342007434944237,0.13004484304932734,0.4938380524690302,0.49989680831129174,0.5124516531826648,any_relevance,2week,0.02,12304,124,2400,36,1048,1234,0.27875
HOSE100_quality_core_material,LightGBM,Config_LLM,0.6808333333333333,0.3274021352313167,0.1375186846038864,0.4973615857826384,0.5011079074193528,0.514166621331406,any_relevance,2week,0.02,12304,124,2400,36,1048,1234,0.27875
HOSE100_quality_core_material,Logistic_Regression,Config_Hybrid,0.7008333333333333,0.4754754754754755,0.7100149476831091,0.6701489383206078,0.7783269820791874,0.7036498770766788,any_relevance,2week,0.02,12304,124,2400,52,1048,1234,0.27875
HOSE100_quality_core_material,Random_Forest,Config_Hybrid,0.775,0.6141592920353982,0.5186846038863976,0.705484264769646,0.7955358152877408,0.6963729200830024,any_relevance,2week,0.02,12304,124,2400,52,1048,1234,0.27875
HOSE100_quality_core_material,XGBoost,Config_Hybrid,0.7120833333333333,0.48726851851851855,0.6292974588938715,0.668870403615111,0.7659552053082841,0.6866880130980044,any_relevance,2week,0.02,12304,124,2400,52,1048,1234,0.27875
HOSE100_quality_core_material,LightGBM,Config_Hybrid,0.7225,0.5016181229773463,0.695067264573991,0.6874207991889838,0.7855193132528351,0.71408475880346,any_relevance,2week,0.02,12304,124,2400,52,1048,1234,0.27875
