universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_core_material,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,direct_indirect,2week,0.02,12304,124,2400,16,1003,1155,0.27875
HOSE100_quality_core_material,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,direct_indirect,2week,0.02,12304,124,2400,16,1003,1155,0.27875
HOSE100_quality_core_material,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,direct_indirect,2week,0.02,12304,124,2400,16,1003,1155,0.27875
HOSE100_quality_core_material,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,direct_indirect,2week,0.02,12304,124,2400,16,1003,1155,0.27875
HOSE100_quality_core_material,Logistic_Regression,Config_LLM,0.6591666666666667,0.31695331695331697,0.19282511210762332,0.5100603340534022,0.5074483674556729,0.516112151663286,direct_indirect,2week,0.02,12304,124,2400,36,1003,1155,0.27875
HOSE100_quality_core_material,Random_Forest,Config_LLM,0.6808333333333333,0.31835205992509363,0.12705530642750373,0.49169188299623084,0.4951935988338908,0.510956884871753,direct_indirect,2week,0.02,12304,124,2400,36,1003,1155,0.27875
HOSE100_quality_core_material,XGBoost,Config_LLM,0.68125,0.3153846153846154,0.12257100149476831,0.4894552771443087,0.49345617893697885,0.5098701339074073,direct_indirect,2week,0.02,12304,124,2400,36,1003,1155,0.27875
HOSE100_quality_core_material,LightGBM,Config_LLM,0.6808333333333333,0.3298245614035088,0.14050822122571002,0.49894851139957547,0.5037710301639237,0.5150836888913067,direct_indirect,2week,0.02,12304,124,2400,36,1003,1155,0.27875
HOSE100_quality_core_material,Logistic_Regression,Config_Hybrid,0.67125,0.44328922495274103,0.7010463378176383,0.6431930155070471,0.7367109397870021,0.6803902977360866,direct_indirect,2week,0.02,12304,124,2400,52,1003,1155,0.27875
HOSE100_quality_core_material,Random_Forest,Config_Hybrid,0.7754166666666666,0.6164874551971327,0.5142002989536621,0.7049317860043781,0.7987895917149596,0.6952861691186566,direct_indirect,2week,0.02,12304,124,2400,52,1003,1155,0.27875
HOSE100_quality_core_material,XGBoost,Config_Hybrid,0.7233333333333334,0.5028702640642939,0.6547085201793722,0.6825750936180384,0.7685846504305986,0.7022820474958098,direct_indirect,2week,0.02,12304,124,2400,52,1003,1155,0.27875
HOSE100_quality_core_material,LightGBM,Config_Hybrid,0.7258333333333333,0.5059588299024919,0.6980568011958147,0.6907855988170277,0.787856022120153,0.7173126293674048,direct_indirect,2week,0.02,12304,124,2400,52,1003,1155,0.27875
