universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,any_relevance,1week,0.02,24489,247,4888,16,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,any_relevance,1week,0.02,24489,247,4888,16,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,any_relevance,1week,0.02,24489,247,4888,16,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,any_relevance,1week,0.02,24489,247,4888,16,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_LLM,0.30360065466448444,0.2517690025108423,0.8974776240846216,0.2880678234720764,0.5112790757922494,0.5008022173443059,any_relevance,1week,0.02,24489,247,4888,44,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_LLM,0.31055646481178395,0.24947343786566814,0.8673718470301057,0.2995034604339223,0.5001406521054119,0.49545143321715723,any_relevance,1week,0.02,24489,247,4888,44,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_LLM,0.31055646481178395,0.2515664887444883,0.8820179007323027,0.2981453294250322,0.5080574198599883,0.5003147716287915,any_relevance,1week,0.02,24489,247,4888,44,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_LLM,0.3040098199672668,0.2510882016036655,0.8917819365337672,0.289181019425917,0.5072379684632407,0.4991842177886109,any_relevance,1week,0.02,24489,247,4888,44,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_Hybrid,0.6980360065466449,0.4360435007767996,0.6851098454027664,0.6549079332037409,0.7535430432134415,0.6937437721137909,any_relevance,1week,0.02,24489,247,4888,60,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_Hybrid,0.7921440261865794,0.6625954198473283,0.3531326281529699,0.6659919529357581,0.7786767405447872,0.6463668060141728,any_relevance,1week,0.02,24489,247,4888,60,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_Hybrid,0.7254500818330606,0.4639898024219248,0.5923515052888527,0.6640264890513656,0.7538384682285241,0.6812536427783427,any_relevance,1week,0.02,24489,247,4888,60,1456,1705,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_Hybrid,0.7219721767594108,0.4642857142857143,0.6875508543531327,0.6761291941254052,0.7845685627311725,0.7105423033722482,any_relevance,1week,0.02,24489,247,4888,60,1456,1705,0.25143207855973815
