universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,any_relevance,month,0.02,5689,58,1088,16,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,any_relevance,month,0.02,5689,58,1088,16,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,any_relevance,month,0.02,5689,58,1088,16,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,any_relevance,month,0.02,5689,58,1088,16,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_LLM,0.5615808823529411,0.3033175355450237,0.4115755627009646,0.5093441641872747,0.50271056541153,0.5165985921612931,any_relevance,month,0.02,5689,58,1088,44,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_LLM,0.6011029411764706,0.2901023890784983,0.2733118971061093,0.5026877643529987,0.48611404238413886,0.5028078147049209,any_relevance,month,0.02,5689,58,1088,44,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_LLM,0.6020220588235294,0.2980132450331126,0.28938906752411575,0.5083032483438905,0.4820026733210013,0.5082723973399215,any_relevance,month,0.02,5689,58,1088,44,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_LLM,0.5735294117647058,0.28450704225352114,0.3247588424437299,0.4980092675456914,0.47317988636316605,0.4989302577727015,any_relevance,month,0.02,5689,58,1088,44,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_Hybrid,0.6443014705882353,0.41810344827586204,0.6237942122186495,0.6122069489535125,0.682081714236055,0.638151932364151,any_relevance,month,0.02,5689,58,1088,60,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_Hybrid,0.7665441176470589,0.5934426229508196,0.5819935691318328,0.7124209124209124,0.774197486416136,0.7112027047718366,any_relevance,month,0.02,5689,58,1088,60,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_Hybrid,0.7242647058823529,0.5145888594164456,0.6237942122186495,0.6811702925731433,0.7585900093938678,0.694136488348707,any_relevance,month,0.02,5689,58,1088,60,1141,1705,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_Hybrid,0.7288602941176471,0.5218579234972678,0.6141479099678456,0.6837280983974545,0.7704833910621692,0.6944613423713102,any_relevance,month,0.02,5689,58,1088,60,1141,1705,0.2858455882352941
