universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,direct,2week,0.02,12304,124,2400,16,1250,1530,0.27875
HOSE100_quality_plus_macro_market,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,direct,2week,0.02,12304,124,2400,16,1250,1530,0.27875
HOSE100_quality_plus_macro_market,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,direct,2week,0.02,12304,124,2400,16,1250,1530,0.27875
HOSE100_quality_plus_macro_market,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,direct,2week,0.02,12304,124,2400,16,1250,1530,0.27875
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_LLM,0.6620833333333334,0.34080717488789236,0.22720478325859492,0.5262821643920633,0.5238238953955782,0.528680381230684,direct,2week,0.02,12304,124,2400,44,1250,1530,0.27875
HOSE100_quality_plus_macro_market,Random_Forest,Config_LLM,0.6804166666666667,0.32867132867132864,0.14050822122571002,0.49868939739513474,0.49703118806879565,0.5147948385158013,direct,2week,0.02,12304,124,2400,44,1250,1530,0.27875
HOSE100_quality_plus_macro_market,XGBoost,Config_LLM,0.6795833333333333,0.33974358974358976,0.15844544095665172,0.5073722006417294,0.5048599399502088,0.5197195431241953,direct,2week,0.02,12304,124,2400,44,1250,1530,0.27875
HOSE100_quality_plus_macro_market,LightGBM,Config_LLM,0.6729166666666667,0.3352272727272727,0.17638266068759342,0.5117095117380213,0.508741933561823,0.5206003424755125,direct,2week,0.02,12304,124,2400,44,1250,1530,0.27875
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_Hybrid,0.67125,0.44328922495274103,0.7010463378176383,0.6431930155070471,0.7366470386575928,0.6803902977360866,direct,2week,0.02,12304,124,2400,60,1250,1530,0.27875
HOSE100_quality_plus_macro_market,Random_Forest,Config_Hybrid,0.7725,0.6069565217391304,0.5216741405082213,0.7037749702509051,0.7950863485599363,0.6955568853898704,direct,2week,0.02,12304,124,2400,60,1250,1530,0.27875
HOSE100_quality_plus_macro_market,XGBoost,Config_Hybrid,0.7183333333333334,0.49596309111880044,0.6427503736920778,0.6763939950980392,0.7674853782990039,0.6951475727501406,direct,2week,0.02,12304,124,2400,60,1250,1530,0.27875
HOSE100_quality_plus_macro_market,LightGBM,Config_Hybrid,0.725,0.5048543689320388,0.6995515695067265,0.690236828025119,0.7897687383585528,0.7171934623963442,direct,2week,0.02,12304,124,2400,60,1250,1530,0.27875
