universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,direct,month,0.02,5689,58,1088,16,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,direct,month,0.02,5689,58,1088,16,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,direct,month,0.02,5689,58,1088,16,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,direct,month,0.02,5689,58,1088,16,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_LLM,0.5670955882352942,0.30392156862745096,0.3987138263665595,0.510828258954183,0.5064867347825547,0.516602730429097,direct,month,0.02,5689,58,1088,44,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_LLM,0.6029411764705882,0.3054662379421222,0.3054662379421222,0.5137369799749221,0.49210625416413195,0.5137369799749221,direct,month,0.02,5689,58,1088,44,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_LLM,0.6056985294117647,0.28776978417266186,0.2572347266881029,0.5006627490122953,0.48869011409204327,0.501204235930924,direct,month,0.02,5689,58,1088,44,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_LLM,0.5928308823529411,0.2950310559006211,0.3054662379421222,0.5065274659344192,0.4874134584745517,0.506658472896415,direct,month,0.02,5689,58,1088,44,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_Hybrid,0.6452205882352942,0.41935483870967744,0.6270096463022508,0.6134315169366715,0.6820817142360551,0.6397596494059516,direct,month,0.02,5689,58,1088,60,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,Random_Forest,Config_Hybrid,0.7628676470588235,0.5830721003134797,0.5980707395498392,0.7117969568163618,0.780400749854126,0.713449784189334,direct,month,0.02,5689,58,1088,60,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,XGBoost,Config_Hybrid,0.7003676470588235,0.48081841432225064,0.6045016077170418,0.6572228214019259,0.7518818772838064,0.6716201732278902,direct,month,0.02,5689,58,1088,60,1096,1530,0.2858455882352941
HOSE100_quality_plus_macro_market,LightGBM,Config_Hybrid,0.7224264705882353,0.5121293800539084,0.6109324758842444,0.6775214248980281,0.762562746485576,0.6889926214685057,direct,month,0.02,5689,58,1088,60,1096,1530,0.2858455882352941
