universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,direct_indirect,1week,0.02,24489,247,4888,16,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,direct_indirect,1week,0.02,24489,247,4888,16,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,direct_indirect,1week,0.02,24489,247,4888,16,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,direct_indirect,1week,0.02,24489,247,4888,16,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_LLM,0.301759410801964,0.25170532060027284,0.9007323026851098,0.28542612287972335,0.5106797755170159,0.5006531149938258,direct_indirect,1week,0.02,24489,247,4888,44,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_LLM,0.30462356792144024,0.24919093851132687,0.8771358828315704,0.2914296973407362,0.49999899931308406,0.49473082745022084,direct_indirect,1week,0.02,24489,247,4888,44,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_LLM,0.3040098199672668,0.24878612716763004,0.8755085435313262,0.29084461981898746,0.49839467581190733,0.4937805084423507,direct_indirect,1week,0.02,24489,247,4888,44,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_LLM,0.2958265139116203,0.2508444044134204,0.9064279902359642,0.2773299451656328,0.5074013028054147,0.49858158189032425,direct_indirect,1week,0.02,24489,247,4888,44,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,Logistic_Regression,Config_Hybrid,0.6980360065466449,0.4360435007767996,0.6851098454027664,0.6549079332037409,0.7535844049393017,0.6937437721137909,direct_indirect,1week,0.02,24489,247,4888,60,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,Random_Forest,Config_Hybrid,0.7903027823240589,0.650887573964497,0.3580146460537022,0.6658586905451455,0.7786483877488346,0.6467580745983187,direct_indirect,1week,0.02,24489,247,4888,60,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,XGBoost,Config_Hybrid,0.7277004909983633,0.4684796044499382,0.6167615947925142,0.670199564928291,0.7571939938326554,0.6908623497329611,direct_indirect,1week,0.02,24489,247,4888,60,1379,1569,0.25143207855973815
HOSE100_quality_plus_macro_market,LightGBM,Config_Hybrid,0.7240180032733224,0.466996699669967,0.6908055329536208,0.6783969458910029,0.7847798188578783,0.7129895388189804,direct_indirect,1week,0.02,24489,247,4888,60,1379,1569,0.25143207855973815
