universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,any_relevance,2week,0.02,12304,124,2400,16,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,any_relevance,2week,0.02,12304,124,2400,16,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,any_relevance,2week,0.02,12304,124,2400,16,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,any_relevance,2week,0.02,12304,124,2400,16,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_LLM,0.665,0.34192037470725994,0.21823617339312407,0.5246803613375164,0.5202182309922205,0.5279511311795199,any_relevance,2week,0.02,12304,124,2400,40,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_LLM,0.6829166666666666,0.3244274809160305,0.12705530642750373,0.49295385197106417,0.4924337608664303,0.5124011367492805,any_relevance,2week,0.02,12304,124,2400,40,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_LLM,0.6733333333333333,0.31629392971246006,0.14798206278026907,0.49814310816274926,0.4922079480915582,0.5121770510319601,any_relevance,2week,0.02,12304,124,2400,40,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_LLM,0.6770833333333334,0.33540372670807456,0.16143497757847533,0.5072480891955137,0.5034035986698202,0.5189035084310631,any_relevance,2week,0.02,12304,124,2400,40,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_Hybrid,0.6708333333333333,0.4428706326723324,0.7010463378176383,0.6428313078703703,0.7366556739453507,0.6801014473605811,any_relevance,2week,0.02,12304,124,2400,56,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_Hybrid,0.7708333333333334,0.6031195840554593,0.5201793721973094,0.7019161372667155,0.7955444505754987,0.693942950107898,any_relevance,2week,0.02,12304,124,2400,56,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_Hybrid,0.7129166666666666,0.48847926267281105,0.6337817638266069,0.6702843797224893,0.7625408125287663,0.6886413151888667,any_relevance,2week,0.02,12304,124,2400,56,1239,1500,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_Hybrid,0.72125,0.5,0.6875934230194319,0.6853170906569397,0.7850150124477675,0.7109255387771913,any_relevance,2week,0.02,12304,124,2400,56,1239,1500,0.27875
