universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_A,0.6262886597938144,0.39490445859872614,0.5535714285714286,0.5874852437620525,0.6144539337474121,0.604684265010352,any_relevance,quarter,0.02,1889,20,388,16,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,Random_Forest,Config_A,0.7036082474226805,0.49032258064516127,0.6785714285714286,0.6716775935777723,0.7682776915113871,0.6961697722567288,any_relevance,quarter,0.02,1889,20,388,16,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,XGBoost,Config_A,0.7061855670103093,0.4934210526315789,0.6696428571428571,0.6727627840909092,0.7625517598343684,0.6953286749482401,any_relevance,quarter,0.02,1889,20,388,16,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,LightGBM,Config_A,0.7216494845360825,0.5140845070422535,0.6517857142857143,0.6839532989410806,0.7616136128364389,0.7008928571428572,any_relevance,quarter,0.02,1889,20,388,16,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_LLM,0.5644329896907216,0.30344827586206896,0.39285714285714285,0.5083931235614734,0.4981560559006212,0.5134575569358178,any_relevance,quarter,0.02,1889,20,388,40,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,Random_Forest,Config_LLM,0.5463917525773195,0.2808219178082192,0.36607142857142855,0.48903055879800067,0.46828092650103526,0.4928183229813664,any_relevance,quarter,0.02,1889,20,388,40,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,XGBoost,Config_LLM,0.5463917525773195,0.28378378378378377,0.375,0.4909958258795468,0.4653047360248448,0.4954710144927536,any_relevance,quarter,0.02,1889,20,388,40,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,LightGBM,Config_LLM,0.5309278350515464,0.27848101265822783,0.39285714285714285,0.4831210657297614,0.46258734472049684,0.4899068322981367,any_relevance,quarter,0.02,1889,20,388,40,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_Hybrid,0.6701030927835051,0.44366197183098594,0.5625,0.6254261320783179,0.6598084886128366,0.6381340579710144,any_relevance,quarter,0.02,1889,20,388,56,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,Random_Forest,Config_Hybrid,0.6881443298969072,0.47305389221556887,0.7053571428571429,0.6614237395700366,0.7705421842650103,0.693258281573499,any_relevance,quarter,0.02,1889,20,388,56,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,XGBoost,Config_Hybrid,0.7061855670103093,0.4930555555555556,0.6339285714285714,0.6677283653846153,0.7454063146997929,0.6847179089026916,any_relevance,quarter,0.02,1889,20,388,56,767,1500,0.28865979381443296
HOSE100_quality_plus_operation_governance,LightGBM,Config_Hybrid,0.6958762886597938,0.4797297297297297,0.6339285714285714,0.6587358378056052,0.7661749482401656,0.6774715320910973,any_relevance,quarter,0.02,1889,20,388,56,767,1500,0.28865979381443296
