universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_A,0.7362132352941176,0.5297029702970297,0.6881028938906752,0.7010803023123351,0.7837920603193915,0.7217863246802154,direct,month,0.02,5689,58,1088,16,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,Random_Forest,Config_A,0.7573529411764706,0.5755627009646302,0.5755627009646302,0.7028392655402302,0.7718552268391498,0.7028392655402302,direct,month,0.02,5689,58,1088,16,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,XGBoost,Config_A,0.7012867647058824,0.48157894736842105,0.5884244372990354,0.6554059651020577,0.7291379574337773,0.667442591879891,direct,month,0.02,5689,58,1088,16,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,LightGBM,Config_A,0.7215073529411765,0.5111111111111111,0.5916398713826366,0.673553133865753,0.7673796902092722,0.6825638224352051,direct,month,0.02,5689,58,1088,16,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_LLM,0.5735294117647058,0.3082706766917293,0.3954983922829582,0.5149856849143977,0.5048769486068522,0.5201430185353015,direct,month,0.02,5689,58,1088,40,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,Random_Forest,Config_LLM,0.6038602941176471,0.29591836734693877,0.2797427652733119,0.506627878226744,0.48318207964510224,0.5066667494320227,direct,month,0.02,5689,58,1088,40,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,XGBoost,Config_LLM,0.6139705882352942,0.29118773946360155,0.24437299035369775,0.5019444396002999,0.4753028177465477,0.5031388761292298,direct,month,0.02,5689,58,1088,40,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,LightGBM,Config_LLM,0.5854779411764706,0.2852760736196319,0.2990353697749196,0.49947314358341927,0.47029965197167767,0.49958203495180986,direct,month,0.02,5689,58,1088,40,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_Hybrid,0.6452205882352942,0.41935483870967744,0.6270096463022508,0.6134315169366715,0.6821272351818977,0.6397596494059516,direct,month,0.02,5689,58,1088,56,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,Random_Forest,Config_Hybrid,0.7564338235294118,0.5746753246753247,0.5691318327974276,0.7008455222804304,0.7859253373722827,0.7002673321001296,direct,month,0.02,5689,58,1088,56,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,XGBoost,Config_Hybrid,0.7178308823529411,0.5053475935828877,0.6077170418006431,0.6729613691883662,0.7469159559191714,0.6848109018527024,direct,month,0.02,5689,58,1088,56,1032,1367,0.2858455882352941
HOSE100_quality_plus_operation_governance,LightGBM,Config_Hybrid,0.7316176470588235,0.5257452574525745,0.6237942122186495,0.6877005347593583,0.7703137220822109,0.6992844934967122,direct,month,0.02,5689,58,1088,56,1032,1367,0.2858455882352941
