universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_A,0.6716666666666666,0.44370860927152317,0.7010463378176383,0.6435547721668146,0.736615088092888,0.6806791481115921,direct_indirect,2week,0.02,12304,124,2400,16,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_A,0.7691666666666667,0.6032315978456014,0.5022421524663677,0.696557793233896,0.790371481444062,0.687285143246471,direct_indirect,2week,0.02,12304,124,2400,16,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_A,0.7216666666666667,0.500587544065805,0.6367713004484304,0.6784338896020539,0.7671330585584768,0.6956242406343828,direct_indirect,2week,0.02,12304,124,2400,16,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_A,0.72125,0.5,0.70254110612855,0.6872808253635974,0.7873119989913985,0.7155108765766955,direct_indirect,2week,0.02,12304,124,2400,16,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_LLM,0.67,0.35251798561151076,0.21973094170403587,0.5287355295923741,0.5266424533197932,0.5318758694655361,direct_indirect,2week,0.02,12304,124,2400,40,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_LLM,0.68,0.3250883392226148,0.1375186846038864,0.49684655567008507,0.49401531381931013,0.513588920580395,direct_indirect,2week,0.02,12304,124,2400,40,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_LLM,0.6741666666666667,0.32063492063492066,0.15097159940209268,0.5001789640537915,0.494923314327065,0.5136718193428719,direct_indirect,2week,0.02,12304,124,2400,40,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_LLM,0.6741666666666667,0.33527696793002915,0.17189835575485798,0.5104156666986657,0.5079656211923778,0.5200912922621777,direct_indirect,2week,0.02,12304,124,2400,40,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,Logistic_Regression,Config_Hybrid,0.67125,0.44328922495274103,0.7010463378176383,0.6431930155070471,0.7366651727618846,0.6803902977360866,direct_indirect,2week,0.02,12304,124,2400,56,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,Random_Forest,Config_Hybrid,0.7741666666666667,0.6119929453262787,0.5186846038863976,0.7047061771980866,0.7974161491970477,0.6957952193319914,direct_indirect,2week,0.02,12304,124,2400,56,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,XGBoost,Config_Hybrid,0.7104166666666667,0.48522727272727273,0.6382660687593423,0.6687715296023531,0.7600797555177331,0.6882838142756851,direct_indirect,2week,0.02,12304,124,2400,56,1187,1398,0.27875
HOSE100_quality_plus_operation_governance,LightGBM,Config_Hybrid,0.72625,0.5065217391304347,0.6965620328849028,0.6909616271473983,0.7867697029201952,0.7171429459629598,direct_indirect,2week,0.02,12304,124,2400,56,1187,1398,0.27875
