ticker,quarter_id,llm_score_news_count,llm_score_direct_ratio,llm_score_irrelevant_ratio,llm_sentiment_mean,llm_sentiment_weighted_mean,llm_positive_ratio,llm_negative_ratio,llm_materiality_mean,llm_high_materiality_count,llm_risk_mean,llm_high_risk_count,llm_confidence_mean,llm_earnings_count,llm_dividend_count,llm_capital_count,llm_debt_risk_count,llm_legal_risk_count,llm_governance_count
ABB,2022Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,2022Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,2022Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,2022Q4,7.0,1.0,0.0,0.014285714285714287,0.0067857142857142855,0.0,0.0,0.2714285714285714,0.0,0.15714285714285717,0.0,0.9357142857142858,0.0,0.0,1.0,0.0,0.0,5.0
ABB,2023Q1,9.0,1.0,0.0,-0.06666666666666667,-0.018000000000000002,0.0,0.1111111111111111,0.3111111111111111,1.0,0.25555555555555554,0.0,0.9277777777777777,1.0,0.0,0.0,0.0,1.0,7.0
ABB,2023Q2,12.0,1.0,0.0,0.1708333333333333,0.12733333333333333,0.25,0.0,0.4583333333333333,5.0,0.18333333333333335,0.0,0.9208333333333334,4.0,3.0,1.0,0.0,0.0,4.0
ABB,2023Q3,8.0,1.0,0.0,0.0875,0.063,0.125,0.0,0.575,3.0,0.35000000000000003,1.0,0.925,1.0,0.0,4.0,0.0,0.0,3.0
ABB,2023Q4,5.0,1.0,0.0,-0.06,-0.0054,0.0,0.2,0.34,1.0,0.27999999999999997,0.0,0.9,0.0,0.0,2.0,0.0,0.0,2.0
ABB,2024Q1,8.0,1.0,0.0,-0.0375,-0.027,0.0,0.125,0.2625,1.0,0.17500000000000002,0.0,0.9375,2.0,0.0,0.0,0.0,0.0,6.0
ABB,2024Q2,7.0,1.0,0.0,0.08571428571428572,0.061714285714285715,0.14285714285714285,0.0,0.2571428571428572,1.0,0.20000000000000004,0.0,0.9142857142857144,1.0,0.0,0.0,0.0,0.0,4.0
