date,title,description,url,source,ticker,match_confidence,full_text,full_text_available,full_text_chars,lead,author,published_at_detail,canonical_url,content_hash,detail_fetched_at,extraction_status,paywall_or_restricted,extractor_version,extractor_strategy,article_summary,key_facts_json,event_type_enriched,risk_flags_json,relevance_hint
2026-06-26,ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel O&J,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/ABB-2917129/abb-nghi-quyet-hoi-dong-quan-tri-dieu-chinh-dieu-kien-cap-tin-dung-cho-cong-ty-co-phan-o-to-gel-oj.chn,cafef,ABB,exact,ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel OJ Nghị quyết Hội đồng quản trị,True,128.0,Nghị quyết Hội đồng quản trị,,2026-06-26,https://cafef.vn/du-lieu/ABB-2917129/abb-nghi-quyet-hoi-dong-quan-tri-dieu-chinh-dieu-kien-cap-tin-dung-cho-cong-ty-co-phan-o-to-gel-oj.chn,4dc0e79be4cb27f62a94cbe84d44a5adbea6cc655def92257c761b2fe7723c61,2026-07-06T15:33:31,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel OJ Nghị quyết Hội đồng quản trị,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel O&J Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel OJ Nghị quyết Hội đồng quản trị"", ""evidence_quote"": ""ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel O&J Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel OJ Nghị quyết"", ""fact_type"": ""governance"", ""direction"": ""neutral"", ""confidence"": ""medium""}]",governance,"[""governance""]",ticker_mentioned
2026-06-25,ABB: Bổ sung nội dung tại Giấy phép thành lập và hoạt động,Bổ sung nội dung tại Giấy phép thành lập và hoạt động,https://cafef.vn/du-lieu/ABB-2916436/abb-bo-sung-noi-dung-tai-giay-phep-thanh-lap-va-hoat-dong.chn,cafef,ABB,exact,ABB: Bổ sung nội dung tại Giấy phép thành lập và hoạt động Bổ sung nội dung tại Giấy phép thành lập và hoạt động,True,112.0,Bổ sung nội dung tại Giấy phép thành lập và hoạt động,,2026-06-25,https://cafef.vn/du-lieu/ABB-2916436/abb-bo-sung-noi-dung-tai-giay-phep-thanh-lap-va-hoat-dong.chn,3917dd08855dc31d2d9796bb94d70b4a48b1b0233c347b0d8d20bff9941b80f3,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,Bổ sung nội dung tại Giấy phép thành lập và hoạt động ABB: Bổ sung nội dung tại Giấy phép thành lập và hoạt động Bổ sung nội dung tại Giấy phép thành lập và hoạt động,[],general_news,[],ticker_mentioned
2026-06-22,ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/ABB-2914129/abb-nghi-quyet-hoi-dong-quan-tri-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc.chn,cafef,ABB,exact,ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị,True,116.0,Nghị quyết Hội đồng quản trị,,2026-06-22,https://cafef.vn/du-lieu/ABB-2914129/abb-nghi-quyet-hoi-dong-quan-tri-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc.chn,5c8e6bbe510f35469e9c62f41f386986cdf866095bf4ba78e27af4f4ae3dd09b,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị"", ""evidence_quote"": ""ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức Nghị quyết Hội đồng quản trị"", ""fact_type"": ""dividend"", ""direction"": ""support_or_context"", ""confidence"": ""medium""}]","dividend,capital,governance","[""governance""]",ticker_mentioned
2026-06-22,ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,https://cafef.vn/du-lieu/ABB-2914123/abb-abbank-nhan-duoc-van-ban-chap-thuan-tang-von-dieu-le-cua-nhnn.chn,cafef,ABB,exact,ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,True,128.0,ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,,2026-06-22,https://cafef.vn/du-lieu/ABB-2914123/abb-abbank-nhan-duoc-van-ban-chap-thuan-tang-von-dieu-le-cua-nhnn.chn,6317a2120a03ce90e968b53d5c74e27f1ce04f437709bcb9fd92b4e806687ca1,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,"[{""fact_id"": ""F01"", ""fact"": ""ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN"", ""evidence_quote"": ""ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN ABBank nhận được văn bản chấp thuận tăng vốn"", ""fact_type"": ""capital"", ""direction"": ""support_or_context"", ""confidence"": ""medium""}]",capital,[],ticker_mentioned
2026-06-22,ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/ABB-2914130/abb-nghi-quyet-hoi-dong-quan-tri-cap-han-muc-tin-dung-cho-cong-ty-co-phan-chung-khoan-an-binh.chn,cafef,ABB,exact,ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng quản trị,True,123.0,Nghị quyết Hội đồng quản trị,,2026-06-22,https://cafef.vn/du-lieu/ABB-2914130/abb-nghi-quyet-hoi-dong-quan-tri-cap-han-muc-tin-dung-cho-cong-ty-co-phan-chung-khoan-an-binh.chn,318802544211e985e4a813354ae2d9ce68f3faccf07cdead2d395a6bbd4a041a,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng quản trị,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng quản trị"", ""evidence_quote"": ""ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình Nghị quyết Hội đồng q"", ""fact_type"": ""governance"", ""direction"": ""neutral"", ""confidence"": ""medium""}]",governance,"[""governance""]",ticker_mentioned
2026-06-19,ABB: Sửa đổi tên viết tắt tại Giấy phép,Sửa đổi tên viết tắt tại Giấy phép,https://cafef.vn/du-lieu/ABB-2912672/abb-sua-doi-ten-viet-tat-tai-giay-phep.chn,cafef,ABB,exact,ABB: Sửa đổi tên viết tắt tại Giấy phép Sửa đổi tên viết tắt tại Giấy phép,True,74.0,Sửa đổi tên viết tắt tại Giấy phép,,2026-06-19,https://cafef.vn/du-lieu/ABB-2912672/abb-sua-doi-ten-viet-tat-tai-giay-phep.chn,144ded6189d46ddf8d88f7952c1d43c1b7b89650d99b387af85b85e9d4675816,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,Sửa đổi tên viết tắt tại Giấy phép ABB: Sửa đổi tên viết tắt tại Giấy phép Sửa đổi tên viết tắt tại Giấy phép,[],general_news,[],ticker_mentioned
2026-05-28,ABB: ABBank nhận được Quyết đinh của Ngân hàng nhà nước,ABBank nhận được Quyết đinh của Ngân hàng nhà nước,https://cafef.vn/du-lieu/ABB-2897058/abb-abbank-nhan-duoc-quyet-dinh-cua-ngan-hang-nha-nuoc.chn,cafef,ABB,exact,ABB: ABBank nhận được Quyết đinh của Ngân hàng nhà nước ABBank nhận được Quyết đinh của Ngân hàng nhà nước,True,106.0,ABBank nhận được Quyết đinh của Ngân hàng nhà nước,,2026-05-28,https://cafef.vn/du-lieu/ABB-2897058/abb-abbank-nhan-duoc-quyet-dinh-cua-ngan-hang-nha-nuoc.chn,c3d2098446524c7ec6434fbdf6027a4583de9db27cb54b6f838beb80932e64db,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABBank nhận được Quyết đinh của Ngân hàng nhà nước ABB: ABBank nhận được Quyết đinh của Ngân hàng nhà nước ABBank nhận được Quyết đinh của Ngân hàng nhà nước,[],general_news,[],ticker_mentioned
2026-04-20,ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/ABB-2670570/abb-nghi-quyet-hoi-dong-quan-tri-thue-them-dien-tich-cho-hoi-so-abbank-tai-tang-21-toa-nha-peakview.chn,cafef,ABB,exact,ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyết Hội đồng quản trị,True,129.0,Nghị quyết Hội đồng quản trị,,2026-04-20,https://cafef.vn/du-lieu/ABB-2670570/abb-nghi-quyet-hoi-dong-quan-tri-thue-them-dien-tich-cho-hoi-so-abbank-tai-tang-21-toa-nha-peakview.chn,5fd2884acba245455a99db30326d132310ddab7d1e46efa0131abf06ca042dff,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyết Hội đồng quản trị,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyết Hội đồng quản trị"", ""evidence_quote"": ""ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview Nghị quyế"", ""fact_type"": ""governance"", ""direction"": ""neutral"", ""confidence"": ""medium""}]",governance,"[""governance""]",ticker_mentioned
2026-04-20,ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel O&J,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/ABB-2670736/abb-nghi-quyet-hoi-dong-quan-tri-cap-lc-cho-cong-ty-co-phan-o-to-gel-oj.chn,cafef,ABB,exact,ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel OJ Nghị quyết Hội đồng quản trị,True,102.0,Nghị quyết Hội đồng quản trị,,2026-04-20,https://cafef.vn/du-lieu/ABB-2670736/abb-nghi-quyet-hoi-dong-quan-tri-cap-lc-cho-cong-ty-co-phan-o-to-gel-oj.chn,3ba36e9cd66d2cc10a7db0a356e267098c8592b969c0926092d020ed93a8a506,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel OJ Nghị quyết Hội đồng quản trị,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel O&J Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel OJ Nghị quyết Hội đồng quản trị"", ""evidence_quote"": ""ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel O&J Nghị quyết Hội đồng quản trị ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel OJ Nghị quyết Hội đồng quản trị"", ""fact_type"": ""governance"", ""direction"": ""neutral"", ""confidence"": ""medium""}]",governance,"[""governance""]",ticker_mentioned
2026-04-17,ABB: Tài liệu họp Đại hội đồng cổ đông,Tài liệu họp Đại hội đồng cổ đông,https://cafef.vn/du-lieu/ABB-2668934/abb-tai-lieu-hop-dai-hoi-dong-co-dong.chn,cafef,ABB,exact,ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông,True,72.0,Tài liệu họp Đại hội đồng cổ đông,,2026-04-17,https://cafef.vn/du-lieu/ABB-2668934/abb-tai-lieu-hop-dai-hoi-dong-co-dong.chn,ea017a72520cbe8249e760d0910200334ff7bc29995dc5cec2e1f38570069b57,2026-07-06T15:33:42,partial,False,fulltext_v3_cafef_api_fallback,cafef_api_payload,Tài liệu họp Đại hội đồng cổ đông ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông,"[{""fact_id"": ""F01"", ""fact"": ""ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông"", ""evidence_quote"": ""ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông ABB: Tài liệu họp Đại hội đồng cổ đông Tài liệu họp Đại hội đồng cổ đông"", ""fact_type"": ""governance"", ""direction"": ""neutral"", ""confidence"": ""medium""}]",governance,"[""governance""]",ticker_mentioned
