content_hash,ticker,date,title,url,sentiment,sentiment_score,materiality,materiality_score,risk_level,risk_score,event_type,relevance_to_ticker,confidence,rationale,provider,requested_model,response_model,request_id,prompt_sha256,input_sha256,annotated_at_utc,status,error
4dc0e79be4cb27f62a94cbe84d44a5adbea6cc655def92257c761b2fe7723c61,ABB,2026-06-26,ABB: Nghị quyết Hội đồng quản trị điều chỉnh điều kiện Cấp tín dụng cho Công ty Cổ phần ô tô Gel O&J,https://cafef.vn/du-lieu/ABB-2917129/abb-nghi-quyet-hoi-dong-quan-tri-dieu-chinh-dieu-kien-cap-tin-dung-cho-cong-ty-co-phan-o-to-gel-oj.chn,neutral,0.0,low,0.2,low,0.1,operation,direct,0.9,"Bài báo chỉ là một thông báo về việc Hội đồng quản trị của ABB ra nghị quyết điều chỉnh điều kiện cấp tín dụng cho một khách hàng doanh nghiệp. Đây là một hoạt động nghiệp vụ thông thường, không có thông tin chi tiết về tác động tài chính nên được đánh giá là trung tính và có mức độ quan trọng thấp.",gemini,gemini-2.5-pro,gemini-2.5-pro,,4cf06a3e7b61e1880ba51dc87b1ebe4bdc08a470c34ab18b1f05d6540f65a436,3fc1f1872c56e2d775aec814c1c02bc34b5b45849f290b9eb6a57a8e97612ffd,2026-07-07T06:09:57+00:00,ok,
3917dd08855dc31d2d9796bb94d70b4a48b1b0233c347b0d8d20bff9941b80f3,ABB,2026-06-25,ABB: Bổ sung nội dung tại Giấy phép thành lập và hoạt động,https://cafef.vn/du-lieu/ABB-2916436/abb-bo-sung-noi-dung-tai-giay-phep-thanh-lap-va-hoat-dong.chn,neutral,0.0,low,0.2,low,0.2,governance,direct,0.9,"Bài báo chỉ là một thông báo ngắn gọn về việc ABB bổ sung nội dung vào Giấy phép thành lập và hoạt động. Không có chi tiết nào được cung cấp về nội dung bổ sung, do đó không thể xác định được tác động tích cực hay tiêu cực. Đây là một sự kiện mang tính thủ tục hành chính.",gemini,gemini-2.5-pro,gemini-2.5-pro,,9c1befd6f5e1894d35a552786817bb2d7f5ad2922862ca335c86817b549f945a,2a7fbba7d077553622e524229fa889b9e9bb0b9c9d82cd0e33c41f1a676aa9ca,2026-07-07T06:10:09+00:00,ok,
5c8e6bbe510f35469e9c62f41f386986cdf866095bf4ba78e27af4f4ae3dd09b,ABB,2026-06-22,ABB: Nghị quyết Hội đồng quản trị triển khai phương án phát hành cổ phiếu để trả cổ tức,https://cafef.vn/du-lieu/ABB-2914129/abb-nghi-quyet-hoi-dong-quan-tri-trien-khai-phuong-an-phat-hanh-co-phieu-de-tra-co-tuc.chn,neutral,0.1,high,0.8,low,0.2,dividend,direct,1.0,"Bài báo đưa tin về việc HĐQT của ABB thông qua nghị quyết triển khai phương án phát hành cổ phiếu để trả cổ tức. Đây là một sự kiện quan trọng liên quan trực tiếp đến quyền lợi cổ đông và cơ cấu vốn của công ty, nhưng việc trả cổ tức bằng cổ phiếu là một hành động trung tính vì nó không mang lại dòng tiền trực tiếp cho nhà đầu tư và làm pha loãng cổ phiếu.",gemini,gemini-2.5-pro,gemini-2.5-pro,,404aa83f1490f358ec36a89faf955b9d4b2744db3405526e32985ba5676cc2e0,83105c2524c14ad7f09707a27210b1b20d9894abc22459405f57d029b8977707,2026-07-07T06:10:19+00:00,ok,
6317a2120a03ce90e968b53d5c74e27f1ce04f437709bcb9fd92b4e806687ca1,ABB,2026-06-22,ABB: ABBank nhận được văn bản chấp thuận tăng vốn điều lệ của NHNN,https://cafef.vn/du-lieu/ABB-2914123/abb-abbank-nhan-duoc-van-ban-chap-thuan-tang-von-dieu-le-cua-nhnn.chn,positive,0.7,high,0.8,low,0.2,capital,direct,0.95,"Bài báo đưa tin Ngân hàng TMCP An Bình (ABBank) đã nhận được văn bản chấp thuận của Ngân hàng Nhà nước (NHNN) về việc tăng vốn điều lệ. Đây là một thông tin tích cực và quan trọng, ảnh hưởng trực tiếp đến năng lực tài chính và quy mô hoạt động của ngân hàng.",gemini,gemini-2.5-pro,gemini-2.5-pro,,e0483ac2e9b0f113168b45d9f446d08e3552b5a31c166e9c7171aa3527fb445d,244707645f73d3aeed160548a76a20df0206e82326fbd8ef112df9092fcab985,2026-07-07T06:10:29+00:00,ok,
318802544211e985e4a813354ae2d9ce68f3faccf07cdead2d395a6bbd4a041a,ABB,2026-06-22,ABB: Nghị quyết Hội đồng quản trị cấp hạn mức tín dụng cho Công ty Cổ phần Chứng khoán An Bình,https://cafef.vn/du-lieu/ABB-2914130/abb-nghi-quyet-hoi-dong-quan-tri-cap-han-muc-tin-dung-cho-cong-ty-co-phan-chung-khoan-an-binh.chn,neutral,0.0,low,0.2,low,0.2,operation,direct,0.9,"Bài báo chỉ đơn thuần là thông báo về Nghị quyết HĐQT của ABB về việc cấp hạn mức tín dụng cho một công ty liên quan (Chứng khoán An Bình). Đây là một hoạt động kinh doanh thông thường, không có thông tin về quy mô hay tác động đến kết quả kinh doanh của ngân hàng.",gemini,gemini-2.5-pro,gemini-2.5-pro,,66b1e1cb89b4a3979c73ba1cd2dbf19b580249957f25f6ec679b97fcdb861810,1a56b68e72dbdec78cff17687c480bbae7d35e4ac11c45991b9f130755e4f65f,2026-07-07T06:10:38+00:00,ok,
144ded6189d46ddf8d88f7952c1d43c1b7b89650d99b387af85b85e9d4675816,ABB,2026-06-19,ABB: Sửa đổi tên viết tắt tại Giấy phép,https://cafef.vn/du-lieu/ABB-2912672/abb-sua-doi-ten-viet-tat-tai-giay-phep.chn,neutral,0.0,low,0.1,low,0.0,governance,direct,0.9,"Bài báo chỉ đề cập đến việc ABB sửa đổi tên viết tắt tại giấy phép, đây là một thay đổi mang tính hành chính, không có thông tin nào cho thấy tác động đến hoạt động kinh doanh hay tài chính của công ty.",gemini,gemini-2.5-pro,gemini-2.5-pro,,0d8ef4211ec49e7a168cdecadc1cc970001dff556dea98440ddbc8468aec7379,a3e34417c768909f98a0074e79a89e7a369df2db009fb60e7cc5099f915bbd93,2026-07-07T06:10:48+00:00,ok,
c3d2098446524c7ec6434fbdf6027a4583de9db27cb54b6f838beb80932e64db,ABB,2026-05-28,ABB: ABBank nhận được Quyết đinh của Ngân hàng nhà nước,https://cafef.vn/du-lieu/ABB-2897058/abb-abbank-nhan-duoc-quyet-dinh-cua-ngan-hang-nha-nuoc.chn,neutral,0.0,low,0.2,low,0.2,governance,direct,0.9,"Bài báo chỉ thông báo việc ABBank nhận được một quyết định từ Ngân hàng Nhà nước nhưng không cung cấp bất kỳ chi tiết nào về nội dung của quyết định đó. Do thiếu thông tin, không thể đánh giá tác động tích cực hay tiêu cực, vì vậy sự kiện được phân loại là trung tính với mức độ quan trọng và rủi ro thấp.",gemini,gemini-2.5-pro,gemini-2.5-pro,,f1de428e864bbbe68eea2174a5e8192ec5f31e66831acfb2892a7b64966e8384,3b0caac97bab2c2c34983ac2cd75ffeba063a5ded71646fd13076c40562f73f9,2026-07-07T06:11:01+00:00,ok,
5fd2884acba245455a99db30326d132310ddab7d1e46efa0131abf06ca042dff,ABB,2026-04-20,ABB: Nghị quyết Hội đồng quản trị Thuê thêm diện tích cho Hội sở ABBank tại Tầng 21 Tòa nhà Peakview,https://cafef.vn/du-lieu/ABB-2670570/abb-nghi-quyet-hoi-dong-quan-tri-thue-them-dien-tich-cho-hoi-so-abbank-tai-tang-21-toa-nha-peakview.chn,neutral,0.0,low,0.2,low,0.1,operation,direct,0.9,"Bài báo chỉ đơn thuần thông báo về Nghị quyết Hội đồng quản trị của ABBank về việc thuê thêm diện tích văn phòng cho Hội sở. Đây là một hoạt động vận hành thông thường, không mang thông tin trọng yếu có thể ảnh hưởng đến tình hình kinh doanh hay giá cổ phiếu của công ty.",gemini,gemini-2.5-pro,gemini-2.5-pro,,0841c250ccb1e575571c9f67c98f781664c9bb7d87bcb180908f233b69f2f793,e623b993cedda6e69c0b2442a158b537dc5a94b71db4f7c2884cd62e9abe166c,2026-07-07T06:11:11+00:00,ok,
3ba36e9cd66d2cc10a7db0a356e267098c8592b969c0926092d020ed93a8a506,ABB,2026-04-20,ABB: Nghị quyết Hội đồng quản trị Cấp L/C cho Công ty Cổ phần Ô tô Gel O&J,https://cafef.vn/du-lieu/ABB-2670736/abb-nghi-quyet-hoi-dong-quan-tri-cap-lc-cho-cong-ty-co-phan-o-to-gel-oj.chn,neutral,0.0,low,0.2,low,0.2,operation,direct,0.9,"Bài báo chỉ thông báo về việc HĐQT của ABB thông qua nghị quyết cấp thư tín dụng (L/C) cho một công ty. Đây là một hoạt động kinh doanh thông thường của ngân hàng, không có thông tin chi tiết về giá trị hay tác động tài chính, do đó được xem là trung tính và có mức độ ảnh hưởng thấp.",gemini,gemini-2.5-pro,gemini-2.5-pro,,4555006ea073c8b2cac5bcc5781bd18b845640693906b856651b4d8ca22d6e3f,0ed8d74f8592127ed87e58709d669962ea3d04372e757ca795842d24c5b5530e,2026-07-07T06:11:21+00:00,ok,
ea017a72520cbe8249e760d0910200334ff7bc29995dc5cec2e1f38570069b57,ABB,2026-04-17,ABB: Tài liệu họp Đại hội đồng cổ đông,https://cafef.vn/du-lieu/ABB-2668934/abb-tai-lieu-hop-dai-hoi-dong-co-dong.chn,neutral,0.0,medium,0.5,low,0.1,governance,direct,0.95,"Bài báo chỉ đơn thuần thông báo về việc công bố tài liệu cho Đại hội đồng cổ đông của ABB. Đây là một tin tức mang tính thủ tục, thuộc về quản trị doanh nghiệp và không chứa đựng thông tin về kết quả kinh doanh hay triển vọng của công ty.",gemini,gemini-2.5-pro,gemini-2.5-pro,,efe5e9965f46cdaef234e84296d0afd13796820ebc846100119dae7632918e38,d8cf0218673928a0ba2dd1cd6dd9f955d59a2d64ffc954ae4ccb4c55436633f7,2026-07-07T06:11:30+00:00,ok,
