date,title,description,url,source
2026-06-09,ANV: Tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Nam Việt thông báo tài liệu họp ĐHĐCĐ TN năm 2026,https://cafef.vn/du-lieu/ANV-2905134/anv-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-06-05,ANV: Biên bản và Nghị quyết HĐQT về việc miễn nhiệm bà Dương Thị Kim Hương - Phó TGĐ,Công ty Cổ phần Nam Việt công bố Biên bản và Nghị quyết HĐQT về việc miễn nhiệm chức vụ Phó TGĐ,https://cafef.vn/du-lieu/ANV-2902981/anv-bien-ban-va-nghi-quyet-hdqt-ve-viec-mien-nhiem-ba-duong-thi-kim-huong-pho-tgd.chn,cafef
2026-04-28,"ANV: 22.5.2026, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Nam Việt,https://cafef.vn/du-lieu/ANV-2677517/anv-2252026-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-24,ANV: Nghị quyết HĐQT về việc tổ chức ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Nam Việt công bố Nghị quyết HĐQT về việc tổ chức ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/ANV-2674597/anv-nghi-quyet-hdqt-ve-viec-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-24,ANV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Nam Việt thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/ANV-2674598/anv-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-06,ANV: Biên bản họp và Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Nam Việt công bố Biên bản họp và Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/ANV-2413215/anv-bien-ban-hop-va-nghi-quyet-hdqt-ve-viec-gia-han-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-01-14,ANV: Báo cáo tình hình quản trị công ty năm 2025,Công ty Cổ phần Nam Việt công bố báo cáo tình hình quản trị công ty năm 2025,https://cafef.vn/du-lieu/ANV-2383549/anv-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2025.chn,cafef
2026-01-05,ANV: Biên bản và Nghị quyết HĐQT về việc bổ nhiệm ông Doãn Chí Thiên giữ chức Phó TGĐ thường trực,Công ty Cổ phần Nam Việt công bố Biên bản và Nghị quyết HĐQT về việc bổ nhiệm chức vụ Phó TGĐ thường trực,https://cafef.vn/du-lieu/ANV-2376553/anv-bien-ban-va-nghi-quyet-hdqt-ve-viec-bo-nhiem-ong-doan-chi-thien-giu-chuc-pho-tgd-thuong-truc.chn,cafef
2025-12-31,ANV: Nghị quyết và Biên bản họp HĐQT bổ nhiệm chức vụ Phó TGĐ thường trực,Công ty Cổ phần Nam Việt thông báo Nghị quyết và Biên bản họp HĐQT về việc bổ nhiệm chức vụ Phó TGĐ thường trực,https://cafef.vn/du-lieu/ANV-2381062/anv-nghi-quyet-va-bien-ban-hop-hdqt-bo-nhiem-chuc-vu-pho-tgd-thuong-truc.chn,cafef
2025-10-08,ANV: Nghị quyết và Biên bản họp HĐQT về việc chi trả cổ tức năm 2024 và tạm ứng cổ tức năm 2025,Công ty Cổ phần Nam Việt thông báo Nghị quyết và Biên bản họp HĐQT về việc chi trả cổ tức năm 2024 và tạm ứng cổ tức năm 2025,https://cafef.vn/du-lieu/ANV-2313298/anv-nghi-quyet-va-bien-ban-hop-hdqt-ve-viec-chi-tra-co-tuc-nam-2024-va-tam-ung-co-tuc-nam-2025.chn,cafef
2025-07-24,ANV: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 17,Công ty Cổ phần Nam Việt công bố Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 17,https://cafef.vn/du-lieu/ANV-2255817/anv-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-17.chn,cafef
2025-07-16,ANV: Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2025,Công ty Cổ phần Nam Việt Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/ANV-2247327/anv-bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-dau-nam-2025.chn,cafef
2025-07-10,ANV: Thông báo về việc ký hợp đồng kiểm toán BCTC năm 2025,Công ty Cổ phần Nam Việt thông báo về việc ký hợp đồng kiểm toán BCTC năm 2025,https://cafef.vn/du-lieu/ANV-2245030/anv-thong-bao-ve-viec-ky-hop-dong-kiem-toan-bctc-nam-2025.chn,cafef
2025-06-30,ANV: Điều lệ tổ chức và hoạt động 2025,Công ty Cổ phần Nam Việt thông báo Điều lệ tổ chức và hoạt động,https://cafef.vn/du-lieu/ANV-2233613/anv-dieu-le-to-chuc-va-hoat-dong-2025.chn,cafef
2025-06-30,ANV: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nam Việt thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ANV-2234402/anv-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-06-06,ANV: Thông báo tài liệu họp ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nam Việt thông báo tài liệu họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ANV-2214979/anv-thong-bao-tai-lieu-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-05-06,"ANV: 23.5.2025, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2025",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2025 của Công ty Cổ phần Nam Việt,https://cafef.vn/du-lieu/ANV-2196283/anv-2352025-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-05-05,ANV: Nghị quyết  và Biên bản họp HĐQT về việc giải thể doanh nghiệp,Công ty Cổ phần Nam Việt thông báo Nghị quyết  và Biên bản họp HĐQT về việc giải thể doanh nghiệp,https://cafef.vn/du-lieu/ANV-2196328/anv-nghi-quyet-va-bien-ban-hop-hdqt-ve-viec-giai-the-doanh-nghiep.chn,cafef
2025-04-25,ANV: Nghị quyết HĐQT về việc tổ chức ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nam Việt công bố Nghị quyết HĐQT về việc tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ANV-2191018/anv-nghi-quyet-hdqt-ve-viec-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-25,ANV: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nam Việt thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ANV-2191019/anv-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-10,ANV: Thông báo thực hiện bán giải chấp chứng khoán ANV - Doãn Chí Thanh,Công ty Cổ phần Chứng khoán Mirae Asset (Việt Nam) thông báo thực hiện bán giải chấp chứng khoán ANV - Doãn Chí Thanh,https://cafef.vn/du-lieu/ANV-2169904/anv-thong-bao-thuc-hien-ban-giai-chap-chung-khoan-anv-doan-chi-thanh.chn,cafef
2025-03-07,ANV: Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nam Việt công bố Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/ANV-2145123/anv-nghi-quyet-hdqt-ve-viec-gia-han-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-03-03,ANV: Thông báo quyết định của Cục Hải quan Tỉnh An Giang về việc xử phạt vi phạm hành chính,Công ty Cổ phần Nam Việt thông báo quyết định của Cục Hải quan Tỉnh An Giang về việc xử phạt vi phạm hành chính,https://cafef.vn/du-lieu/ANV-2141160/anv-thong-bao-quyet-dinh-cua-cuc-hai-quan-tinh-an-giang-ve-viec-xu-phat-vi-pham-hanh-chinh.chn,cafef
2025-01-15,ANV: Báo cáo tình hình quản trị công ty năm 2024,Công ty Cổ phần Nam Việt công bố Báo cáo tình hình quản trị công ty năm 2024,https://cafef.vn/du-lieu/ANV-2118021/anv-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn,cafef
2024-11-22,ANV: Thông báo nhận được công văn của UBCKNN về tài liệu báo cáo kết quả phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Công ty Cổ phần Nam Việt thông báo nhận được công văn của UBCKNN về tài liệu báo cáo kết quả phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,https://cafef.vn/du-lieu/ANV-2088447/anv-thong-bao-nhan-duoc-cong-van-cua-ubcknn-ve-tai-lieu-bao-cao-ket-qua-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn,cafef
2024-11-20,ANV: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 16,Công ty Cổ phần Nam Việt công bố Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 16,https://cafef.vn/du-lieu/ANV-2087007/anv-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-16.chn,cafef
2024-11-13,ANV: Nghị quyết HĐQT về việc tăng vốn điều lệ,Công ty Cổ phần Nam Việt thông báo Nghị quyết HĐQT về việc tăng vốn điều lệ,https://cafef.vn/du-lieu/ANV-2083713/anv-nghi-quyet-hdqt-ve-viec-tang-von-dieu-le.chn,cafef
2024-10-03,ANV: Thông báo phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Công ty Cổ phần Nam Việt thông báo phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,https://cafef.vn/du-lieu/ANV-2063366/anv-thong-bao-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn,cafef
