date,title,description,url,source
2026-06-09,"HAH: Biên bản, Nghị quyết ĐHĐCĐ thường niên năm 2026 và các tài liệu họp đính kèm","Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo Biên bản, Nghị quyết ĐHĐCĐ TN năm 2026 và các tài liệu họp đính kèm",https://cafef.vn/du-lieu/HAH-2905204/hah-bien-ban-nghi-quyet-dhdcd-thuong-nien-nam-2026-va-cac-tai-lieu-hop-dinh-kem.chn,cafef
2026-06-03,HAH: Tài liệu họp ĐHĐCĐ thường niên 2026 (cập nhật),Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo tài liệu họp ĐHĐCĐ thường niên 2026 (cập nhật),https://cafef.vn/du-lieu/HAH-2901118/hah-tai-lieu-hop-dhdcd-thuong-nien-2026-cap-nhat.chn,cafef
2026-06-03,HAH: Các Nghị quyết HĐQT và Quyết định HĐQT ngày 02/06/2026,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo các Nghị quyết HĐQT và Quyết định HĐQT ngày 02/06/2026,https://cafef.vn/du-lieu/HAH-2901116/hah-cac-nghi-quyet-hdqt-va-quyet-dinh-hdqt-ngay-02062026.chn,cafef
2026-05-18,HAH: Tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Vận tải và Xếp dỡ Hải An công bố tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/HAH-2889398/hah-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-05-11,HAH: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 22,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 22,https://cafef.vn/du-lieu/HAH-2884448/hah-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-22.chn,cafef
2026-05-08,HAH: Thông báo mời họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo mời họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/HAH-2882955/hah-thong-bao-moi-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-05-05,HAH: Nghị quyết HĐQT về kế hoạch tổ chức họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Vận tải và Xếp dỡ Hải An công bố Nghị quyết HĐQT về việc kế hoạch tổ chức họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/HAH-2879961/hah-nghi-quyet-hdqt-ve-ke-hoach-to-chuc-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-29,HAH: Nghị quyết HĐQT về việc gia hạn thời gian tổ chức Đại hội đồng Cổ đông,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo Nghị quyết HĐQT ngày 28/04/2026,https://cafef.vn/du-lieu/HAH-2678250/hah-nghi-quyet-hdqt-ve-viec-gia-han-thoi-gian-to-chuc-dai-hoi-dong-co-dong.chn,cafef
2026-04-24,HAH: Thông báo công văn của UBCKNN về tài liệu báo cáo phát hành cổ phiếu ESOP của HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo công văn của UBCKNN về tài liệu báo cáo phát hành cổ phiếu ESOP của HAH,https://cafef.vn/du-lieu/HAH-2675209/hah-thong-bao-cong-van-cua-ubcknn-ve-tai-lieu-bao-cao-phat-hanh-co-phieu-esop-cua-hah.chn,cafef
2026-04-23,HAH: Nghị quyết HĐQT thông qua việc góp thêm vốn để tăng vốn điều lệ của Công ty TNHH Hải An Green Shipping Lines,Công ty Cổ phần Vận tải và Xếp dỡ Hải An thông báo Nghị quyết HĐQT ngày 21/04/2026,https://cafef.vn/du-lieu/HAH-2673881/hah-nghi-quyet-hdqt-thong-qua-viec-gop-them-von-de-tang-von-dieu-le-cua-cong-ty-tnhh-hai-an-green-shipping-lines.chn,cafef
