date,title,description,url,source
2026-06-10,"KDH: 16.6.2026, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày ĐKCC lấy ý kiến cổ đông bằng văn bản Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,https://cafef.vn/du-lieu/KDH-2905890/kdh-1662026-ngay-gdkhq-lay-y-kien-co-dong-bang-van-ban.chn,cafef
2026-06-05,KDH: Quyết định chuyển nhượng phần vốn góp tại Công ty TNHH Bất động sản Bình Trưng Mới,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố  Quyết định chuyển nhượng phần vốn góp tại Công ty TNHH Bất động sản Bình Trưng Mới,https://cafef.vn/du-lieu/KDH-2902922/kdh-quyet-dinh-chuyen-nhuong-phan-von-gop-tai-cong-ty-tnhh-bat-dong-san-binh-trung-moi.chn,cafef
2026-06-05,KDH: Nghị quyết HĐQT thông qua ngày đăng ký cuối cùng chốt danh sách cổ đông để thực hiện lấy ý kiến cổ đông bằng văn bản,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Nghị quyết HĐQT thông qua ngày đăng ký cuối cùng chốt danh sách cổ đông để thực hiện lấy ý kiến cổ đông bằng văn bản,https://cafef.vn/du-lieu/KDH-2903094/kdh-nghi-quyet-hdqt-thong-qua-ngay-dang-ky-cuoi-cung-chot-danh-sach-co-dong-de-thuc-hien-lay-y-kien-co-dong-bang-van-ban.chn,cafef
2026-05-12,KDH: Thông báo nhận được Văn bản của UBCKNN về việc tuân thủ quy định về chào bán trái phiếu doanh nghiệp riêng lẻ,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền thông báo nhận được Văn bản của UBCKNN về việc tuân thủ quy định về chào bán trái phiếu doanh nghiệp riêng lẻ,https://cafef.vn/du-lieu/KDH-2885674/kdh-thong-bao-nhan-duoc-van-ban-cua-ubcknn-ve-viec-tuan-thu-quy-dinh-ve-chao-ban-trai-phieu-doanh-nghiep-rieng-le.chn,cafef
2026-04-23,"KDH: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2026, đường dẫn Điều lệ, Quy chế nội bộ về QTCT, Quy chế hoạt động HĐQT","Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2026, đường dẫn Điều lệ, Quy chế nội bộ về QTCT, Quy chế hoạt động HĐQT",https://cafef.vn/du-lieu/KDH-2674098/kdh-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2026-duong-dan-dieu-le-quy-che-noi-bo-ve-qtct-quy-che-hoat-dong-hdqt.chn,cafef
2026-04-21,KDH: Báo cáo tiến độ sử dụng số tiền thu được từ đợt phát hành ESOP năm 2024,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Báo cáo tiến độ sử dụng số tiền thu được từ đợt phát hành ESOP năm 2024,https://cafef.vn/du-lieu/KDH-2671700/kdh-bao-cao-tien-do-su-dung-so-tien-thu-duoc-tu-dot-phat-hanh-esop-nam-2024.chn,cafef
2026-04-10,"KDH: Nghị quyết HĐQT thông qua danh sách ứng viên thành viên HĐQT, BKS nhiệm kỳ 2022-2027","Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Nghị quyết HĐQT về việc thông qua danh sách ứng viên thành viên HĐQT, BKS nhiệm kỳ 2022-2027",https://cafef.vn/du-lieu/KDH-2663983/kdh-nghi-quyet-hdqt-thong-qua-danh-sach-ung-vien-thanh-vien-hdqt-bks-nhiem-ky-20222027.chn,cafef
2026-04-01,KDH: Nghị quyết HĐQT thông qua kế hoạch tổ chức ĐHĐCĐ Thường niên 2026 và tài liệu đại hội,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền thông báo Nghị quyết HĐQT về việc thông qua kế hoạch tổ chức ĐHĐCĐ TN 2026 và tài liệu đại hội,https://cafef.vn/du-lieu/KDH-2656080/kdh-nghi-quyet-hdqt-thong-qua-ke-hoach-to-chuc-dhdcd-thuong-nien-2026-va-tai-lieu-dai-hoi.chn,cafef
2026-03-30,KDH: Báo cáo tình hình sử dụng số tiền thu được từ đợt phát hành trái phiếu,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Báo cáo tình hình sử dụng số tiền thu được từ đợt phát hành trái phiếu,https://cafef.vn/du-lieu/KDH-2638001/kdh-bao-cao-tinh-hinh-su-dung-so-tien-thu-duoc-tu-dot-phat-hanh-trai-phieu.chn,cafef
2026-03-30,KDH: Báo cáo tình hình thực hiện các cam kết với người sở hữu trái phiếu,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền công bố Báo cáo tình hình thực hiện các cam kết với người sở hữu trái phiếu,https://cafef.vn/du-lieu/KDH-2638010/kdh-bao-cao-tinh-hinh-thuc-hien-cac-cam-ket-voi-nguoi-so-huu-trai-phieu.chn,cafef
