date,title,description,url,source
2026-06-12,MCH: Thông báo phát hành cổ phiếu ESOP,Công ty Cổ phần Hàng tiêu dùng Masan thông báo phát hành cổ phiếu ESOP,https://cafef.vn/du-lieu/MCH-2907296/mch-thong-bao-phat-hanh-co-phieu-esop.chn,cafef
2026-06-12,MCH: Thông báo giao dịch bán cổ phiếu quỹ,Công ty Cổ phần Hàng tiêu dùng Masan thông báo giao dịch bán cổ phiếu quỹ,https://cafef.vn/du-lieu/MCH-2907297/mch-thong-bao-giao-dich-ban-co-phieu-quy.chn,cafef
2026-05-26,MCH: Nghị quyết HĐQT về việc phát hành ESOP,Công ty Cổ phần Hàng tiêu dùng Masan công bố Nghị quyết HĐQT về việc phát hành ESOP,https://cafef.vn/du-lieu/MCH-2895488/mch-nghi-quyet-hdqt-ve-viec-phat-hanh-esop.chn,cafef
2026-05-04,MCH: Thông cáo báo chí về kết quả kinh doanh quý 1/2026,Công ty Cổ phần Hàng tiêu dùng Masan thông cáo báo chí về kết quả kinh doanh quý 1/2026,https://cafef.vn/du-lieu/MCH-2878709/mch-thong-cao-bao-chi-ve-ket-qua-kinh-doanh-quy-12026.chn,cafef
2026-04-28,MCH: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Hàng tiêu dùng Masan thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/MCH-2677151/mch-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-24,MCH: Giải trình biến động LNST quý 1/2026 so với cùng kỳ năm trước,Công ty Cổ phần Hàng tiêu dùng Masan giải trình biến động LNST quý 1/2026 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/MCH-2675147/mch-giai-trinh-bien-dong-lnst-quy-12026-so-voi-cung-ky-nam-truoc.chn,cafef
2026-04-03,MCH: Tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Hàng tiêu dùng Masan công bố tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/MCH-2658553/mch-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-23,MCH: Thông báo công văn của VSDC về việc điều chỉnh tỷ lệ SHNN tối đa của MCH,Công ty Cổ phần Hàng tiêu dùng Masan thông báo công văn của VSDC về việc điều chỉnh tỷ lệ SHNN tối đa của MCH,https://cafef.vn/du-lieu/MCH-2425429/mch-thong-bao-cong-van-cua-vsdc-ve-viec-dieu-chinh-ty-le-shnn-toi-da-cua-mch.chn,cafef
2026-03-18,MCH: Thông báo công văn của UBCKNN về hồ sơ thông báo thay đổi tỷ lệ SHNN tối đa của MCH,Công ty Cổ phần Hàng tiêu dùng Masan thông báo công văn của UBCKNN về hồ sơ thông báo thay đổi tỷ lệ SHNN tối đa của MCH,https://cafef.vn/du-lieu/MCH-2422254/mch-thong-bao-cong-van-cua-ubcknn-ve-ho-so-thong-bao-thay-doi-ty-le-shnn-toi-da-cua-mch.chn,cafef
2026-03-04,"MCH: 19.3.2026, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC  tổ chức ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Hàng tiêu dùng Masan,https://cafef.vn/du-lieu/MCH-2411532/mch-1932026-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
