date,title,description,url,source
2026-04-28,MWG: Giải trình chênh lệch BCTC quý 1/2026 so với cùng kỳ năm trước,Công ty Cổ phần Đầu tư Thế Giới Di Động giải trình chênh lệch BCTC quý 1/2026 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/MWG-2677184/mwg-giai-trinh-chenh-lech-bctc-quy-12026-so-voi-cung-ky-nam-truoc.chn,cafef
2026-04-20,MWG: Quy chế hoạt động của HĐQT và Quy chế Quản trị nội bộ,Công ty Cổ phần Đầu tư Thế Giới Di Động thông báo Quy chế hoạt động của HĐQT và Quy chế Quản trị nội bộ,https://cafef.vn/du-lieu/MWG-2670729/mwg-quy-che-hoat-dong-cua-hdqt-va-quy-che-quan-tri-noi-bo.chn,cafef
2026-04-20,MWG: Điều lệ công ty,Công ty Cổ phần Đầu tư Thế Giới Di Động thông báo Điều lệ công ty,https://cafef.vn/du-lieu/MWG-2670727/mwg-dieu-le-cong-ty.chn,cafef
2026-04-20,MWG: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Đầu tư Thế Giới Di Động thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/MWG-2670728/mwg-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-03-27,MWG: Tờ trình và Link công bố tài liệu ĐHĐCĐ thường niên 2026,Công ty Cổ phần Đầu tư Thế Giới Di Động thông báo Tờ trình và Link công bố tài liệu ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/MWG-2581005/mwg-to-trinh-va-link-cong-bo-tai-lieu-dhdcd-thuong-nien-2026.chn,cafef
2026-03-26,MWG: Báo cáo thường niên năm 2025 và Báo cáo phát triển bền vững 2025,Công ty Cổ phần Đầu tư Thế Giới Di Động công bố Báo cáo thường niên năm 2025 và Báo cáo phát triển bền vững 2025,https://cafef.vn/du-lieu/MWG-2427735/mwg-bao-cao-thuong-nien-nam-2025-va-bao-cao-phat-trien-ben-vung-2025.chn,cafef
2026-03-13,Giải mã hồ sơ IPO Điện Máy Xanh: Tái định vị chiến lược và chu kỳ tăng trưởng mới,"DMX được định vị là hệ sinh thái bán lẻ điện thoại – điện máy, bao gồm các chuỗi bán lẻ cốt lõi (Thế Giới Di Động, Điện Máy Xanh, TopZone) và các trụ cột tăng trưởng mới là dịch vụ Thợ DMX và liên doanh EraBlue tại Indonesia.",https://cafef.vn/giai-ma-ho-so-ipo-dien-may-xanh-tai-dinh-vi-chien-luoc-va-chu-ky-tang-truong-moi-188260312230959533.chn,cafef
2026-03-11,"Điện Máy Xanh chốt phương án IPO và lên sàn chứng khoán ngay trong năm nay, chia cổ tức hàng nghìn tỷ","Sau khi hoàn tất IPO, toàn bộ cổ phiếu của Điện Máy Xanh sẽ được đăng ký tập trung tại VSDC và đăng ký niêm yết tại HOSE.",https://cafef.vn/dien-may-xanh-chot-phuong-an-ipo-va-len-san-chung-khoan-ngay-trong-nam-nay-chia-co-tuc-hang-nghin-ty-188260311175536874.chn,cafef
2026-02-27,"MWG: 13.3.2026, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC tổ chức ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Đầu tư Thế Giới Di Động,https://cafef.vn/du-lieu/MWG-2408480/mwg-1332026-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-02-24,MWG: Nghị quyết HĐQT về ngày chốt danh sách cổ đông để tổ chức ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Đầu tư Thế Giới Di Động công bố Nghị quyết HĐQT về ngày chốt danh sách cổ đông để tổ chức ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/MWG-2406596/mwg-nghi-quyet-hdqt-ve-ngay-chot-danh-sach-co-dong-de-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-01-30,MWG: Giải trình BCTC quý 4/2025 và năm 2025 so với cùng kỳ năm trước,Công ty Cổ phần Đầu tư Thế Giới Di Động giải trình BCTC quý 4/2025 và năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/MWG-2393938/mwg-giai-trinh-bctc-quy-42025-va-nam-2025-so-voi-cung-ky-nam-truoc.chn,cafef
2026-01-30,MWG: Nghị quyết HĐQT thông qua kế hoạch kinh doanh năm 2026,Công ty Cổ phần Đầu tư Thế Giới Di Động công bố Nghị quyết HĐQT về việc thông qua kế hoạch kinh doanh năm 2026,https://cafef.vn/du-lieu/MWG-2393839/mwg-nghi-quyet-hdqt-thong-qua-ke-hoach-kinh-doanh-nam-2026.chn,cafef
