date,title,description,url,source
2026-06-05,NVL: Công văn về tái cấu trúc gói Trái phiếu chuyển đổi của công ty,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va công bố công văn về tái cấu trúc gói Trái phiếu chuyển đổi của công ty,https://cafef.vn/du-lieu/NVL-2902917/nvl-cong-van-ve-tai-cau-truc-goi-trai-phieu-chuyen-doi-cua-cong-ty.chn,cafef
2026-06-01,NVL: Thông báo phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH,https://cafef.vn/du-lieu/NVL-2899671/nvl-thong-bao-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nvcsh.chn,cafef
2026-05-28,NVL: CBTT liên quan đến tái cấu trúc gói trái phiếu chuyển đổi,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo liên quan đến tái cấu trúc gói trái phiếu chuyển đổi,https://cafef.vn/du-lieu/NVL-2897238/nvl-cbtt-lien-quan-den-tai-cau-truc-goi-trai-phieu-chuyen-doi.chn,cafef
2026-05-26,"NVL: 3.6.2026, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng lấy ý kiến cổ đông bằng văn bản của Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,https://cafef.vn/du-lieu/NVL-2895491/nvl-362026-ngay-gdkhq-lay-y-kien-co-dong-bang-van-ban.chn,cafef
2026-05-25,NVL: Nghị quyết HĐQT triển khai thực hiện phương án phát hành cổ phiếu để tăng vốn cổ phần,"Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT số 22,23 ngày 21/05/2026",https://cafef.vn/du-lieu/NVL-2894211/nvl-nghi-quyet-hdqt-trien-khai-thuc-hien-phuong-an-phat-hanh-co-phieu-de-tang-von-co-phan.chn,cafef
2026-05-18,NVL: Thông báo Quyết định của Thuế TP.HCM về việc xử phạt vi phạm hành chính về thuế,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Quyết định của Thuế TP.HCM về việc xử phạt vi phạm hành chính về thuế,https://cafef.vn/du-lieu/NVL-2889396/nvl-thong-bao-quyet-dinh-cua-thue-tphcm-ve-viec-xu-phat-vi-pham-hanh-chinh-ve-thue.chn,cafef
2026-05-12,NVL: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 75,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 75,https://cafef.vn/du-lieu/NVL-2885448/nvl-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-75.chn,cafef
2026-04-29,"NVL: Nghị quyết HĐQT thông qua việc ban hành Điều lệ Công Ty, Quy chế Quản trị Công Ty, Quy chế hoạt động của HĐQT cập nhật các sửa đổi",Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT số 21 ngày 29/04/2026,https://cafef.vn/du-lieu/NVL-2876754/nvl-nghi-quyet-hdqt-thong-qua-viec-ban-hanh-dieu-le-cong-ty-quy-che-quan-tri-cong-ty-quy-che-hoat-dong-cua-hdqt-cap-nhat-cac-sua-doi.chn,cafef
2026-04-29,NVL: Nghị quyết HĐQT về việc tăng vốn điều lệ công ty,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT về việc tăng vốn điều lệ công ty,https://cafef.vn/du-lieu/NVL-2876742/nvl-nghi-quyet-hdqt-ve-viec-tang-von-dieu-le-cong-ty.chn,cafef
2026-04-24,NVL: Nghị quyết HĐQT bổ nhiệm ông Bùi Cao Nhật Quân làm Chủ tịch HĐQT từ 23.4.2026,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT về việc bầu Chủ tịch HĐQT,https://cafef.vn/du-lieu/NVL-2675228/nvl-nghi-quyet-hdqt-bo-nhiem-ong-bui-cao-nhat-quan-lam-chu-tich-hdqt-tu-2342026.chn,cafef
2026-04-24,NVL: Nghị quyết HĐQT về việc thay đổi người đại diện theo pháp luật,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT về việc thay đổi người đại diện theo pháp luật,https://cafef.vn/du-lieu/NVL-2675229/nvl-nghi-quyet-hdqt-ve-viec-thay-doi-nguoi-dai-dien-theo-phap-luat.chn,cafef
2026-04-24,NVL: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/NVL-2675226/nvl-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-22,NVL: Nghị quyết HĐQT về các tài liệu thay đổi tại ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va công bố Nghị quyết HĐQT về các tài liệu thay đổi tại ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/NVL-2672570/nvl-nghi-quyet-hdqt-ve-cac-tai-lieu-thay-doi-tai-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-20,NVL: Nghị quyết HĐQT thông qua danh sách ứng viên được cổ đông đề cử vào vị trí Thành viên HĐQT,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo Nghị quyết HĐQT về việc thông qua danh sách ứng viên được cổ đông đề cử vào vị trí Thành viên HĐQT,https://cafef.vn/du-lieu/NVL-2670959/nvl-nghi-quyet-hdqt-thong-qua-danh-sach-ung-vien-duoc-co-dong-de-cu-vao-vi-tri-thanh-vien-hdqt.chn,cafef
2026-04-20,"NVL: Nghị quyết HĐQT về việc bổ sung, điều chỉnh tài liệu họp ĐHĐCĐ thường niên năm 2026","Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va công bố Nghị quyết HĐQT về việc bổ sung, điều chỉnh tài liệu họp ĐHĐCĐ thường niên năm 2026",https://cafef.vn/du-lieu/NVL-2671070/nvl-nghi-quyet-hdqt-ve-viec-bo-sung-dieu-chinh-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-16,"NVL tăng 70% sau hơn 1 tháng: Nhóm cổ đông liên quan ông Bùi Thành Nhơn bị ""ép"" bán lượng cổ phần hàng chục tỷ đồng",Tổng cộng nhóm cổ đông liên quan tới Chủ tịch NVL đã bị bán giải chấp lượng cổ phần giá trị 20 tỷ đồng.,https://cafef.vn/nvl-tang-70-sau-hon-1-thang-nhom-co-dong-lien-quan-ong-bui-thanh-nhon-bi-ep-ban-luong-co-phan-hang-chuc-ty-dong-188260416000314529.chn,cafef
2026-04-15,NVL: Thông báo đường dẫn báo cáo thường niên năm 2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo đường dẫn báo cáo thường niên năm 2025,https://cafef.vn/du-lieu/NVL-2666867/nvl-thong-bao-duong-dan-bao-cao-thuong-nien-nam-2025.chn,cafef
2026-04-08,NVL: CBTT liên quan đến Quyết định của Toà án,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va thông báo liên quan đến Quyết định của Toà án,https://cafef.vn/du-lieu/NVL-2663167/nvl-cbtt-lien-quan-den-quyet-dinh-cua-toa-an.chn,cafef
2026-04-03,NVL: Tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va công bố tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/NVL-2658164/nvl-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
