date,title,description,url,source
2026-06-16,PGB: Số lượng cổ phiếu có quyền biểu quyết 732.702.236 cp,Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết,https://cafef.vn/du-lieu/PGB-2910954/pgb-so-luong-co-phieu-co-quyen-bieu-quyet-732702236-cp.chn,cafef
2026-05-29,PGB: Ngày đăng ký cuối cùng thực hiện quyền trả cổ tức bằng cổ phiếu,Thông báo về ngày đăng ký cuối cùng thực hiện quyền trả cổ tức bằng cổ phiếu,https://cafef.vn/du-lieu/PGB-2897857/pgb-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tra-co-tuc-bang-co-phieu.chn,cafef
2026-05-29,PGB: Nhận được tài liệu báo cáo phát hành cổ phiếu để trả cổ tức của PGB,Công văn của Ủy ban Chứng khoán Nhà nước về việc nhận được tài liệu báo cáo phát hành cổ phiếu để trả cổ tức của PGB,https://cafef.vn/du-lieu/PGB-2897749/pgb-nhan-duoc-tai-lieu-bao-cao-phat-hanh-co-phieu-de-tra-co-tuc-cua-pgb.chn,cafef
2026-05-27,PGB: Nghị quyết HĐQT thay đổi địa điểm đặt trụ sở của Ngân hàng TMCP Thịnh Vượng và Phát Triễn,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/PGB-2895808/pgb-nghi-quyet-hdqt-thay-doi-dia-diem-dat-tru-so-cua-ngan-hang-tmcp-thinh-vuong-va-phat-trien.chn,cafef
2026-03-30,"PGB: Nghị quyết Hội đồng quản trị Sửa đổi, bỗ sung Điều lệ Ngân hàng TMCP Thịnh vượng và Phát triển",Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/PGB-2635192/pgb-nghi-quyet-hoi-dong-quan-tri-sua-doi-bo-sung-dieu-le-ngan-hang-tmcp-thinh-vuong-va-phat-trien.chn,cafef
2026-03-25,"PGB: Nghị quyết HĐQT thông qua hợp đồng, giao dịch giữa PGBank và người có liên quan của PGBank",Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/PGB-2427162/pgb-nghi-quyet-hdqt-thong-qua-hop-dong-giao-dich-giua-pgbank-va-nguoi-co-lien-quan-cua-pgbank.chn,cafef
2026-03-19,PGB: Tài liệu họp Đại hội đồng cổ đông,Tài liệu họp Đại hội đồng cổ đông,https://cafef.vn/du-lieu/PGB-2423226/pgb-tai-lieu-hop-dai-hoi-dong-co-dong.chn,cafef
2026-03-03,PGB: Nghị quyết Hội đồng quản trị  Phê duyệt tạm giao kể hoạch kinh doanh năm 2026,Nghị quyết Hội đồng quản trị,https://cafef.vn/du-lieu/PGB-2411053/pgb-nghi-quyet-hoi-dong-quan-tri-phe-duyet-tam-giao-ke-hoach-kinh-doanh-nam-2026.chn,cafef
2026-03-02,Hàng loạt ngân hàng ấn định lịch họp đại hội cổ đông năm 2026,"Mùa đại hội cổ đông năm 2026 đang đến gần, nhiều ngân hàng thương mại đã công bố kế hoạch chốt danh sách cổ đông và thời gian tổ chức đại hội đồng cổ đông thường niên (ĐHĐCĐ) năm 2026.",https://cafef.vn/hang-loat-ngan-hang-an-dinh-lich-hop-dai-hoi-co-dong-nam-2026-188260302120449237.chn,cafef
2026-02-12,"PGB: 9.3.2026, ngày GDKHQ tổ chức Đại hội đồng cổ đông thường niên năm 2026",Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2026,https://cafef.vn/du-lieu/PGB-2402198/pgb-932026-ngay-gdkhq-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2026.chn,cafef
