date,title,description,url,source
2026-06-03,"PHR: Điều lệ công ty sửa đổi, bổ sung","Công ty Cổ phần Cao su Phước Hòa thông báo Điều lệ công ty sửa đổi, bổ sung",https://cafef.vn/du-lieu/PHR-2901349/phr-dieu-le-cong-ty-sua-doi-bo-sung.chn,cafef
2026-06-01,"PHR: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên 2026 và thông báo thay đổi nhân sự","Công ty Cổ phần Cao su Phước Hòa công bố Nghị quyết, Biên bản họp ĐHĐCĐ thường niên 2026 và thông báo thay đổi nhân sự",https://cafef.vn/du-lieu/PHR-2899204/phr-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-2026-va-thong-bao-thay-doi-nhan-su.chn,cafef
2026-05-20,PHR: CBTT về tiền bồi thường hỗ trợ,Công ty Cổ phần Cao su Phước Hòa CBTT về tiền bồi thường hỗ trợ,https://cafef.vn/du-lieu/PHR-2891238/phr-cbtt-ve-tien-boi-thuong-ho-tro.chn,cafef
2026-05-19,PHR: Nghị quyết HĐQT về việc đề cử thành viên độc lập tham gia HĐQT nhiệm kỳ 2023-2028,Công ty Cổ phần Cao su Phước Hòa công bố Nghị quyết HĐQT về việc đề cử thành viên độc lập tham gia HĐQT nhiệm kỳ 2023-2028,https://cafef.vn/du-lieu/PHR-2890603/phr-nghi-quyet-hdqt-ve-viec-de-cu-thanh-vien-doc-lap-tham-gia-hdqt-nhiem-ky-20232028.chn,cafef
2026-04-24,"PHR: Thông báo thư mời, giấy ủy quyền tham dự phiên họp ĐHĐCĐ thường niên năm 2026","Công ty Cổ phần Cao su Phước Hòa thông báo thư mời, giấy ủy quyền tham dự phiên họp ĐHĐCĐ thường niên năm 2026",https://cafef.vn/du-lieu/PHR-2675096/phr-thong-bao-thu-moi-giay-uy-quyen-tham-du-phien-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-21,PHR: Nhắc nhở chậm CBTT BCTC giải trình chênh lệch LNST trên BCTC kiểm toán 2025 so với quý 4/2025,Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo nhắc nhở chậm CBTT BCTC giải trình chênh lệch LNST trên BCTC kiểm toán 2025 so với quý 4/2025 đối với Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2671699/phr-nhac-nho-cham-cbtt-bctc-giai-trinh-chenh-lech-lnst-tren-bctc-kiem-toan-2025-so-voi-quy-42025.chn,cafef
2026-04-17,PHR: Giải trình chênh lệch LNST BCTC HN và Riêng năm 2025 đã kiểm toán,Công ty Cổ phần Cao su Phước Hòa giải trình chênh lệch LNST BCTC HN và Riêng năm 2025 đã kiểm toán,https://cafef.vn/du-lieu/PHR-2669309/phr-giai-trinh-chenh-lech-lnst-bctc-hn-va-rieng-nam-2025-da-kiem-toan.chn,cafef
2026-04-07,"PHR: Ứng cử, đề cử nhân sự bầu bổ sung thành viên HĐQT nhiệm kỳ 2023-2028","Công ty Cổ phần Cao su Phước Hòa công bố ứng cử, đề cử nhân sự bầu bổ sung thành viên HĐQT nhiệm kỳ 2023-2028",https://cafef.vn/du-lieu/PHR-2661377/phr-ung-cu-de-cu-nhan-su-bau-bo-sung-thanh-vien-hdqt-nhiem-ky-20232028.chn,cafef
2026-03-31,"PHR: 16.4.2026, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC tổ chức ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2647388/phr-1642026-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-30,PHR: Nghị quyết HĐQT phê duyệt mua mủ cao su thành phẩm của Công ty TNHH Phát triển Cao su Phước Hòa - Kampong Thom,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT về việc phê duyệt mua mủ cao su thành phẩm của Công ty TNHH Phát triển Cao su Phước Hòa - Kampong Thom,https://cafef.vn/du-lieu/PHR-2636073/phr-nghi-quyet-hdqt-phe-duyet-mua-mu-cao-su-thanh-pham-cua-cong-ty-tnhh-phat-trien-cao-su-phuoc-hoa-kampong-thom.chn,cafef
2026-03-25,"PHR: Thông báo và Nghị quyết HĐQT về chốt danh sách cổ đông, thời gian tổ chức ĐHĐCĐ thường niên năm 2026","Công ty Cổ phần Cao su Phước Hòa công bố Thông báo và Nghị quyết HĐQT về chốt danh sách cổ đông, thời gian tổ chức ĐHĐCĐ thường niên năm 2026",https://cafef.vn/du-lieu/PHR-2426557/phr-thong-bao-va-nghi-quyet-hdqt-ve-chot-danh-sach-co-dong-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-02-03,PHR: Nghị quyết HĐQT thông qua kết quả sản xuất kinh doanh Quý IV và cả năm 2025,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT số 04 ngày 02/02/2026,https://cafef.vn/du-lieu/PHR-2396063/phr-nghi-quyet-hdqt-thong-qua-ket-qua-san-xuat-kinh-doanh-quy-iv-va-ca-nam-2025.chn,cafef
2025-09-18,PHR: Thông báo thay đổi mẫu dấu Công ty,Công ty Cổ phần Cao su Phước Hòa thông báo thay đổi mẫu dấu Công ty,https://cafef.vn/du-lieu/PHR-2298970/phr-thong-bao-thay-doi-mau-dau-cong-ty.chn,cafef
2025-09-12,PHR: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 8,Công ty Cổ phần Cao su Phước Hòa công bố Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 8,https://cafef.vn/du-lieu/PHR-2294544/phr-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-8.chn,cafef
2025-08-14,PHR: Nhắc nhở chậm công bố thông tin định kỳ đồng thời bằng tiếng Anh,Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh nhắc nhở chậm công bố thông tin định kỳ đồng thời bằng tiếng Anh đối với Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2271311/phr-nhac-nho-cham-cong-bo-thong-tin-dinh-ky-dong-thoi-bang-tieng-anh.chn,cafef
2025-08-07,"PHR: 27.8.2025, ngày GDKHQ thanh toán cổ tức năm 2024 bằng tiền (1.350 đ/cp)",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng thanh toán cổ tức năm 2024 bằng tiền của Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2265747/phr-2782025-ngay-gdkhq-thanh-toan-co-tuc-nam-2024-bang-tien-1350-dcp.chn,cafef
2025-08-04,PHR: CBTT ngày ĐKCC thực hiện quyền nhận cổ tức năm 2024 bằng tiền,Công ty Cổ phần Cao su Phước Hòa CBTT ngày ĐKCC thực hiện quyền nhận cổ tức năm 2024 bằng tiền,https://cafef.vn/du-lieu/PHR-2267682/phr-cbtt-ngay-dkcc-thuc-hien-quyen-nhan-co-tuc-nam-2024-bang-tien.chn,cafef
2025-07-30,PHR: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,Công ty Cổ phần Cao su Phước Hòa công bố báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,https://cafef.vn/du-lieu/PHR-2292956/phr-bao-cao-tinh-hinh-quan-tri-cong-ty-06-thang-dau-nam-2025.chn,cafef
2025-07-25,PHR: Nhắc nhở chậm CBTT về việc nhận được đơn từ nhiệm của người nội bộ,Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo nhắc nhở chậm CBTT về việc nhận được đơn từ nhiệm của người nội bộ đối với Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2264115/phr-nhac-nho-cham-cbtt-ve-viec-nhan-duoc-don-tu-nhiem-cua-nguoi-noi-bo.chn,cafef
2025-07-18,PHR: Thông báo ký hợp đồng kiểm toán BCTC 2025,Công ty Cổ phần Cao su Phước Hòa thông báo ký hợp đồng kiểm toán BCTC 2025,https://cafef.vn/du-lieu/PHR-2251066/phr-thong-bao-ky-hop-dong-kiem-toan-bctc-2025.chn,cafef
2025-07-04,"PHR: Điều lệ tổ chức và hoạt động sửa đổi, bổ sung","Công ty Cổ phần Cao su Phước Hòa thông báo Điều lệ tổ chức và hoạt động sửa đổi, bổ sung",https://cafef.vn/du-lieu/PHR-2239522/phr-dieu-le-to-chuc-va-hoat-dong-sua-doi-bo-sung.chn,cafef
2025-06-30,"PHR: Nghị quyết, Biên bản và tài liệu họp ĐHĐCĐ thường niên năm 2025","Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết, Biên bản và tài liệu họp ĐHĐCĐ thường niên năm 2025",https://cafef.vn/du-lieu/PHR-2234766/phr-nghi-quyet-bien-ban-va-tai-lieu-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-06-06,PHR: Thông báo thư mời và tài liệu họp ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Cao su Phước Hòa thông báo thư mời và tài liệu họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PHR-2215997/phr-thong-bao-thu-moi-va-tai-lieu-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-28,"PHR: 22.5.2025, ngày GDKHQ tổ chức ĐHĐCĐ thường niên năm 2025",Sở Giao dịch Chứng khoán TP.HCM thông báo ngày ĐKCC tổ chức ĐHĐCĐ thường niên năm 2025 của Công ty Cổ phần Cao su Phước Hòa,https://cafef.vn/du-lieu/PHR-2195450/phr-2252025-ngay-gdkhq-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-23,PHR: CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,Công ty Cổ phần Cao su Phước Hòa thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PHR-2186417/phr-cbtt-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025.chn,cafef
2025-02-26,PHR: Nghị quyết HĐQT phiên họp lần I năm 2025,Công ty Cổ phần Cao su Phước Hòa công bố Nghị quyết HĐQT phiên họp lần I năm 2025,https://cafef.vn/du-lieu/PHR-2138483/phr-nghi-quyet-hdqt-phien-hop-lan-i-nam-2025.chn,cafef
2025-02-26,PHR: Giải trình chênh lệch KQHĐKD trên BCTC riêng năm 2024 (đã kiểm toán) so với năm 2023,Công ty Cổ phần Cao su Phước Hòa giải trình chênh lệch KQHĐKD trên BCTC riêng năm 2024 (đã kiểm toán) so với năm 2023,https://cafef.vn/du-lieu/PHR-2138485/phr-giai-trinh-chenh-lech-kqhdkd-tren-bctc-rieng-nam-2024-da-kiem-toan-so-voi-nam-2023.chn,cafef
2025-02-10,PHR: CBTT về việc mua mủ cao su thành phẩm của Phước Hòa Kampong Thom năm 2025,Công ty Cổ phần Cao su Phước Hòa thông báo về việc mua mủ cao su thành phẩm của Phước Hòa Kampong Thom năm 2025,https://cafef.vn/du-lieu/PHR-2127673/phr-cbtt-ve-viec-mua-mu-cao-su-thanh-pham-cua-phuoc-hoa-kampong-thom-nam-2025.chn,cafef
2025-02-04,PHR: Báo cáo tình hình quản trị công ty năm 2024,Công ty Cổ phần Cao su Phước Hòa công bố Báo cáo tình hình quản trị công ty năm 2024,https://cafef.vn/du-lieu/PHR-2151524/phr-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn,cafef
2024-11-15,PHR: Thông báo về ngày đăng ký cuối cùng và Nghị quyết HĐQT về việc chia cổ tức năm 2023,Công ty Cổ phần Cao su Phước Hòa thông báo về ngày đăng ký cuối cùng và Nghị quyết HĐQT về việc chia cổ tức năm 2023,https://cafef.vn/du-lieu/PHR-2085127/phr-thong-bao-ve-ngay-dang-ky-cuoi-cung-va-nghi-quyet-hdqt-ve-viec-chia-co-tuc-nam-2023.chn,cafef
2024-10-29,PHR: Giải trình chênh lệch lợi nhuận sau thuế HN quý 3/2024 so với quý 3/2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình chênh lệch lợi nhuận sau thuế HN quý 3/2024 so với quý 3/2023,https://cafef.vn/du-lieu/PHR-2077218/phr-giai-trinh-chenh-lech-loi-nhuan-sau-thue-hn-quy-32024-so-voi-quy-32023.chn,cafef
2024-10-18,PHR: Giải trình chênh lệch KQKD quý 3/2024 so với cùng kỳ năm trước,Công ty Cổ phần Cao su Phước Hòa giải trình chênh lệch KQKD quý 3/2024 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PHR-2072222/phr-giai-trinh-chenh-lech-kqkd-quy-32024-so-voi-cung-ky-nam-truoc.chn,cafef
2024-08-16,PHR: Giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023,https://cafef.vn/du-lieu/PHR-2040662/phr-giai-trinh-chenh-lech-loi-nhuan-sau-thue-6-thang-dau-nam-2024-so-voi-6-thang-dau-nam-2023.chn,cafef
2024-08-09,PHR: Giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình chênh lệch lợi nhuận sau thuế 6 tháng đầu năm 2024 so với 6 tháng đầu năm 2023,https://cafef.vn/du-lieu/PHR-2037481/phr-giai-trinh-chenh-lech-loi-nhuan-sau-thue-6-thang-dau-nam-2024-so-voi-6-thang-dau-nam-2023.chn,cafef
2024-08-09,PHR: Nghị quyết HĐQT bổ nhiệm ông Trần Hoàng Giang giữ chức Phó Tổng Giám đốc,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT về việc bổ nhiệm Phó Tổng Giám đốc,https://cafef.vn/du-lieu/PHR-2037843/phr-nghi-quyet-hdqt-bo-nhiem-ong-tran-hoang-giang-giu-chuc-pho-tong-giam-doc.chn,cafef
2024-07-31,PHR: Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2024,Công ty Cổ phần Cao su Phước Hòa công bố Báo cáo tình hình quản trị công ty 6 tháng đầu năm 2024,https://cafef.vn/du-lieu/PHR-2063153/phr-bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-dau-nam-2024.chn,cafef
2024-07-29,PHR: Giải trình chênh lệch lợi nhuận sau thuế quý 2/2024 so với quý 2/2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình chênh lệch lợi nhuận sau thuế quý 2/2024 so với quý 2/2023,https://cafef.vn/du-lieu/PHR-2032904/phr-giai-trinh-chenh-lech-loi-nhuan-sau-thue-quy-22024-so-voi-quy-22023.chn,cafef
2024-07-10,PHR: Giải trình biến động kết quả kinh doanh riêng quý 2/2024 so với quý 2/2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình biến động kết quả kinh doanh riêng quý 2/2024 so với quý 2/2023,https://cafef.vn/du-lieu/PHR-2021297/phr-giai-trinh-bien-dong-ket-qua-kinh-doanh-rieng-quy-22024-so-voi-quy-22023.chn,cafef
2024-07-05,PHR: Nghị quyết HĐQT về việc lựa chọn đơn vị kiểm toán BCTC năm 2024,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT về việc lựa chọn đơn vị kiểm toán BCTC năm 2024,https://cafef.vn/du-lieu/PHR-2019128/phr-nghi-quyet-hdqt-ve-viec-lua-chon-don-vi-kiem-toan-bctc-nam-2024.chn,cafef
2024-07-05,PHR: Thông báo ký hợp đồng kiểm toán BCTC 2024,Công ty Cổ phần Cao su Phước Hòa thông báo ký hợp đồng kiểm toán BCTC 2024,https://cafef.vn/du-lieu/PHR-2019135/phr-thong-bao-ky-hop-dong-kiem-toan-bctc-2024.chn,cafef
2024-06-28,"PHR: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo","Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2024 và tài liệu kèm theo",https://cafef.vn/du-lieu/PHR-2016727/phr-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-nam-2024-va-tai-lieu-kem-theo.chn,cafef
2024-06-04,PHR: Thư mời và tài liệu họp ĐHĐCĐ thường niên năm 2024,Công ty Cổ phần Cao su Phước Hòa công bố Thư mời và tài liệu họp ĐHĐCĐ thường niên năm 2024,https://cafef.vn/du-lieu/PHR-2002510/phr-thu-moi-va-tai-lieu-hop-dhdcd-thuong-nien-nam-2024.chn,cafef
2024-05-31,PHR: Nghị quyết HĐQT phiên họp lần 2 năm 2024,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT phiên họp lần 2 năm 2024,https://cafef.vn/du-lieu/PHR-2001511/phr-nghi-quyet-hdqt-phien-hop-lan-2-nam-2024.chn,cafef
2024-05-10,"PHR: 27.5.2024, ngày GDKHQ tham dự ĐHCĐ thường niên năm 2024",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2024 của Công ty Cổ phần Cao su Phước Hòa (mã CK:PHR),https://cafef.vn/du-lieu/PHR-1990144/phr-2752024-ngay-gdkhq-tham-du-dhcd-thuong-nien-nam-2024.chn,cafef
2024-05-06,PHR: CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2024,Công ty Cổ phần Cao su Phước Hòa thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2024,https://cafef.vn/du-lieu/PHR-1988679/phr-cbtt-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2024.chn,cafef
2024-05-04,PHR: Nghị quyết HĐQT về việc tổ chức họp ĐHĐCĐ thường niên 2024,Công ty Cổ phần Cao su Phước Hòa thông báo Nghị quyết HĐQT về việc tổ chức họp ĐHĐCĐ thường niên 2024,https://cafef.vn/du-lieu/PHR-2021601/phr-nghi-quyet-hdqt-ve-viec-to-chuc-hop-dhdcd-thuong-nien-2024.chn,cafef
2024-04-23,PHR: Giải trình chênh lệch LNST trên BCTC hợp nhất Q1/2024 so với cùng kỳ năm trước,Công ty Cổ phần Cao su Phước Hòa giải trình chênh lệch LNST trên BCTC hợp nhất Q1/2024 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PHR-1982056/phr-giai-trinh-chenh-lech-lnst-tren-bctc-hop-nhat-q12024-so-voi-cung-ky-nam-truoc.chn,cafef
2024-04-19,PHR: Giải trình biến động kết quả kinh doanh riêng quý 1/2024 so với quý 1/2023,Công ty Cổ phần Cao su Phước Hòa thông báo giải trình biến động kết quả kinh doanh riêng quý 1/2024 so với quý 1/2023,https://cafef.vn/du-lieu/PHR-1979694/phr-giai-trinh-bien-dong-ket-qua-kinh-doanh-rieng-quy-12024-so-voi-quy-12023.chn,cafef
