date,title,description,url,source
2026-06-03,PLX: Nghị quyết HĐQT về chủ trương bán cổ phiếu quỹ của Petrolimex,Tập đoàn Xăng dầu Việt Nam thông báo Nghị quyết HĐQT về chủ trương bán cổ phiếu quỹ của Petrolimex,https://cafef.vn/du-lieu/PLX-2901321/plx-nghi-quyet-hdqt-ve-chu-truong-ban-co-phieu-quy-cua-petrolimex.chn,cafef
2026-06-03,PLX: Thông báo giấy xác nhận thay đổi nội dung ĐKDN,Tập đoàn Xăng dầu Việt Nam thông báo giấy xác nhận thay đổi nội dung ĐKDN,https://cafef.vn/du-lieu/PLX-2901319/plx-thong-bao-giay-xac-nhan-thay-doi-noi-dung-dkdn.chn,cafef
2026-05-27,PLX: Báo cáo phát triển bền vững năm 2025,Tập đoàn Xăng dầu Việt Nam công bố báo cáo phát triển bền vững năm 2025,https://cafef.vn/du-lieu/PLX-2896247/plx-bao-cao-phat-trien-ben-vung-nam-2025.chn,cafef
2026-05-08,PLX: Quyết định của HĐQT về việc góp vốn đầu tư thành lập công ty,Tập đoàn Xăng dầu Việt Nam thông báo Quyết định của HĐQT về việc góp vốn đầu tư thành lập công ty,https://cafef.vn/du-lieu/PLX-2882918/plx-quyet-dinh-cua-hdqt-ve-viec-gop-von-dau-tu-thanh-lap-cong-ty.chn,cafef
2026-05-05,PLX: Giải trình biến động KQKD trên BCTC quý 1/2026 so với cùng kỳ năm trước,Tập đoàn Xăng dầu Việt Nam thông báo giải trình biến động KQKD trên BCTC quý 1/2026 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PLX-2880174/plx-giai-trinh-bien-dong-kqkd-tren-bctc-quy-12026-so-voi-cung-ky-nam-truoc.chn,cafef
2026-04-28,PLX: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Tập đoàn Xăng dầu Việt Nam thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/PLX-2677153/plx-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-28,PLX: Nghị quyết HĐQT bầu ông Phạm Văn Thanh giữ chức Chủ tịch HĐQT nhiệm kỳ 2026 - 2031,Tập đoàn Xăng dầu Việt Nam công bố Nghị quyết HĐQT về việc bầu Chủ tịch HĐQT,https://cafef.vn/du-lieu/PLX-2677250/plx-nghi-quyet-hdqt-bau-ong-pham-van-thanh-giu-chuc-chu-tich-hdqt-nhiem-ky-2026-2031.chn,cafef
2026-04-14,PLX: Thông báo về việc không đáp ứng điều kiện công ty đại chúng,Tập đoàn Xăng dầu Việt Nam thông báo về việc không đáp ứng điều kiện công ty đại chúng,https://cafef.vn/du-lieu/PLX-2666211/plx-thong-bao-ve-viec-khong-dap-ung-dieu-kien-cong-ty-dai-chung.chn,cafef
2026-04-03,PLX: Thư mời tham dự và link tài liệu họp ĐHĐCĐ thường niên 2026,Tập đoàn Xăng dầu Việt Nam thông báo Thư mời tham dự và link tài liệu họp ĐHĐCĐ TN 2026,https://cafef.vn/du-lieu/PLX-2658773/plx-thu-moi-tham-du-va-link-tai-lieu-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-02,PLX: Giải trình BCTC năm 2025 so với cùng kỳ năm trước,Tập đoàn Xăng dầu Việt Nam giải trình BCTC năm 2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PLX-2657840/plx-giai-trinh-bctc-nam-2025-so-voi-cung-ky-nam-truoc.chn,cafef
2026-03-10,"PLX: 24.3.2026, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Tập đoàn Xăng dầu Việt Nam,https://cafef.vn/du-lieu/PLX-2415781/plx-2432026-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-02-27,"PLX: Nghị quyết HĐQT về dự kiến nội dung, chương trình ĐHĐCĐ thường niên năm 2026","Tập đoàn Xăng dầu Việt Nam công bố Nghị quyết HĐQT về dự kiến nội dung, chương trình ĐHĐCĐ thường niên năm 2026",https://cafef.vn/du-lieu/PLX-2408967/plx-nghi-quyet-hdqt-ve-du-kien-noi-dung-chuong-trinh-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-02-03,PLX: Giải trình biến động LNST trên BCTC quý 4/2025 so với cùng kỳ năm trước,Tập đoàn Xăng dầu Việt Nam công bố giải trình biến động LNST trên BCTC quý 4/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PLX-2396054/plx-giai-trinh-bien-dong-lnst-tren-bctc-quy-42025-so-voi-cung-ky-nam-truoc.chn,cafef
2025-12-01,PLX: Nghị quyết HĐQT phê duyệt các nội dung liên quan đến việc triển khai  bán thỏa thuận phần vốn góp tại Petrolimex Lào,Tập đoàn Xăng dầu Việt Nam thông báo Nghị quyết HĐQT về việc phê duyệt các nội dung liên quan đến việc triển khai  bán thỏa thuận phần vốn góp tại Petrolimex Lào,https://cafef.vn/du-lieu/PLX-2351988/plx-nghi-quyet-hdqt-phe-duyet-cac-noi-dung-lien-quan-den-viec-trien-khai-ban-thoa-thuan-phan-von-gop-tai-petrolimex-lao.chn,cafef
2025-11-25,PLX: CBTT chuyển nhượng quyền sở hữu cổ phiếu,Tập đoàn Xăng dầu Việt Nam thông báo chuyển nhượng quyền sở hữu cổ phiếu,https://cafef.vn/du-lieu/PLX-2348014/plx-cbtt-chuyen-nhuong-quyen-so-huu-co-phieu.chn,cafef
2025-10-31,"Một doanh nghiệp có doanh thu gấp đôi Vingroup, Thế Giới Di Động, Hòa Phát, bình quân mỗi ngày “bỏ túi” hơn 900 tỷ","Đây là mức doanh thu cao thứ 2 trong lịch sử hoạt động của doanh nghiệp này, chỉ kém đôi chút so với mức kỷ lục đạt được vào quý 1/2022.",https://cafef.vn/mot-doanh-nghiep-co-doanh-thu-gap-doi-vingroup-the-gioi-di-dong-hoa-phat-binh-quan-moi-ngay-bo-tui-hon-900-ty-188251030233035603.chn,cafef
2025-10-28,PLX: Thông báo chấm dứt hoạt động Văn phòng Giao dịch,Tập đoàn Xăng dầu Việt Nam thông báo chấm dứt hoạt động Văn phòng Giao dịch,https://cafef.vn/du-lieu/PLX-2327644/plx-thong-bao-cham-dut-hoat-dong-van-phong-giao-dich.chn,cafef
2025-10-07,PJC: Bàn giao vốn công ty mẹ về Tập đoàn Xăng dầu Việt Nam,PJC: Bàn giao vốn công ty mẹ về Tập đoàn Xăng dầu Việt Nam,https://cafef.vn/du-lieu/PLX-2311898/pjc-ban-giao-von-cong-ty-me-ve-tap-doan-xang-dau-viet-nam.chn,cafef
2025-10-02,PLX: CBTT ký hợp đồng sáp nhập,Tập đoàn Xăng dầu Việt Nam thông báo ký hợp đồng sáp nhập,https://cafef.vn/du-lieu/PLX-2309256/plx-cbtt-ky-hop-dong-sap-nhap.chn,cafef
2025-09-03,PLX: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,Tập đoàn Xăng dầu Việt Nam thông báo giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PLX-2289752/plx-giai-trinh-bien-dong-lnst-tren-bctc-ban-nien-2025-soat-xet-so-voi-cung-ky-nam-truoc.chn,cafef
2025-08-03,"Một doanh nghiệp có doanh thu vượt xa Vingroup, gấp đôi Thế Giới Di Động, Hòa Phát, Vietnam Airlines…","Ước tính bình quân mỗi ngày trong quý 2 vừa qua, doanh nghiệp này thu khoảng 850 tỷ đồng.",https://cafef.vn/mot-doanh-nghiep-co-doanh-thu-vuot-xa-vingroup-gap-doi-the-gioi-di-dong-hoa-phat-vietnam-airlines-188250803014830676.chn,cafef
2025-08-01,PLX: Giải trình BCTC quý 2/2025 so với cùng kỳ năm trước,Tập đoàn Xăng dầu Việt Nam giải trình BCTC quý 2/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/PLX-2349019/plx-giai-trinh-bctc-quy-22025-so-voi-cung-ky-nam-truoc.chn,cafef
2025-07-31,PLX: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,Tập đoàn Xăng dầu Việt Nam Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/PLX-2294788/plx-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,cafef
2025-07-29,PLX: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15,Tập đoàn Xăng dầu Việt Nam thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15,https://cafef.vn/du-lieu/PLX-2265023/plx-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-15.chn,cafef
2025-06-24,PLX: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,Thông báo ký kết hợp đồng kiểm toán BCTC 2025,https://cafef.vn/du-lieu/PLX-2229147/plx-thong-bao-ky-ket-hop-dong-kiem-toan-bctc-2025.chn,cafef
2025-06-16,"Sướng như cổ đông Petrolimex (PLX): Vừa nhận 1.500 tỷ đồng cổ tức, vừa “ẵm” thêm hai phiên liên tiếp cổ phiếu tăng trần","Tính từ nhịp nhúng sâu hồi đầu tháng 4, PLX đã hồi phục và tăng một mạch gần 35%, vốn hóa thị trường đạt hơn 51.200 tỷ đồng.",https://cafef.vn/suong-nhu-co-dong-petrolimex-plx-vua-nhan-1500-ty-dong-co-tuc-vua-am-them-hai-phien-lien-tiep-co-phieu-tang-tran-188250616153204609.chn,cafef
2025-06-02,Petrolimex miễn nhiệm Tổng giám đốc Đào Nam Hải,"Ông Đào Nam Hải, Tổng giám đốc Tập đoàn Xăng dầu Việt Nam (Petrolimex), đã bị miễn nhiệm chức vụ.",https://cafef.vn/petrolimex-mien-nhiem-tong-giam-doc-dao-nam-hai-18825060221085992.chn,cafef
2025-06-02,PLX: Thông báo về ngày ĐKCC để thực hiện quyền chi trả cổ tức năm 2024 bằng tiền,Tập đoàn Xăng dầu Việt Nam thông báo về ngày đăng ký cuối cùng để thực hiện quyền chi trả cổ tức năm 2024 bằng tiền,https://cafef.vn/du-lieu/PLX-2212120/plx-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-chi-tra-co-tuc-nam-2024-bang-tien.chn,cafef
