date,title,description,url,source
2026-06-03,PPC: Bổ sung tài liệu họp ĐHĐCĐ bất thường 2026,Công ty Cổ phần Nhiệt điện Phả Lại thông báo bổ sung tài liệu họp ĐHĐCĐ bất thường 2026,https://cafef.vn/du-lieu/PPC-2900855/ppc-bo-sung-tai-lieu-hop-dhdcd-bat-thuong-2026.chn,cafef
2026-06-01,PPC: Nghị quyết HĐQT về việc thay đổi thời gian tổ chức ĐHĐCĐ thường niên 2026,Công ty Cổ phần Nhiệt điện Phả Lại thông báo Nghị quyết HĐQT về việc thay đổi thời gian tổ chức ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/PPC-2899203/ppc-nghi-quyet-hdqt-ve-viec-thay-doi-thoi-gian-to-chuc-dhdcd-thuong-nien-2026.chn,cafef
2026-05-15,PPC: Thông báo đường dẫn tài liệu họp ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Nhiệt điện Phả Lại thông báo đường dẫn tài liệu họp ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/PPC-2887717/ppc-thong-bao-duong-dan-tai-lieu-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-05-08,"PPC: Nghị quyết HĐQT về việc thay đổi thời gian, địa điểm tổ chức ĐHĐCĐ thường niên năm 2026","Công ty Cổ phần Nhiệt điện Phả Lại công bố Nghị quyết HĐQT về việc thay đổi thời gian, địa điểm tổ chức ĐHĐCĐ thường niên năm 2026",https://cafef.vn/du-lieu/PPC-2882882/ppc-nghi-quyet-hdqt-ve-viec-thay-doi-thoi-gian-dia-diem-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-22,"PPC: Quyết định của HĐQT phê duyệt điều chỉnh chủ trương đầu tư dự án "" Cải tạo, nâng cấp hệ thống xử lý khí thải dây chuyền 2""","Công ty Cổ phần Nhiệt điện Phả Lại thông báo Quyết định của HĐQT về việc phê duyệt điều chỉnh chủ trương đầu tư dự án "" Cải tạo, nâng cấp hệ thống xử lý khí thải dây chuyền 2""",https://cafef.vn/du-lieu/PPC-2673258/ppc-quyet-dinh-cua-hdqt-phe-duyet-dieu-chinh-chu-truong-dau-tu-du-an--cai-tao-nang-cap-he-thong-xu-ly-khi-thai-day-chuyen-2.chn,cafef
2026-04-21,PPC: Nghị quyết và Biên bản họp ĐHĐCĐ bất thường 2026,Công ty Cổ phần Nhiệt điện Phả Lại thông báo Nghị quyết và Biên bản họp ĐHĐCĐ bất thường 2026,https://cafef.vn/du-lieu/PPC-2671924/ppc-nghi-quyet-va-bien-ban-hop-dhdcd-bat-thuong-2026.chn,cafef
2026-04-16,PPC: Bổ sung tài liệu họp ĐHĐCĐ bất thường năm 2026,Công ty Cổ phần Nhiệt điện Phả Lại công bố bổ sung tài liệu họp ĐHĐCĐ bất thường năm 2026,https://cafef.vn/du-lieu/PPC-2668245/ppc-bo-sung-tai-lieu-hop-dhdcd-bat-thuong-nam-2026.chn,cafef
2026-03-30,PPC: Link công bố tài liệu ĐHĐCĐ bất thường năm 2026,Công ty Cổ phần Nhiệt điện Phả Lại thông báo link công bố tài liệu ĐHĐCĐ bất thường năm 2026,https://cafef.vn/du-lieu/PPC-2636057/ppc-link-cong-bo-tai-lieu-dhdcd-bat-thuong-nam-2026.chn,cafef
2026-03-27,"PPC: 17.4.2026, ngày GDKHQ tham dự ĐHĐCĐ Thường niên 2026",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐ TN 2026 của Công ty Cổ phần Nhiệt điện Phả Lại,https://cafef.vn/du-lieu/PPC-2584691/ppc-1742026-ngay-gdkhq-tham-du-dhdcd-thuong-nien-2026.chn,cafef
2026-03-23,PPC: Thông báo và Nghị quyết HĐQT về ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐ thường niên 2026,Công ty Cổ phần Nhiệt điện Phả Lại công bố thông báo và Nghị quyết HĐQT về ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐTN 2026,https://cafef.vn/du-lieu/PPC-2425279/ppc-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dkcc-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-2026.chn,cafef
2026-03-10,"PPC: 20.3.2026, ngày GDKHQ tham dự ĐHĐCĐ bất thường năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ bất thường năm 2026 của Công ty Cổ phần Nhiệt điện Phả Lại,https://cafef.vn/du-lieu/PPC-2415763/ppc-2032026-ngay-gdkhq-tham-du-dhdcd-bat-thuong-nam-2026.chn,cafef
2026-03-03,"PPC: Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng chốt thời gian, địa điểm tổ chức ĐHĐCĐ bất thường năm 2026","Công ty Cổ phần Nhiệt điện Phả Lại công bố Thông báo và Nghị quyết HĐQT về ngày đăng ký cuối cùng chốt thời gian, địa điểm tổ chức ĐHĐCĐ bất thường năm 2026",https://cafef.vn/du-lieu/PPC-2410946/ppc-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dang-ky-cuoi-cung-chot-thoi-gian-dia-diem-to-chuc-dhdcd-bat-thuong-nam-2026.chn,cafef
2026-02-09,PPC: Giấy chứng nhận đăng ký hoạt động chi nhánh của Ban quản lý dự án,Công ty Cổ phần Nhiệt điện Phả Lại công bố Giấy chứng nhận đăng ký hoạt động chi nhánh của Ban quản lý dự án,https://cafef.vn/du-lieu/PPC-2400268/ppc-giay-chung-nhan-dang-ky-hoat-dong-chi-nhanh-cua-ban-quan-ly-du-an.chn,cafef
2026-01-23,PPC: Nghị quyết HĐQT phê duyệt mô hình tổ chức Ban Quản lý Dự án,Công ty Cổ phần Nhiệt điện Phả Lại công bố Nghị quyết HĐQT số 04 ngày 22/01/2026 và Quyết định HĐQT số 326 ngày 23/01/2026,https://cafef.vn/du-lieu/PPC-2389274/ppc-nghi-quyet-hdqt-phe-duyet-mo-hinh-to-chuc-ban-quan-ly-du-an.chn,cafef
2025-10-17,PPC: CBTT về việc trả cổ tức còn lại năm 2024 bằng tiền,Công ty Cổ phần Nhiệt điện Phả Lại thông báo về việc trả cổ tức còn lại năm 2024 bằng tiền,https://cafef.vn/du-lieu/PPC-2319737/ppc-cbtt-ve-viec-tra-co-tuc-con-lai-nam-2024-bang-tien.chn,cafef
2025-07-30,PPC: Nghị quyết HĐQT về việc thông qua con dấu của công ty,Công ty Cổ phần Nhiệt điện Phả Lại thông báo Nghị quyết HĐQT về việc thông qua con dấu của công ty,https://cafef.vn/du-lieu/PPC-2265132/ppc-nghi-quyet-hdqt-ve-viec-thong-qua-con-dau-cua-cong-ty.chn,cafef
2025-07-25,PPC: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,Công ty Cổ phần Nhiệt điện Phả Lại công bố báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,https://cafef.vn/du-lieu/PPC-2257036/ppc-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,cafef
2025-07-16,"PPC: Điều lệ công ty sửa đổi, bổ sung","Công ty Cổ phần Nhiệt điện Phả Lại công bố Điều lệ công ty sửa đổi, bổ sung",https://cafef.vn/du-lieu/PPC-2247255/ppc-dieu-le-cong-ty-sua-doi-bo-sung.chn,cafef
2025-07-16,PPC: CBTT kế hoạch SXKD năm 2025 và thay đổi địa chỉ công ty,Công ty Cổ phần Nhiệt điện Phả Lại thông báo kế hoạch SXKD năm 2025 và thay đổi địa chỉ công ty,https://cafef.vn/du-lieu/PPC-2247261/ppc-cbtt-ke-hoach-sxkd-nam-2025-va-thay-doi-dia-chi-cong-ty.chn,cafef
2025-06-26,PPC: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,Công ty Cổ phần Nhiệt điện Phả Lại thông báo ký kết hợp đồng kiểm toán BCTC 2025,https://cafef.vn/du-lieu/PPC-2231669/ppc-thong-bao-ky-ket-hop-dong-kiem-toan-bctc-2025.chn,cafef
2025-06-26,PPC: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nhiệt điện Phả Lại thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PPC-2231871/ppc-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-06-05,PPC: Thông báo đường dẫn tài liệu họp ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nhiệt điện Phả Lại thông báo đường dẫn tài liệu họp ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PPC-2214198/ppc-thong-bao-duong-dan-tai-lieu-hop-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-05-30,PPC: Thông báo thay đổi thời gian tổ chức ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nhiệt điện Phả Lại thông báo thay đổi thời gian tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PPC-2212011/ppc-thong-bao-thay-doi-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-22,PPC: Thông báo thay đổi thời gian tổ chức ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Nhiệt điện Phả Lại thông báo thay đổi thời gian tổ chức ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/PPC-2186040/ppc-thong-bao-thay-doi-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-03-14,"PPC: 27.3.2025, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2025",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025 của Công ty Cổ phần Nhiệt điện Phả Lại,https://cafef.vn/du-lieu/PPC-2150259/ppc-2732025-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-03-07,PPC: Thông báo và Nghị quyết HĐQT về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên 2025,Công ty Cổ phần Nhiệt điện Phả Lại công bố thông báo và Nghị quyết HĐQT về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên 2025,https://cafef.vn/du-lieu/PPC-2145086/ppc-thong-bao-va-nghi-quyet-hdqt-ve-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-2025.chn,cafef
2025-02-21,PPC: Công bố thông tin,Công bố thông tin,https://cafef.vn/du-lieu/PPC-2136854/ppc-cong-bo-thong-tin.chn,cafef
2025-01-23,PPC: Báo cáo tình hình quản trị Công ty năm 2024,Công ty Cổ phần Nhiệt điện Phả Lại công bố báo cáo tình hình quản trị Công ty năm 2024,https://cafef.vn/du-lieu/PPC-2124303/ppc-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn,cafef
2024-11-28,PPC: Nghị quyết HĐQT v/v tạm ứng cổ tức đợt 1 năm 2024 bằng tiền mặt,Công ty Cổ phần Nhiệt điện Phả Lại thông báo Nghị quyết HĐQT về việc tạm ứng cổ tức đợt 1 năm 2024 bằng tiền mặt,https://cafef.vn/du-lieu/PPC-2091399/ppc-nghi-quyet-hdqt-vv-tam-ung-co-tuc-dot-1-nam-2024-bang-tien-mat.chn,cafef
