date,title,description,url,source
2026-06-08,VBB: Nghị quyết Hội đồng quản trị về việc phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Nghị quyết Hội đồng quản trị về việc phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,https://cafef.vn/du-lieu/VBB-2904086/vbb-nghi-quyet-hoi-dong-quan-tri-ve-viec-phat-hanh-co-phieu-de-tang-von-co-phan-tu-nguon-von-chu-so-huu.chn,cafef
2026-05-15,VBB: Điều lệ Ngân hàng,Điều lệ Ngân hàng,https://cafef.vn/du-lieu/VBB-2888219/vbb-dieu-le-ngan-hang.chn,cafef
2026-05-14,"VBB: Nghị quyết Hội đồng quản trị thông qua chủ trương cấp tín dụng, giao dịch với bên có liên quan trong năm 2026","Nghị quyết Hội đồng quản trị thông qua chủ trương cấp tín dụng, giao dịch với bên có liên quan trong năm 2026",https://cafef.vn/du-lieu/VBB-2887337/vbb-nghi-quyet-hoi-dong-quan-tri-thong-qua-chu-truong-cap-tin-dung-giao-dich-voi-ben-co-lien-quan-trong-nam-2026.chn,cafef
2026-05-13,VBB: Nghị quyết Hội đồng quản trị về việc triển khai phương án tăng vốn điều lệ,Nghị quyết Hội đồng quản trị về việc triển khai phương án tăng vốn điều lệ,https://cafef.vn/du-lieu/VBB-2886641/vbb-nghi-quyet-hoi-dong-quan-tri-ve-viec-trien-khai-phuong-an-tang-von-dieu-le.chn,cafef
2026-05-12,VBB: Nghị quyết Hội đồng quản trị thông qua giao dịch hợp đồng tiền gửi với Vietbank AMC,Nghị quyết Hội đồng quản trị thông qua giao dịch hợp đồng tiền gửi với Vietbank AMC,https://cafef.vn/du-lieu/VBB-2885225/vbb-nghi-quyet-hoi-dong-quan-tri-thong-qua-giao-dich-hop-dong-tien-gui-voi-vietbank-amc.chn,cafef
2026-04-29,VBB: Nghị quyết Đại hội đồng cổ đông thường niên năm 2026,Nghị quyết Đại hội đồng cổ đông thường niên năm 2026,https://cafef.vn/du-lieu/VBB-2678060/vbb-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2026.chn,cafef
2026-04-24,"ĐHĐCĐ Vietbank (VBB): Đặt mục tiêu lợi nhuận tăng bứt phá 37%, chuẩn bị niêm yết trên sàn HoSE","Sáng 24/4, Ngân hàng TMCP Việt Nam Thương Tín (Vietbank – mã: VBB) đã tổ chức Đại hội đồng cổ đông thường niên 2026, thông qua nhiều kế hoạch quan trọng xoay quanh tăng trưởng kinh doanh, nâng cao năng lực tài chính và lộ trình niêm yết cổ phiếu trên sàn HoSE.",https://cafef.vn/dhdcd-vietbank-vbb-dat-muc-tieu-loi-nhuan-tang-but-pha-37-chuan-bi-niem-yet-tren-san-hose-18826042421002676.chn,cafef
2026-04-23,Vietbank lên kế hoạch lợi nhuận 2.100 tỷ đồng trong năm nay và niêm yết trên HOSE ngay trong quý II,Nhà băng này cũng lên kế hoạch tiếp tục tăng vốn điều lệ từ mức hơn 10.700 tỷ đồng trên 15.500 tỷ.,https://cafef.vn/vietbank-len-ke-hoach-loi-nhuan-2100-ty-dong-trong-nam-nay-va-niem-yet-tren-hose-ngay-trong-quy-ii-188260423135358241.chn,cafef
2026-04-04,VBB: Nghị quyết Hội đồng quản trị thông qua thù lao xử lý thu hồi nợ cho Vietbank AMC,Nghị quyết Hội đồng quản trị thông qua thù lao xử lý thu hồi nợ cho Vietbank AMC,https://cafef.vn/du-lieu/VBB-2659123/vbb-nghi-quyet-hoi-dong-quan-tri-thong-qua-thu-lao-xu-ly-thu-hoi-no-cho-vietbank-amc.chn,cafef
2026-04-01,HOSE: Thông báo về việc nhận hồ sơ đăng ký niêm yết của Ngân hàng TMCP Việt Nam Thương Tín,Sở Giao dịch Chứng khoán TP. HCM thông báo về việc nhận hồ sơ đăng ký niêm yết của Ngân hàng TMCP Việt Nam Thương Tín,https://cafef.vn/du-lieu/VBB-2660997/hose-thong-bao-ve-viec-nhan-ho-so-dang-ky-niem-yet-cua-ngan-hang-tmcp-viet-nam-thuong-tin.chn,cafef
