date,title,description,url,source
2026-06-01,VHC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 20,Công ty Cổ phần Vĩnh Hoàn công bố Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 20,https://cafef.vn/du-lieu/VHC-2899295/vhc-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-20.chn,cafef
2026-06-01,VHC: Giấy xác nhận về việc thay đổi nội dung đăng ký doanh nghiệp,Công ty Cổ phần Vĩnh Hoàn công bố Giấy xác nhận về việc thay đổi nội dung đăng ký doanh nghiệp,https://cafef.vn/du-lieu/VHC-2899293/vhc-giay-xac-nhan-ve-viec-thay-doi-noi-dung-dang-ky-doanh-nghiep.chn,cafef
2026-05-07,VHC: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Vĩnh Hoàn thông báo Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VHC-2881795/vhc-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-28,VHC: Giải trình biến động KQKD HN và Riêng quý 1/2026 so với cùng kỳ năm trước,Công ty Cổ phần Vĩnh Hoàn giải trình biến động KQKD HN và Riêng quý 1/2026 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/VHC-2677186/vhc-giai-trinh-bien-dong-kqkd-hn-va-rieng-quy-12026-so-voi-cung-ky-nam-truoc.chn,cafef
2026-04-21,"VHC: Sơ yếu lý lịch của các ứng viên được đề cử bầu bổ sung Thành viên HĐQT độc lập, BKS","Công ty Cổ phần Vĩnh Hoàn công bố Sơ yếu lý lịch của các ứng viên được đề cử bầu bổ sung Thành viên HĐQT độc lập, BKS",https://cafef.vn/du-lieu/VHC-2671698/vhc-so-yeu-ly-lich-cua-cac-ung-vien-duoc-de-cu-bau-bo-sung-thanh-vien-hdqt-doc-lap-bks.chn,cafef
2026-04-09,VHC: Thư mời tham dự và tài liệu họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Vĩnh Hoàn công bố Thư mời tham dự và tài liệu họp ĐHĐCĐ TN 2026,https://cafef.vn/du-lieu/VHC-2663489/vhc-thu-moi-tham-du-va-tai-lieu-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-08,VHC: Thông báo về việc mua lại cổ phiếu quỹ,Công ty Cổ phần Vĩnh Hoàn thông báo về việc mua lại cổ phiếu quỹ,https://cafef.vn/du-lieu/VHC-2663198/vhc-thong-bao-ve-viec-mua-lai-co-phieu-quy.chn,cafef
2026-03-23,VHC: Nghị quyết HĐQT số 10 ngày 23/03/2026,Công ty Cổ phần Vĩnh Hoàn công bố Nghị quyết HĐQT số 10 ngày 23/03/2026,https://cafef.vn/du-lieu/VHC-2425348/vhc-nghi-quyet-hdqt-so-10-ngay-23032026.chn,cafef
2026-03-12,"VHC: 26.3.2026, ngày GDKHQ tổ chức họp ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Vĩnh Hoàn,https://cafef.vn/du-lieu/VHC-2416647/vhc-2632026-ngay-gdkhq-to-chuc-hop-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-12,VHC: Nghị quyết HĐQT về việc triển khai phương án mua lại cổ phiếu quỹ,Công ty Cổ phần Vĩnh Hoàn thông báo Nghị quyết HĐQT về việc triển khai phương án mua lại cổ phiếu quỹ,https://cafef.vn/du-lieu/VHC-2416698/vhc-nghi-quyet-hdqt-ve-viec-trien-khai-phuong-an-mua-lai-co-phieu-quy.chn,cafef
2026-03-06,VHC: Nghị quyết HĐQT v/v gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Vĩnh Hoàn công bố Nghị quyết HĐQT về việc gia hạn thời gian tổ chức ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VHC-2413678/vhc-nghi-quyet-hdqt-vv-gia-han-thoi-gian-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-03-03,VHC: Nghị quyết HĐQT thông qua việc vay vốn tại Vietcombank - Chi nhánh TP.HCM,Công ty Cổ phần Vĩnh Hoàn công bố Nghị quyết HĐQT thông qua việc vay vốn tại Vietcombank - Chi nhánh TP.HCM,https://cafef.vn/du-lieu/VHC-2411230/vhc-nghi-quyet-hdqt-thong-qua-viec-vay-von-tai-vietcombank-chi-nhanh-tphcm.chn,cafef
2026-02-13,VHC: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ về việc lấy ý kiến cổ đông bằng văn bản,Công ty Cổ phần Vĩnh Hoàn công bố Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ về việc lấy ý kiến cổ đông bằng văn bản,https://cafef.vn/du-lieu/VHC-2402763/vhc-bien-ban-kiem-phieu-va-nghi-quyet-dhdcd-ve-viec-lay-y-kien-co-dong-bang-van-ban.chn,cafef
2026-02-05,VHC: Giải trình biến động KQKD Hợp nhất quý 4/2025 so với cùng kỳ năm trước,Công ty Cổ phần Vĩnh Hoàn giải trình biến động KQKD HN quý 4/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/VHC-2397968/vhc-giai-trinh-bien-dong-kqkd-hop-nhat-quy-42025-so-voi-cung-ky-nam-truoc.chn,cafef
2026-02-03,VHC: Nhắc nhở chậm CBTT BCTC quý 4/2025,Sở Giao dịch Chứng khoán TP.HCM thông báo về việc nhắc nhở chậm CBTT BCTC quý 4/2025 đối với Công ty Cổ phần Vĩnh Hoàn,https://cafef.vn/du-lieu/VHC-2396504/vhc-nhac-nho-cham-cbtt-bctc-quy-42025.chn,cafef
2026-02-02,VHC: Nghị quyết HĐQT thông qua mô hình quản trị và hệ thống cấp bậc chức danh mới,Công ty Cổ phần Vĩnh Hoàn thông báo Nghị quyết HĐQT về việc thông qua mô hình quản trị và hệ thống cấp bậc chức danh mới,https://cafef.vn/du-lieu/VHC-2395356/vhc-nghi-quyet-hdqt-thong-qua-mo-hinh-quan-tri-va-he-thong-cap-bac-chuc-danh-moi.chn,cafef
