date,title,description,url,source
2026-06-01,VHM: Công ty TNHH Đầu tư Kinh doanh Thương mại Phát Lộc không còn là công ty con Vinhomes,Công ty Cổ phần Vinhomes công bố việc Công ty TNHH Đầu tư Kinh doanh Thương mại Phát Lộc không còn là công ty con Vinhomes,https://cafef.vn/du-lieu/VHM-2899097/vhm-cong-ty-tnhh-dau-tu-kinh-doanh-thuong-mai-phat-loc-khong-con-la-cong-ty-con-vinhomes.chn,cafef
2026-06-01,VHM: Công ty Cổ phần Đô thị Đại học Quốc tế Berjaya Việt Nam là công ty con Vinhomes,Công ty Cổ phần Vinhomes công bố việc Công ty Cổ phần Đô thị Đại học Quốc tế Berjaya Việt Nam là công ty con Vinhomes,https://cafef.vn/du-lieu/VHM-2899096/vhm-cong-ty-co-phan-do-thi-dai-hoc-quoc-te-berjaya-viet-nam-la-cong-ty-con-vinhomes.chn,cafef
2026-05-25,VHM: Nghị quyết HĐQT chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,Công ty Cổ phần Vinhomes thông báo Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,https://cafef.vn/du-lieu/VHM-2894238/vhm-nghi-quyet-hdqt-chao-ban-va-phat-hanh-trai-phieu-doanh-nghiep-theo-hinh-thuc-rieng-le.chn,cafef
2026-05-08,VHM: HĐQT phê duyệt việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,Công ty Cổ phần Vinhomes thông báo HĐQT phê duyệt việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,https://cafef.vn/du-lieu/VHM-2882907/vhm-hdqt-phe-duyet-viec-chao-ban-va-phat-hanh-trai-phieu-doanh-nghiep-theo-hinh-thuc-rieng-le.chn,cafef
2026-05-05,VHM: Thông báo thay đổi giấy chứng nhận đăng ký DN lần thứ 40,Công ty Cổ phần Vinhomes thông báo thay đổi giấy chứng nhận đăng ký DN lần thứ 40,https://cafef.vn/du-lieu/VHM-2879541/vhm-thong-bao-thay-doi-giay-chung-nhan-dang-ky-dn-lan-thu-40.chn,cafef
2026-04-23,VHM: Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2026,Công ty Cổ phần Vinhomes công bố Biên bản họp và Nghị quyết ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/VHM-2673560/vhm-bien-ban-hop-va-nghi-quyet-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-04-20,VHM: CBTT điều chỉnh tài liệu họp ĐHĐCĐ thường niên 2026,Công ty Cổ phần Vinhomes thông báo điều chỉnh tài liệu họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VHM-2670425/vhm-cbtt-dieu-chinh-tai-lieu-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-09,VHM: Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,https://cafef.vn/du-lieu/VHM-2663519/vhm-nghi-quyet-hdqt-ve-viec-chao-ban-va-phat-hanh-trai-phieu-doanh-nghiep-theo-hinh-thuc-rieng-le.chn,cafef
2026-04-09,VHM: Nghị quyết HĐQT về việc thành lập các Chi nhánh của Công ty,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc thành lập các Chi nhánh của Công ty,https://cafef.vn/du-lieu/VHM-2663520/vhm-nghi-quyet-hdqt-ve-viec-thanh-lap-cac-chi-nhanh-cua-cong-ty.chn,cafef
2026-04-01,"VHM: Thông báo thời gian, địa điểm và link tài liệu họp ĐHĐCĐ TN năm 2026","Công ty Cổ phần Vinhomes thông báo thời gian, địa điểm và link tài liệu họp ĐHĐCĐ TN năm 2026",https://cafef.vn/du-lieu/VHM-2657294/vhm-thong-bao-thoi-gian-dia-diem-va-link-tai-lieu-hop-dhdcd-tn-nam-2026.chn,cafef
2026-03-25,VHM: Nghị quyết HĐQT về giao dịch tổng thầu với bên liên quan của Công ty,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về giao dịch tổng thầu với bên liên quan của Công ty,https://cafef.vn/du-lieu/VHM-2426554/vhm-nghi-quyet-hdqt-ve-giao-dich-tong-thau-voi-ben-lien-quan-cua-cong-ty.chn,cafef
2026-03-23,VHM: Nghị quyết HĐQT về việc tham gia đầu tư Dự án KĐT mới Phước Vĩnh Tây và ký Hợp đồng liên danh,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc tham gia đầu tư Dự án KĐT mới Phước Vĩnh Tây và ký Hợp đồng liên danh,https://cafef.vn/du-lieu/VHM-2425040/vhm-nghi-quyet-hdqt-ve-viec-tham-gia-dau-tu-du-an-kdt-moi-phuoc-vinh-tay-va-ky-hop-dong-lien-danh.chn,cafef
2026-03-06,"VHM: 17.3.2026, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Công ty Cổ phần Vinhomes,https://cafef.vn/du-lieu/VHM-2413649/vhm-1732026-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef
2026-02-26,VHM: CBTT ngày ĐKCC chốt danh sách cổ đông thực hiện quyền tham dự ĐHĐCĐ thường niên 2026,Công ty Cổ phần Vinhomes thông báo ngày ĐKCC chốt DSCĐ thực hiện quyền tham dự ĐHĐCĐTN 2026,https://cafef.vn/du-lieu/VHM-2408258/vhm-cbtt-ngay-dkcc-chot-danh-sach-co-dong-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-2026.chn,cafef
2026-02-02,VHM: HĐQT phê duyệt tham gia đầu tư dự án Khu đô thị mới Cam Lâm,Công ty Cổ phần Vinhomes công bố HĐQT phê duyệt tham gia đầu tư dự án Khu đô thị mới Cam Lâm,https://cafef.vn/du-lieu/VHM-2394969/vhm-hdqt-phe-duyet-tham-gia-dau-tu-du-an-khu-do-thi-moi-cam-lam.chn,cafef
2026-02-02,VHM: CBTT Công ty TNHH Phát triển BĐS Hướng Dương là công ty liên kết,Công ty Cổ phần Vinhomes công bố Công ty TNHH Phát triển BĐS Hướng Dương là công ty liên kết,https://cafef.vn/du-lieu/VHM-2394983/vhm-cbtt-cong-ty-tnhh-phat-trien-bds-huong-duong-la-cong-ty-lien-ket.chn,cafef
2025-12-31,"VHM: Nghị quyết HĐQT thông qua chủ trương về việc Công ty ký kết, thực hiện Hợp đồng/Giao dịch với người có liên quan",Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc giao dịch khung với bên liên quan năm 2026,https://cafef.vn/du-lieu/VHM-2375863/vhm-nghi-quyet-hdqt-thong-qua-chu-truong-ve-viec-cong-ty-ky-ket-thuc-hien-hop-donggiao-dich-voi-nguoi-co-lien-quan.chn,cafef
2025-12-29,VHM: CBTT phát hành trái phiếu của công ty,Công ty Cổ phần Vinhomes thông báo  phát hành trái phiếu của công ty,https://cafef.vn/du-lieu/VHM-2371518/vhm-cbtt-phat-hanh-trai-phieu-cua-cong-ty.chn,cafef
2025-12-22,VHM: Nghị quyết HĐQT về việc giao dịch tổng thầu với bên có liên quan của Công ty,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc giao dịch tổng thầu với bên có liên quan của Công ty,https://cafef.vn/du-lieu/VHM-2367024/vhm-nghi-quyet-hdqt-ve-viec-giao-dich-tong-thau-voi-ben-co-lien-quan-cua-cong-ty.chn,cafef
2025-12-15,VHM: CBTT Công ty Đại An không còn là công ty con của Vinhomes,Công ty Cổ phần Vinhomes thông báo Công ty Đại An không còn là công ty con của Vinhomes,https://cafef.vn/du-lieu/VHM-2362091/vhm-cbtt-cong-ty-dai-an-khong-con-la-cong-ty-con-cua-vinhomes.chn,cafef
2025-12-05,VHM: Thông báo Công ty liên kết của Công ty,Công ty Cổ phần Vinhomes thông báo Công ty liên kết của Công ty,https://cafef.vn/du-lieu/VHM-2356130/vhm-thong-bao-cong-ty-lien-ket-cua-cong-ty.chn,cafef
2025-11-03,"Phía sau doanh thu kỷ lục 170.000 tỷ sau 9 tháng của Vingroup: VinFast tăng trưởng 80%, doanh số chưa ghi nhận của VinHomes lên đến 224.000 tỷ đồng","Dòng tiền khổng lồ vẫn đang được tạo ra từ mảng bất động sản, đóng vai trò là trụ cột tài chính chính, ""gánh vác"" cho giai đoạn đầu tư quy mô lớn của mảng công nghiệp.",https://cafef.vn/phia-sau-doanh-thu-ky-luc-170000-ty-sau-9-thang-cua-vingroup-vinfast-tang-truong-80-doanh-so-chua-ghi-nhan-cua-vinhomes-len-den-224000-ty-dong-18825110307545864.chn,cafef
2025-10-20,VHM: CBTT điều chỉnh thông tin dự án,Công ty Cổ phần Vinhomes thông báo  điều chỉnh thông tin dự án,https://cafef.vn/du-lieu/VHM-2321504/vhm-cbtt-dieu-chinh-thong-tin-du-an.chn,cafef
2025-08-20,VHM: Thông báo về việc chuyển nhượng phần vốn góp tại Công ty con - Công ty TNHH Đầu tư và Phát triển BĐS Hoàng Long,Công ty Cổ phần Vinhomes thông báo về việc chuyển nhượng phần vốn góp tại Công ty con - Công ty TNHH Đầu tư và Phát triển BĐS Hoàng Long,https://cafef.vn/du-lieu/VHM-2279973/vhm-thong-bao-ve-viec-chuyen-nhuong-phan-von-gop-tai-cong-ty-con-cong-ty-tnhh-dau-tu-va-phat-trien-bds-hoang-long.chn,cafef
2025-08-14,VHM: Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,Công ty Cổ phần Vinhomes thông báo Nghị quyết HĐQT về việc chào bán và phát hành trái phiếu doanh nghiệp theo hình thức riêng lẻ,https://cafef.vn/du-lieu/VHM-2270667/vhm-nghi-quyet-hdqt-ve-viec-chao-ban-va-phat-hanh-trai-phieu-doanh-nghiep-theo-hinh-thuc-rieng-le.chn,cafef
2025-07-31,VHM: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,Công ty Cổ phần Vinhomes Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/VHM-2294765/vhm-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,cafef
2025-07-10,VHM: Thông báo về việc ký hợp đồng kiểm toán BCTC năm 2025,Công ty Cổ phần Vinhomes thông báo về việc ký hợp đồng kiểm toán BCTC năm 2025,https://cafef.vn/du-lieu/VHM-2244511/vhm-thong-bao-ve-viec-ky-hop-dong-kiem-toan-bctc-nam-2025.chn,cafef
2025-06-27,VHM: Nghị quyết HĐQT phê duyệt thành lập công ty con - Công ty TNHH Đầu tư và Phát triển BĐS Hoàng Long,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc phê duyệt thành lập công ty con - Công ty TNHH Đầu tư và Phát triển BĐS Hoàng Long,https://cafef.vn/du-lieu/VHM-2232567/vhm-nghi-quyet-hdqt-phe-duyet-thanh-lap-cong-ty-con-cong-ty-tnhh-dau-tu-va-phat-trien-bds-hoang-long.chn,cafef
2025-06-16,VHM: HĐQT phê duyệt giao dịch với bên có liên quan,Công ty Cổ phần Vinhomes công bố HĐQT phê duyệt giao dịch với bên có liên quan,https://cafef.vn/du-lieu/VHM-2223020/vhm-hdqt-phe-duyet-giao-dich-voi-ben-co-lien-quan.chn,cafef
2025-05-16,VHM: CBTT Công ty VinIT không còn là công ty con,Công ty Cổ phần Vinhomes thông báo  Công ty VinIT không còn là công ty con,https://cafef.vn/du-lieu/VHM-2199044/vhm-cbtt-cong-ty-vinit-khong-con-la-cong-ty-con.chn,cafef
2025-05-05,VHM: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 39,Công ty Cổ phần Vinhomes thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 39,https://cafef.vn/du-lieu/VHM-2196191/vhm-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-39.chn,cafef
2025-04-29,"Vinhomes lãi sau thuế hơn 2.600 tỷ quý 1/2025, tăng 193% so với cùng kỳ",Hoạt động bàn giao tại các dự án Vinhomes Royal Island và Vinhomes Ocean Park 2-3 tiếp tục là động lực chính đóng góp vào kết quả kinh doanh trong kỳ.,https://cafef.vn/vinhomes-lai-sau-thue-hon-2600-ty-quy-12025-tang-193-so-voi-cung-ky-188250429131840107.chn,cafef
2025-04-25,"VHM: Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2025 và thay đổi nhân sự","Công ty Cổ phần Vinhomes thông báo Nghị quyết, Biên bản họp ĐHĐCĐ thường niên năm 2025 và thay đổi nhân sự",https://cafef.vn/du-lieu/VHM-2190976/vhm-nghi-quyet-bien-ban-hop-dhdcd-thuong-nien-nam-2025-va-thay-doi-nhan-su.chn,cafef
2025-04-17,VHM: Thông báo về việc Lighthouse 2 không còn là Công ty con Vinhomes,Công ty Cổ phần Vinhomes thông báo về việc Lighthouse 2 không còn là Công ty con Vinhomes,https://cafef.vn/du-lieu/VHM-2181669/vhm-thong-bao-ve-viec-lighthouse-2-khong-con-la-cong-ty-con-vinhomes.chn,cafef
2025-04-15,Vinhomes đã đưa vào vận hành hơn 110.000 căn hộ,"Tính đến cuối năm 2024, tổng số căn hộ tại các dự án Vinhomes đã đưa vào vận hành là hơn 110.000 căn.",https://cafef.vn/vinhomes-da-dua-vao-van-hanh-hon-110000-can-ho-188250415165819513.chn,cafef
2025-04-15,VHM: Thông báo điều chỉnh bổ sung tài liệu ĐHĐCĐ thường niên năm 2025,Công ty Cổ phần Vinhomes thông báo điều chỉnh bổ sung tài liệu ĐHĐCĐ thường niên năm 2025,https://cafef.vn/du-lieu/VHM-2179739/vhm-thong-bao-dieu-chinh-bo-sung-tai-lieu-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-04-03,"VHM: Thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2025","Công ty Cổ phần Vinhomes thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2025",https://cafef.vn/du-lieu/VHM-2164146/vhm-thong-bao-thoi-gian-dia-diem-va-link-cung-cap-tai-lieu-hop-dhdcd-thuong-nien-2025.chn,cafef
2025-03-31,"Vinhomes lãi 35.000 tỷ đồng, Ban điều hành được trả thù lao bao nhiêu?",Thu nhập do Vinhomes chi trả cho Ban điều hành năm 2024 giảm 40% so với 2023.,https://cafef.vn/vinhomes-lai-35000-ty-dong-ban-dieu-hanh-duoc-tra-thu-lao-bao-nhieu-18825033115160348.chn,cafef
2025-03-07,"VHM: 21.3.2025, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2025",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2025 của Công ty Cổ phần Vinhomes,https://cafef.vn/du-lieu/VHM-2145177/vhm-2132025-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2025.chn,cafef
2025-03-05,Tỷ phú Phạm Nhật Vượng sắp họp cùng hàng vạn cổ đông,Thời gian và địa điểm sẽ được doanh nghiệp công bố sau tới cổ đông.,https://cafef.vn/ty-phu-pham-nhat-vuong-sap-hop-cung-hang-van-co-dong-188250305003652262.chn,cafef
2025-03-04,VHM: CBTT ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,Công ty Cổ phần Vinhomes thông báo ngày ĐKCC để thực hiện quyền tham dự ĐHCĐ thường niên năm 2025,https://cafef.vn/du-lieu/VHM-2142242/vhm-cbtt-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025.chn,cafef
2025-03-04,VHM: Nghị quyết HĐQT về việc giao kết Hợp đồng tổng thầu xây dựng công trình với Vincons,Công ty Cổ phần Vinhomes công bố Nghị quyết HĐQT về việc giao kết Hợp đồng tổng thầu xây dựng công trình với Vincons,https://cafef.vn/du-lieu/VHM-2142733/vhm-nghi-quyet-hdqt-ve-viec-giao-ket-hop-dong-tong-thau-xay-dung-cong-trinh-voi-vincons.chn,cafef
2025-02-03,VHM: Báo cáo tình hình quản trị Công ty năm 2024,Công ty Cổ phần Vinhomes công bố báo cáo tình hình quản trị Công ty năm 2024,https://cafef.vn/du-lieu/VHM-2151488/vhm-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024.chn,cafef
2025-01-06,Lộ diện chủ mới của công ty vốn hơn 3.000 tỷ đồng từng thuộc Vinhomes,"Tại đăng ký thay đổi doanh nghiệp gần đây nhất, chủ mới của Phát triển Bất động sản Lighthouse 1- doanh nghiệp từng thuộc sở hữu của Vinhomes, đã ""lộ diện"".",https://cafef.vn/lo-dien-chu-moi-cua-cong-ty-von-hon-3000-ty-dong-tung-thuoc-vinhomes-188250106103403248.chn,cafef
2024-12-30,VHM: CBTT phát hành trái phiếu trong nước,Công ty Cổ phần Vinhomes thông báo phát hành trái phiếu trong nước,https://cafef.vn/du-lieu/VHM-2107109/vhm-cbtt-phat-hanh-trai-phieu-trong-nuoc.chn,cafef
2024-12-23,VHM: Thông báo về việc Hồ sơ niêm yết trái phiếu tại Singapore được chấp thuận,Công ty Cổ phần Vinhomes thông báo về việc Hồ sơ niêm yết trái phiếu tại Singapore được chấp thuận,https://cafef.vn/du-lieu/VHM-2103240/vhm-thong-bao-ve-viec-ho-so-niem-yet-trai-phieu-tai-singapore-duoc-chap-thuan.chn,cafef
2024-12-23,VHM: Thông báo về việc chuyển nhượng cho đối tác toàn bộ phần vốn góp tại Công ty TNHH Phát triển BĐS Lighthouse 1,Công ty Cổ phần Vinhomes thông báo về việc chuyển nhượng cho đối tác toàn bộ phần vốn góp tại Công ty TNHH Phát triển BĐS Lighthouse 1,https://cafef.vn/du-lieu/VHM-2103302/vhm-thong-bao-ve-viec-chuyen-nhuong-cho-doi-tac-toan-bo-phan-von-gop-tai-cong-ty-tnhh-phat-trien-bds-lighthouse-1.chn,cafef
2024-12-13,VHM: Nghị quyết HĐQT về việc phát hành trái phiếu riêng lẻ,Công ty Cổ phần Vinhomes thông báo Nghị quyết HĐQT về việc phát hành trái phiếu riêng lẻ,https://cafef.vn/du-lieu/VHM-2099561/vhm-nghi-quyet-hdqt-ve-viec-phat-hanh-trai-phieu-rieng-le.chn,cafef
2024-12-04,VHM: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 38,Công ty Cổ phần Vinhomes thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 38,https://cafef.vn/du-lieu/VHM-2094207/vhm-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-38.chn,cafef
2024-12-02,VHM: CBTT giao dịch với bên có liên quan,Công ty Cổ phần Vinhomes thông báo giao dịch với bên có liên quan,https://cafef.vn/du-lieu/VHM-2092953/vhm-cbtt-giao-dich-voi-ben-co-lien-quan.chn,cafef
2024-11-27,VHM: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 37,Công ty Cổ phần Vinhomes thông báo Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 37,https://cafef.vn/du-lieu/VHM-2090820/vhm-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-37.chn,cafef
2024-11-12,VHM: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ lấy ý kiến bằng văn bản lần 2,Công ty Cổ phần Vinhomes công bố Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ lấy ý kiến bằng văn bản lần 2,https://cafef.vn/du-lieu/VHM-2083648/vhm-bien-ban-kiem-phieu-va-nghi-quyet-dhdcd-lay-y-kien-bang-van-ban-lan-2.chn,cafef
