date,title,description,url,source
2026-06-08,"VIC: Nghị quyết HĐQT số 17/2026, 18/2026 ngày 08/06/2026","Tập đoàn Vingroup - Công ty Cổ phần thông báo Nghị quyết HĐQT số 17/2026, 18/2026 ngày 08/06/2026",https://cafef.vn/du-lieu/VIC-2904514/vic-nghi-quyet-hdqt-so-172026-182026-ngay-08062026.chn,cafef
2026-06-01,VIC: Nghị quyết HĐQT về việc đầu tư ra nước ngoài,Tập đoàn Vingroup - Công ty Cổ phần công bố Nghị quyết HĐQT về việc đầu tư ra nước ngoài,https://cafef.vn/du-lieu/VIC-2899082/vic-nghi-quyet-hdqt-ve-viec-dau-tu-ra-nuoc-ngoai.chn,cafef
2026-05-28,VIC: Các Nghị quyết HĐQT về việc tái cấu trúc hoạt động sản xuất kinh doanh của công ty con,Tập đoàn Vingroup - Công ty Cổ phần thông báo các Nghị quyết HĐQT về việc tái cấu trúc hoạt động SX kinh doanh của công ty con,https://cafef.vn/du-lieu/VIC-2896749/vic-cac-nghi-quyet-hdqt-ve-viec-tai-cau-truc-hoat-dong-san-xuat-kinh-doanh-cua-cong-ty-con.chn,cafef
2026-05-25,VIC: HĐQT phê duyệt chủ trương giao dịch với Công ty Vinpearl,Tập đoàn Vingroup - Công ty Cổ phần thông báo HĐQT phê duyệt chủ trương giao dịch với Công ty Vinpearl,https://cafef.vn/du-lieu/VIC-2894472/vic-hdqt-phe-duyet-chu-truong-giao-dich-voi-cong-ty-vinpearl.chn,cafef
2026-05-13,VIC: Nghị quyết HĐQT thông qua việc tham gia góp vốn thành lập công ty con - Công ty Cổ phần Vinsurgical,Tập đoàn Vingroup - Công ty Cổ phần công bố Nghị quyết HĐQT thông qua việc tham gia góp vốn thành lập công ty con - Công ty Cổ phần Vinsurgical,https://cafef.vn/du-lieu/VIC-2886593/vic-nghi-quyet-hdqt-thong-qua-viec-tham-gia-gop-von-thanh-lap-cong-ty-con-cong-ty-co-phan-vinsurgical.chn,cafef
2026-04-24,"VIC: Biên bản họp, Nghị quyết ĐHĐCĐ thường niên năm 2026 và Thông báo thay đổi nhân sự","Tập đoàn Vingroup - Công ty Cổ phần công bố Biên bản họp, Nghị quyết ĐHĐCĐ thường niên năm 2026 và Thông báo thay đổi nhân sự",https://cafef.vn/du-lieu/VIC-2674555/vic-bien-ban-hop-nghi-quyet-dhdcd-thuong-nien-nam-2026-va-thong-bao-thay-doi-nhan-su.chn,cafef
2026-04-22,Tỷ phú Phạm Nhật Vượng: Vinsmart Future đang phát triển mô hình LLM riêng,"Định hướng năm 2026, Vingroup đặt mục tiêu doanh thu năm 2026 ở mức 485.000 tỷ đồng, tăng 46% so với năm 2025; lợi nhuận sau thuế dự kiến 35.000 tỷ đồng, cao gấp 3 lần cùng kỳ năm trước.",https://cafef.vn/ty-phu-pham-nhat-vuong-vinsmart-future-dang-phat-trien-mo-hinh-llm-rieng-188260422103011235.chn,cafef
2026-04-20,VIC: Điều chỉnh tài liệu họp ĐHĐCĐ thường niên 2026,Tập đoàn Vingroup - Công ty Cổ phần thông báo điều chỉnh tài liệu họp ĐHĐCĐ thường niên 2026,https://cafef.vn/du-lieu/VIC-2670721/vic-dieu-chinh-tai-lieu-hop-dhdcd-thuong-nien-2026.chn,cafef
2026-04-19,"Một cổ đông đặc biệt vừa chuyển quyền sở hữu gần 5,2 triệu cổ phiếu Vingroup","Cùng ngày diễn ra giao dịch, cổ phiếu Vingroup (VIC) đóng cửa tăng kịch trần.",https://cafef.vn/mot-co-dong-dac-biet-vua-chuyen-quyen-so-huu-gan-52-trieu-co-phieu-vingroup-188260419165622161.chn,cafef
2026-04-10,VIC: Thông báo về việc nộp hồ sơ niêm yết trái phiếu quốc tế,Tập đoàn Vingroup - Công ty Cổ phần thông báo về việc nộp hồ sơ niêm yết trái phiếu quốc tế,https://cafef.vn/du-lieu/VIC-2664173/vic-thong-bao-ve-viec-nop-ho-so-niem-yet-trai-phieu-quoc-te.chn,cafef
